catalogue_release,physical_object_id,host_system_id,measurement_id,object_id,source_key,ra_deg,dec_deg,redshift,alias_kind
v2-dataset-catalogue,HZA-GOODS-N-12839,HZS-GOODS-N-12839,GOODSN12839_matthee23,GOODS-N-12839,matthee23_eiger_fresco_blagn,189.34429167,62.26336389,5.241,source_object_id
v2-dataset-catalogue,HZA-GOODS-N-13733,HZS-GOODS-N-13733,GOODSN13733_matthee23,GOODS-N-13733,matthee23_eiger_fresco_blagn,189.05708333,62.26893889,5.236,source_object_id
v2-dataset-catalogue,HZA-GOODS-N-14409,HZS-GOODS-N-14409,GOODSN14409_matthee23,GOODS-N-14409,matthee23_eiger_fresco_blagn,189.07208333,62.27343056,5.139,source_object_id
v2-dataset-catalogue,HZA-GOODS-N-15498,HZS-GOODS-N-15498,GOODSN15498_matthee23,GOODS-N-15498,matthee23_eiger_fresco_blagn,189.28554167,62.28078333,5.086,source_object_id
v2-dataset-catalogue,HZA-GOODS-N-16813,HZS-GOODS-N-16813,GOODSN16813_matthee23,GOODS-N-16813,matthee23_eiger_fresco_blagn,189.17929167,62.29253333,5.355,source_object_id
v2-dataset-catalogue,HZA-GOODS-N-4014,HZS-GOODS-N-4014,GOODSN4014_matthee23,GOODS-N-4014,matthee23_eiger_fresco_blagn,189.300125,62.21204444,5.228,source_object_id
v2-dataset-catalogue,HZA-GOODS-N-9771,HZS-GOODS-N-9771,GOODSN9771_matthee23,GOODS-N-9771,matthee23_eiger_fresco_blagn,189.281,62.24730833,5.538,source_object_id
v2-dataset-catalogue,HZA-GS-10013704,HZS-GS-10013704,GS10013704_juodzbalis25,GS-10013704,juodzbalis25_jades_blagn,53.12654,-27.81809,5.919,source_object_id
v2-dataset-catalogue,HZA-GS-159717,HZS-GS-159717,GS159717_juodzbalis25,GS-159717,juodzbalis25_jades_blagn,53.09753,-27.90126,5.077,source_object_id
v2-dataset-catalogue,HZA-GS-164055,HZS-GS-164055,GS164055_juodzbalis25,GS-164055,juodzbalis25_jades_blagn,53.08168,-27.88857,7.397,source_object_id
v2-dataset-catalogue,HZA-GS-172975,HZS-GS-172975,GS172975_juodzbalis25,GS-172975,juodzbalis25_jades_blagn,53.08773,-27.87124,4.741,source_object_id
v2-dataset-catalogue,HZA-GS-20030333,HZS-GS-20030333,GS20030333_juodzbalis25,GS-20030333,juodzbalis25_jades_blagn,53.05373,-27.87789,7.891,source_object_id
v2-dataset-catalogue,HZA-GS-20057765,HZS-GS-20057765,GS20057765_juodzbalis25,GS-20057765,juodzbalis25_jades_blagn,53.0408,-27.85901,8.913,source_object_id
v2-dataset-catalogue,HZA-GS-200679,HZS-GS-200679,GS200679_juodzbalis25,GS-200679,juodzbalis25_jades_blagn,53.11392,-27.8062,4.547,source_object_id
v2-dataset-catalogue,HZA-GS-204851,HZS-GS-204851,GOODSS13971_matthee23,GOODS-S-13971,matthee23_eiger_fresco_blagn,53.13858333,-27.79025,5.481,source_object_id
v2-dataset-catalogue,HZA-GS-204851,HZS-GS-204851,GS204851_juodzbalis25,GS-204851,juodzbalis25_jades_blagn,53.13859,-27.79025,5.48,source_object_id
v2-dataset-catalogue,HZA-GS-210600,HZS-GS-210600,GS210600_juodzbalis25,GS-210600,juodzbalis25_jades_blagn,53.16611,-27.77985,6.306,source_object_id
v2-dataset-catalogue,HZA-GS-30148179,HZS-GS-30148179,GS30148179_juodzbalis25,GS-30148179,juodzbalis25_jades_blagn,53.14208,-27.77985,5.922,source_object_id
v2-dataset-catalogue,HZA-GS-38562,HZS-GS-38562,GS38562_juodzbalis25,GS-38562,juodzbalis25_jades_blagn,53.13586,-27.87165,4.822,source_object_id
v2-dataset-catalogue,HZA-GS-8083,HZS-GS-8083,GS8083_juodzbalis25,GS-8083,juodzbalis25_jades_blagn,53.13284,-27.80186,4.753,source_object_id
v2-dataset-catalogue,HZA-GS-8083,HZS-GS-8083,scholtz25_00008083,JADES-NS-GS00008083,scholtz25_jades_narrow_line_agn,53.13284313101842,-27.80185787562137,4.665,source_object_id
v2-dataset-catalogue,HZA-J0100-12446,HZS-J0100-12446,J010012446_matthee23,J0100-12446,matthee23_eiger_fresco_blagn,15.04825,28.00971667,4.699,source_object_id
v2-dataset-catalogue,HZA-J0100-15157,HZS-J0100-15157,J010015157_matthee23,J0100-15157,matthee23_eiger_fresco_blagn,15.03025,28.05017778,4.941,source_object_id
v2-dataset-catalogue,HZA-J0100-16221,HZS-J0100-16221,J010016221_matthee23,J0100-16221,matthee23_eiger_fresco_blagn,15.03404167,28.05157778,4.349,source_object_id
v2-dataset-catalogue,HZA-J0100-2017,HZS-J0100-2017,J01002017_matthee23,J0100-2017,matthee23_eiger_fresco_blagn,15.05804167,28.07241389,4.938,source_object_id
v2-dataset-catalogue,HZA-J0109M3047-BHAE-1,HZS-J0109M3047-BHAE-1,J0109M3047BHAE1_lin24,J0109M3047-BHAE-1,lin24_aspire_blagn,17.4772,-30.8353,4.36,source_object_id
v2-dataset-catalogue,HZA-J0148-12884,HZS-J0148-12884,J014812884_matthee23,J0148-12884,matthee23_eiger_fresco_blagn,27.17325,6.01591667,4.602,source_object_id
v2-dataset-catalogue,HZA-J0148-4214,HZS-J0148-4214,J01484214_matthee23,J0148-4214,matthee23_eiger_fresco_blagn,27.13870833,5.99723333,5.019,source_object_id
v2-dataset-catalogue,HZA-J0148-976,HZS-J0148-976,J0148976_matthee23,J0148-976,matthee23_eiger_fresco_blagn,27.14616667,5.955825,4.163,source_object_id
v2-dataset-catalogue,HZA-J0218P0007-BHAE-1,HZS-J0218P0007-BHAE-1,J0218P0007BHAE1_lin24,J0218P0007-BHAE-1,lin24_aspire_blagn,34.695,0.0874,4.2291,source_object_id
v2-dataset-catalogue,HZA-J0224M4711-BHAE-1,HZS-J0224M4711-BHAE-1,J0224M4711BHAE1_lin24,J0224M4711-BHAE-1,lin24_aspire_blagn,36.0952,-47.2007,4.0639,source_object_id
v2-dataset-catalogue,HZA-J0229M0808-BHAE-1,HZS-J0229M0808-BHAE-1,J0229M0808BHAE1_lin24,J0229M0808-BHAE-1,lin24_aspire_blagn,37.4083,-8.1459,4.3653,source_object_id
v2-dataset-catalogue,HZA-J0229M0808-BHAE-2,HZS-J0229M0808-BHAE-2,J0229M0808BHAE2_lin24,J0229M0808-BHAE-2,lin24_aspire_blagn,37.3964,-8.1954,5.0369,source_object_id
v2-dataset-catalogue,HZA-J0430M1445-BHAE-1,HZS-J0430M1445-BHAE-1,J0430M1445BHAE1_lin24,J0430M1445-BHAE-1,lin24_aspire_blagn,67.6898,-14.7873,4.0947,source_object_id
