catalogue_release,physical_object_id,host_system_id,host_system_assignment_status,host_property_scope
v2-dataset-catalogue,HZA-CEERS-00717,HZS-CEERS-00717,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-CEERS-01236,HZS-CEERS-01236,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-CEERS-01665,HZS-CEERS-01665,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-CEERS-1244,HZS-CEERS-1244,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-CEERS-2782,HZS-CEERS-2782,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-CEERS-397,HZS-CEERS-397,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-CEERS-672,HZS-CEERS-672,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-CEERS-746,HZS-CEERS-746,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-DC-417567,HZS-DC-417567,source_verified_single_object_host,object_specific
v2-dataset-catalogue,HZA-DC-519281,HZS-DC-519281,source_verified_single_object_host,object_specific
v2-dataset-catalogue,HZA-DC-536534,HZS-DC-536534,source_verified_single_object_host,object_specific
v2-dataset-catalogue,HZA-DC-683613,HZS-DC-683613,source_verified_single_object_host,object_specific
v2-dataset-catalogue,HZA-DC-848185-A,HZS-DC-848185,source_verified_multinucleus_host,shared_host_system_total
v2-dataset-catalogue,HZA-DC-848185-B,HZS-DC-848185,source_verified_multinucleus_host,shared_host_system_total
v2-dataset-catalogue,HZA-DC-873321,HZS-DC-873321,source_verified_single_object_host,object_specific
v2-dataset-catalogue,HZA-GLASS-150029,HZS-GLASS-150029,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GLASS-160133,HZS-GLASS-160133,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GN-1093,HZS-GN-1093,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GN-11836,HZS-GN-11836,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GN-20621,HZS-GN-20621,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GN-38509,HZS-GN-38509,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GN-4685,HZS-GN-4685,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GN-53757,HZS-GN-53757,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GN-61888,HZS-GN-61888,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GN-62309,HZS-GN-62309,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GN-73488,HZS-GN-73488,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GN-77652,HZS-GN-77652,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GN-954,HZS-GN-954,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GOODS-N-12839,HZS-GOODS-N-12839,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-GOODS-N-13733,HZS-GOODS-N-13733,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-GOODS-N-14409,HZS-GOODS-N-14409,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-GOODS-N-15498,HZS-GOODS-N-15498,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-GOODS-N-16813,HZS-GOODS-N-16813,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-GOODS-N-4014,HZS-GOODS-N-4014,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-GOODS-N-9771,HZS-GOODS-N-9771,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-GS-10013704,HZS-GS-10013704,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GS-159717,HZS-GS-159717,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-GS-164055,HZS-GS-164055,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GS-172975,HZS-GS-172975,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GS-20030333,HZS-GS-20030333,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GS-20057765,HZS-GS-20057765,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GS-200679,HZS-GS-200679,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GS-204851,HZS-GS-204851,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GS-210600,HZS-GS-210600,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GS-30148179,HZS-GS-30148179,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GS-38562,HZS-GS-38562,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-GS-8083,HZS-GS-8083,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v2-dataset-catalogue,HZA-J0100-12446,HZS-J0100-12446,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J0100-15157,HZS-J0100-15157,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J0100-16221,HZS-J0100-16221,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J0100-2017,HZS-J0100-2017,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J0109M3047-BHAE-1,HZS-J0109M3047-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J0148-12884,HZS-J0148-12884,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J0148-4214,HZS-J0148-4214,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J0148-976,HZS-J0148-976,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J0218P0007-BHAE-1,HZS-J0218P0007-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J0224M4711-BHAE-1,HZS-J0224M4711-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J0229M0808-BHAE-1,HZS-J0229M0808-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J0229M0808-BHAE-2,HZS-J0229M0808-BHAE-2,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J0430M1445-BHAE-1,HZS-J0430M1445-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J0910M0414-BHAE-1,HZS-J0910M0414-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J0923P0402-BHAE-1,HZS-J0923P0402-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J1120-14389,HZS-J1120-14389,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J1120-7546,HZS-J1120-7546,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J1148-18404,HZS-J1148-18404,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J1148-21787,HZS-J1148-21787,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J1148-7111,HZS-J1148-7111,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v2-dataset-catalogue,HZA-J1526M2050-BHAE-1,HZS-J1526M2050-BHAE-1,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
