science_release,input_catalogue_release,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,source_key,object_class,redshift,log_mseed_assumption,z_seed,epsilon,merger_boost,burst_scenario,burst_fedd,quiescent_fedd,required_lifetime_average_fedd_point,required_duty_cycle_point,required_duty_cycle_p5,required_duty_cycle_p16,required_duty_cycle_p50,required_duty_cycle_p84,required_duty_cycle_p95,prob_required_duty_cycle_gt_1,fixed_burst_scenario_feasible_point,reported_current_fedd,current_fedd_comparison_eligible_flag,current_to_required_fedd_ratio,current_fedd_is_instantaneous_not_history,n_samples,random_seed,reported_statistical_errors_sampled,statistical_error_model,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,systematic_combined_with_statistical_error
v3-shared-science,v3-dataset-catalogue,physical_object,HZA-CEERS-1244,CEERS1244_taylor24,HZA-CEERS-1244,CEERS-1244,taylor24_ceers_rubies_blagn,broad_line_agn,4.478,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.5390234084690856,0.2695117042345428,0.2679869172840156,0.2686058459116942,0.2695202561846789,0.2709070705179333,0.2717798753281141,0.0,True,,False,,True,10000,20260808,True,split_normal_in_log_mbh,0.03,0.02,False
v3-shared-science,v3-dataset-catalogue,physical_object,HZA-CEERS-1244,CEERS1244_taylor24,HZA-CEERS-1244,CEERS-1244,taylor24_ceers_rubies_blagn,broad_line_agn,4.478,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.5390234084690856,0.1796744694896952,0.1786579448560104,0.17907056394112944,0.17968017078978593,0.18060471367862216,0.1811865835520761,0.0,True,,False,,True,10000,20260808,True,split_normal_in_log_mbh,0.03,0.02,False
v3-shared-science,v3-dataset-catalogue,physical_object,HZA-CEERS-2782,RUBIESEGS50052_taylor24,HZA-CEERS-2782,RUBIES-EGS-50052,taylor24_ceers_rubies_blagn,broad_line_agn,5.24,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.6388921781959334,0.6388921781959334,0.6333306830689384,0.6354784750128651,0.6388893410576548,0.6423422714938266,0.6445446582323503,0.0,True,,False,,True,10000,20260808,True,split_normal_in_log_mbh,0.03,0.03,False
v3-shared-science,v3-dataset-catalogue,physical_object,HZA-CEERS-2782,RUBIESEGS50052_taylor24,HZA-CEERS-2782,RUBIES-EGS-50052,taylor24_ceers_rubies_blagn,broad_line_agn,5.24,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.6388921781959334,0.3194460890979667,0.3166653415344692,0.31773923750643257,0.3194446705288274,0.3211711357469133,0.32227232911617515,0.0,True,,False,,True,10000,20260808,True,split_normal_in_log_mbh,0.03,0.03,False
v3-shared-science,v3-dataset-catalogue,physical_object,HZA-CEERS-2782,RUBIESEGS50052_taylor24,HZA-CEERS-2782,RUBIES-EGS-50052,taylor24_ceers_rubies_blagn,broad_line_agn,5.24,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.6388921781959334,0.21296405939864446,0.21111022768964613,0.21182615833762175,0.2129631136858849,0.2141140904979422,0.21484821941078341,0.0,True,,False,,True,10000,20260808,True,split_normal_in_log_mbh,0.03,0.03,False
v3-shared-science,v3-dataset-catalogue,physical_object,HZA-CEERS-397,CEERS397_taylor24,HZA-CEERS-397,CEERS-397,taylor24_ceers_rubies_blagn,broad_line_agn,6.0,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.7759667460501792,0.7759667460501792,0.7346730927994491,0.7506435648500126,0.7758533976159945,0.8076515773183823,0.8280281183192445,0.0,True,,False,,True,10000,20260808,True,split_normal_in_log_mbh,0.23,0.18,False
v3-shared-science,v3-dataset-catalogue,physical_object,HZA-CEERS-397,CEERS397_taylor24,HZA-CEERS-397,CEERS-397,taylor24_ceers_rubies_blagn,broad_line_agn,6.0,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.7759667460501792,0.3879833730250896,0.3673365463997246,0.3753217824250063,0.38792669880799724,0.40382578865919116,0.41401405915962225,0.0,True,,False,,True,10000,20260808,True,split_normal_in_log_mbh,0.23,0.18,False
v3-shared-science,v3-dataset-catalogue,physical_object,HZA-CEERS-397,CEERS397_taylor24,HZA-CEERS-397,CEERS-397,taylor24_ceers_rubies_blagn,broad_line_agn,6.0,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.7759667460501792,0.2586555820167264,0.2448910309331497,0.25021452161667085,0.25861779920533146,0.2692171924394608,0.2760093727730815,0.0,True,,False,,True,10000,20260808,True,split_normal_in_log_mbh,0.23,0.18,False
v3-shared-science,v3-dataset-catalogue,physical_object,HZA-CEERS-672,CEERS672_taylor24,HZA-CEERS-672,CEERS-672,taylor24_ceers_rubies_blagn,broad_line_agn,5.666,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.6065964089731533,0.6065964089731533,0.5522151180593214,0.5737613767077216,0.6064079725394715,0.642856839932578,0.6677226123951441,0.0,True,,False,,True,10000,20260808,True,split_normal_in_log_mbh,0.29,0.26,False
v3-shared-science,v3-dataset-catalogue,physical_object,HZA-CEERS-672,CEERS672_taylor24,HZA-CEERS-672,CEERS-672,taylor24_ceers_rubies_blagn,broad_line_agn,5.666,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.6065964089731533,0.30329820448657663,0.2761075590296607,0.2868806883538608,0.30320398626973577,0.321428419966289,0.33386130619757204,0.0,True,,False,,True,10000,20260808,True,split_normal_in_log_mbh,0.29,0.26,False
