science_release,input_catalogue_release,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,source_key,object_class,redshift,log_mseed_assumption,z_seed,epsilon,merger_boost,burst_scenario,burst_fedd,quiescent_fedd,required_lifetime_average_fedd_point,required_duty_cycle_point,required_duty_cycle_p5,required_duty_cycle_p16,required_duty_cycle_p50,required_duty_cycle_p84,required_duty_cycle_p95,prob_required_duty_cycle_gt_1,fixed_burst_scenario_feasible_point,reported_current_fedd,current_fedd_comparison_eligible_flag,current_to_required_fedd_ratio,current_fedd_is_instantaneous_not_history,n_samples,random_seed,reported_statistical_errors_sampled,statistical_error_model,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,systematic_combined_with_statistical_error
v3-shared-science,v3-dataset-catalogue,measurement,CEERS00397_harikane23,CEERS00397_harikane23,HZA-CEERS-397,CEERS-00397,harikane23_nirspec_blagn,broad_line_agn,6.0,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.6928274518305172,0.6928274518305172,0.6243882747909494,0.651048973291513,0.6914893706123316,0.7274987836662564,0.7498500636487347,0.0,True,2.02,True,2.9155888593371473,True,10000,20260808,True,split_normal_in_log_mbh,0.25527251,0.30103,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS00397_harikane23,CEERS00397_harikane23,HZA-CEERS-397,CEERS-00397,harikane23_nirspec_blagn,broad_line_agn,6.0,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.6928274518305172,0.3464137259152586,0.3121941373954747,0.3255244866457565,0.3457446853061658,0.3637493918331282,0.37492503182436737,0.0,True,2.02,True,2.9155888593371473,True,10000,20260808,True,split_normal_in_log_mbh,0.25527251,0.30103,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS00397_harikane23,CEERS00397_harikane23,HZA-CEERS-397,CEERS-00397,harikane23_nirspec_blagn,broad_line_agn,6.0,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.6928274518305172,0.23094248394350572,0.20812942493031647,0.21701632443050436,0.23049645687077722,0.2424995945554188,0.24995002121624493,0.0,True,2.02,True,2.9155888593371473,True,10000,20260808,True,split_normal_in_log_mbh,0.25527251,0.30103,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS00672_harikane23,CEERS00672_harikane23,HZA-CEERS-672,CEERS-00672,harikane23_nirspec_blagn,broad_line_agn,5.666,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.727784155125417,0.727784155125417,0.7003189546622357,0.7111953342507288,0.7278166721807631,0.7437321503894386,0.7540482259264973,0.0,True,0.65,True,0.8931219447721932,True,10000,20260808,True,split_normal_in_log_mbh,0.1271048,0.13076828,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS00672_harikane23,CEERS00672_harikane23,HZA-CEERS-672,CEERS-00672,harikane23_nirspec_blagn,broad_line_agn,5.666,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.727784155125417,0.3638920775627085,0.35015947733111785,0.3555976671253644,0.36390833609038153,0.3718660751947193,0.37702411296324867,0.0,True,0.65,True,0.8931219447721932,True,10000,20260808,True,split_normal_in_log_mbh,0.1271048,0.13076828,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS00672_harikane23,CEERS00672_harikane23,HZA-CEERS-672,CEERS-00672,harikane23_nirspec_blagn,broad_line_agn,5.666,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.727784155125417,0.24259471837513902,0.23343965155407856,0.23706511141690959,0.2426055573935877,0.24791071679647955,0.25134940864216576,0.0,True,0.65,True,0.8931219447721932,True,10000,20260808,True,split_normal_in_log_mbh,0.1271048,0.13076828,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS00717_harikane23,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,harikane23_nirspec_blagn,broad_line_agn,6.936,2.0,30.0,0.1,1.0,eddington,1.0,0.0,1.0273631809780568,1.0273631809780568,0.9786812955567062,0.997625199827754,1.027421682251263,1.0548764052956097,1.072841059954928,0.8188,False,0.06,True,0.05840193722231664,True,10000,20260808,True,split_normal_in_log_mbh,0.16106227,0.17168214,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS00717_harikane23,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,harikane23_nirspec_blagn,broad_line_agn,6.936,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,1.0273631809780568,0.5136815904890284,0.4893406477783531,0.498812599913877,0.5137108411256315,0.5274382026478048,0.536420529977464,0.0,True,0.06,True,0.05840193722231664,True,10000,20260808,True,split_normal_in_log_mbh,0.16106227,0.17168214,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS00717_harikane23,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,harikane23_nirspec_blagn,broad_line_agn,6.936,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,1.0273631809780568,0.34245439365935226,0.3262270985189021,0.33254173327591796,0.3424738940837543,0.35162546843186987,0.3576136866516427,0.0,True,0.06,True,0.05840193722231664,True,10000,20260808,True,split_normal_in_log_mbh,0.16106227,0.17168214,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS00746_harikane23,CEERS00746_harikane23,HZA-CEERS-746,CEERS-00746,harikane23_nirspec_blagn,broad_line_agn,5.624,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.728327294594954,0.728327294594954,0.7053224517885869,0.7145631934060104,0.7282357424884801,0.7408015924060946,0.7492076612584389,0.0,True,1.47,True,2.0183233704258106,True,10000,20260808,True,split_normal_in_log_mbh,0.09989487,0.11021548,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS00746_harikane23,CEERS00746_harikane23,HZA-CEERS-746,CEERS-00746,harikane23_nirspec_blagn,broad_line_agn,5.624,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.728327294594954,0.364163647297477,0.35266122589429344,0.3572815967030052,0.36411787124424005,0.3704007962030473,0.3746038306292194,0.0,True,1.47,True,2.0183233704258106,True,10000,20260808,True,split_normal_in_log_mbh,0.09989487,0.11021548,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS00746_harikane23,CEERS00746_harikane23,HZA-CEERS-746,CEERS-00746,harikane23_nirspec_blagn,broad_line_agn,5.624,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.728327294594954,0.24277576486498467,0.235107483929529,0.23818773113533678,0.24274524749616003,0.24693386413536486,0.24973588708614627,0.0,True,1.47,True,2.0183233704258106,True,10000,20260808,True,split_normal_in_log_mbh,0.09989487,0.11021548,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS01236_harikane23,CEERS01236_harikane23,HZA-CEERS-01236,CEERS-01236,harikane23_nirspec_blagn,broad_line_agn,4.484,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.48758132134723814,0.48758132134723814,0.46062131958098507,0.4717531557263036,0.4876769837113173,0.505700895402191,0.5169959470667638,0.0,True,0.08,True,0.1640751942239125,True,10000,20260808,True,split_normal_in_log_mbh,0.19188553,0.17609126,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS01236_harikane23,CEERS01236_harikane23,HZA-CEERS-01236,CEERS-01236,harikane23_nirspec_blagn,broad_line_agn,4.484,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.48758132134723814,0.24379066067361907,0.23031065979049253,0.2358765778631518,0.24383849185565865,0.2528504477010955,0.2584979735333819,0.0,True,0.08,True,0.1640751942239125,True,10000,20260808,True,split_normal_in_log_mbh,0.19188553,0.17609126,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS01236_harikane23,CEERS01236_harikane23,HZA-CEERS-01236,CEERS-01236,harikane23_nirspec_blagn,broad_line_agn,4.484,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.48758132134723814,0.16252710711574606,0.15354043986032836,0.15725105190876787,0.1625589945704391,0.16856696513406366,0.17233198235558794,0.0,True,0.08,True,0.1640751942239125,True,10000,20260808,True,split_normal_in_log_mbh,0.19188553,0.17609126,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS01244_harikane23,CEERS01244_harikane23,HZA-CEERS-1244,CEERS-01244,harikane23_nirspec_blagn,broad_line_agn,4.478,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.5098633516070649,0.5098633516070649,0.5056469492365706,0.5073055346038611,0.5098960489992803,0.5134835264043616,0.5158334032095896,0.0,True,0.46,True,0.9022025186750569,True,10000,20260808,True,split_normal_in_log_mbh,0.03891807,0.02802872,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS01244_harikane23,CEERS01244_harikane23,HZA-CEERS-1244,CEERS-01244,harikane23_nirspec_blagn,broad_line_agn,4.478,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.5098633516070649,0.25493167580353243,0.2528234746182853,0.25365276730193054,0.25494802449964016,0.2567417632021808,0.2579167016047948,0.0,True,0.46,True,0.9022025186750569,True,10000,20260808,True,split_normal_in_log_mbh,0.03891807,0.02802872,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS01244_harikane23,CEERS01244_harikane23,HZA-CEERS-1244,CEERS-01244,harikane23_nirspec_blagn,broad_line_agn,4.478,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.5098633516070649,0.16995445053568828,0.16854898307885688,0.1691018448679537,0.16996534966642676,0.1711611754681205,0.17194446773652988,0.0,True,0.46,True,0.9022025186750569,True,10000,20260808,True,split_normal_in_log_mbh,0.03891807,0.02802872,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS01665_harikane23,CEERS01665_harikane23,HZA-CEERS-01665,CEERS-01665,harikane23_nirspec_blagn,broad_line_agn,4.483,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.48961576950011143,0.48961576950011143,0.4694715365318751,0.47723320827617505,0.4898153823874519,0.5041110874430437,0.5134225056395761,0.0,True,1.93,True,3.9418665006858213,True,10000,20260808,True,split_normal_in_log_mbh,0.15261016,0.13262557,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS01665_harikane23,CEERS01665_harikane23,HZA-CEERS-01665,CEERS-01665,harikane23_nirspec_blagn,broad_line_agn,4.483,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.48961576950011143,0.24480788475005572,0.23473576826593756,0.23861660413808752,0.24490769119372596,0.25205554372152184,0.25671125281978807,0.0,True,1.93,True,3.9418665006858213,True,10000,20260808,True,split_normal_in_log_mbh,0.15261016,0.13262557,False
v3-shared-science,v3-dataset-catalogue,measurement,CEERS01665_harikane23,CEERS01665_harikane23,HZA-CEERS-01665,CEERS-01665,harikane23_nirspec_blagn,broad_line_agn,4.483,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.48961576950011143,0.16320525650003714,0.1564905121772917,0.15907773609205833,0.16327179412915063,0.16803702914768123,0.17114083521319207,0.0,True,1.93,True,3.9418665006858213,True,10000,20260808,True,split_normal_in_log_mbh,0.15261016,0.13262557,False
