release,physical_object_id,object_id,object_class,growth_ranking_eligible_flag,seed_model,spin_case,merger_case,f_edd_avg,required_log_mseed,compatible,status
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,pbh_origin_hypothesis,spin_plus1_eps0p423,no_merger_boost,0.3,7.040352517078171,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,pbh_origin_hypothesis,spin_plus1_eps0p423,no_merger_boost,1.0,6.43450839026057,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,pbh_origin_hypothesis,spin_plus1_eps0p423,no_merger_boost,2.0,4.492258131335479,True,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,pbh_origin_hypothesis,spin_plus1_eps0p423,merger_boost_x2,0.3,6.73932252141419,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,pbh_origin_hypothesis,spin_plus1_eps0p423,merger_boost_x2,1.0,6.1334783945965885,False,calculated
v3,HZA-A2744-QSO1,A2744-QSO1,broad_line_agn,True,pbh_origin_hypothesis,spin_plus1_eps0p423,merger_boost_x2,2.0,4.191228135671498,True,calculated
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_minus1_eps0p038,no_merger_boost,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_minus1_eps0p038,no_merger_boost,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_minus1_eps0p038,no_merger_boost,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_minus1_eps0p038,merger_boost_x2,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_minus1_eps0p038,merger_boost_x2,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_minus1_eps0p038,merger_boost_x2,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_0_eps0p057,no_merger_boost,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_0_eps0p057,no_merger_boost,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_0_eps0p057,no_merger_boost,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_0_eps0p057,merger_boost_x2,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_0_eps0p057,merger_boost_x2,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_0_eps0p057,merger_boost_x2,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_plus1_eps0p423,no_merger_boost,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_plus1_eps0p423,no_merger_boost,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_plus1_eps0p423,no_merger_boost,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_plus1_eps0p423,merger_boost_x2,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_plus1_eps0p423,merger_boost_x2,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,light_seeds,spin_plus1_eps0p423,merger_boost_x2,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_minus1_eps0p038,no_merger_boost,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_minus1_eps0p038,no_merger_boost,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_minus1_eps0p038,no_merger_boost,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_minus1_eps0p038,merger_boost_x2,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_minus1_eps0p038,merger_boost_x2,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_minus1_eps0p038,merger_boost_x2,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_0_eps0p057,no_merger_boost,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_0_eps0p057,no_merger_boost,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_0_eps0p057,no_merger_boost,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_0_eps0p057,merger_boost_x2,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_0_eps0p057,merger_boost_x2,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_0_eps0p057,merger_boost_x2,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_plus1_eps0p423,no_merger_boost,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_plus1_eps0p423,no_merger_boost,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_plus1_eps0p423,no_merger_boost,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_plus1_eps0p423,merger_boost_x2,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_plus1_eps0p423,merger_boost_x2,1.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,intermediate_seeds,spin_plus1_eps0p423,merger_boost_x2,2.0,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_minus1_eps0p038,no_merger_boost,0.3,,,missing_numeric_mbh
v3,HZA-ABELL2744-GREENE-8204-69688,abell2744-greene_8204_69688,broad_line_agn,False,heavy_seeds,spin_minus1_eps0p038,no_merger_boost,1.0,,,missing_numeric_mbh
