catalogue_release,host_system_id,n_physical_objects,n_measurements,physical_object_ids,measurement_ids,source_keys,host_system_assignment_status,host_property_scope,log_mstar_msun_std,log_mstar_upper_limit_msun,host_mass_note
v7.4-accreting-atlas-catalogue,HZS-GN-77652,1,1,HZA-GN-77652,GN77652_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GN-954,1,1,HZA-GN-954,GN954_juodzbalis25,juodzbalis25_jades_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J0002-2550,1,1,HZA-GNIRS50-J0002-2550,GNIRS50-J0002-2550_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J0008-0626,1,1,HZA-GNIRS50-J0008-0626,GNIRS50-J0008-0626_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J0033-0125,1,1,HZA-GNIRS50-J0033-0125,GNIRS50-J0033-0125_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J0050-3445,1,1,HZA-GNIRS50-J0050-3445,GNIRS50-J0050-3445_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J0055-0146,1,1,HZA-GNIRS50-J0055-0146,GNIRS50-J0055-0146_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J0136-0226,1,1,HZA-GNIRS50-J0136-0226,GNIRS50-J0136-0226_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J0203-0012,1,1,HZA-GNIRS50-J0203-0012,GNIRS50-J0203-0012_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v7.4-accreting-atlas-catalogue,HZS-GNIRS50-J0221-0802,1,1,HZA-GNIRS50-J0221-0802,GNIRS50-J0221-0802_shen19,shen19_gnirs50,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
