log_seed,epsilon,rate,nearby_primary,median_distance_dex,selected_full
4,0.42264973,1.3,49,1.1240173,False
4,0.42264973,1.4,58,0.97975138,False
4,0.42264973,1.5,67,0.85688913,False
4,0.42264973,1.6,72,0.76606322,False
4,0.42264973,1.7,84,0.68970129,False
4,0.42264973,1.8,94,0.65379773,False
4,0.42264973,1.9,100,0.58710381,True
4,0.42264973,2,107,0.50871269,True
5,0.1,0.1,58,1.0093006,False
5,0.1,0.2,125,0.43129909,True
5,0.1,0.3,97,0.68413414,True
5,0.1,0.4,39,1.3947041,False
5,0.1,0.5,19,2.2866995,False
5,0.1,0.6,6,3.2060729,False
5,0.1,0.7,4,4.0891799,False
5,0.1,0.8,3,5.0067366,False
5,0.1,0.9,0,5.9355517,False
5,0.1,1,0,6.9271083,False
5,0.1,1.1,0,7.8014629,False
5,0.1,1.2,0,8.7175091,False
5,0.1,1.3,0,9.6257546,False
5,0.1,1.4,0,10.529204,False
5,0.1,1.5,0,11.461638,False
5,0.1,1.6,0,12.382723,False
5,0.1,1.7,0,13.302894,False
5,0.1,1.8,0,14.210561,False
5,0.1,1.9,0,15.118092,False
5,0.1,2,0,16.025624,False
5,0.037749551,0.1,98,0.56590186,True
5,0.037749551,0.2,11,2.8989051,True
5,0.037749551,0.3,1,5.4774182,False
5,0.037749551,0.4,0,8.1058369,False
5,0.037749551,0.5,0,10.680991,False
5,0.037749551,0.6,0,13.296993,False
5,0.037749551,0.7,0,15.867579,False
5,0.037749551,0.8,0,18.42646,False
5,0.037749551,0.9,0,21.00135,False
5,0.037749551,1,0,23.536233,False
5,0.037749551,1.1,0,26.121036,False
5,0.037749551,1.2,0,28.674767,False
5,0.037749551,1.3,0,31.269088,False
5,0.037749551,1.4,0,33.86466,False
5,0.037749551,1.5,0,36.458208,False
5,0.037749551,1.6,0,39.036529,False
5,0.037749551,1.7,0,41.624749,False
5,0.037749551,1.8,0,44.197122,False
5,0.037749551,1.9,0,46.763582,False
5,0.037749551,2,0,49.356139,False
5,0.057190958,0.1,114,0.47479845,True
5,0.057190958,0.2,44,1.1180981,True
5,0.057190958,0.3,9,2.7426496,False
5,0.057190958,0.4,3,4.4045682,False
5,0.057190958,0.5,0,6.0859504,False
