measurement_id,object_id,ra_deg,dec_deg,redshift,redshift_kind,cosmic_time_gyr,survey,object_class,log_mbh_msun_std,log_mbh_err_plus_std,log_mbh_err_minus_std,mbh_method,detection_evidence,log_mstar_msun_std,log_mstar_err_plus_std,log_mstar_err_minus_std,mstar_method,log_lbol_erg_s_std,log_lbol_err_plus_std,log_lbol_err_minus_std,lbol_method,log_mbh_mstar_ratio,log_mbh_mstar_ratio_err,edd_ratio_std,edd_ratio_err_std,edd_ratio_from_mbh_lbol,edd_ratio_log_residual_dex,edd_ratio_consistency_flag,agn_contam_flag,lensing_mu,lensing_mu_err,missing_mstar_flag,missing_lbol_flag,missing_edd_ratio_flag,missing_lensing_flag,missing_optional_fields,mbh_interpretation_tag,mstar_interpretation_tag,lbol_interpretation_tag,quality_flag,project_version,source_key,source_table,notes
GN53757_juodzbalis25,GN-53757,189.26978,62.19421,4.447,spec,1.354502233183852,JADES,broad-line-agn,7.33,0.31,0.31,single-epoch-virial-halpha,individual_robust,10.38,0.19,0.19,beagle-spectral-decomposition,44.29,0.02,0.02,balmer-line-bolometric-correction,-3.0500000000000007,0.36359317925395684,0.07,0.0095,0.07238181264729449,-0.014531414868180588,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GS38562_juodzbalis25,GS-38562,53.13586,-27.87165,4.822,spec,1.226259143973555,JADES,broad-line-agn,7.51,0.3,0.31,single-epoch-virial-halpha,individual_robust,9.76,0.09,0.09,beagle-spectral-decomposition,44.7,0.06,0.06,balmer-line-bolometric-correction,-2.25,0.3180015723231569,0.12,0.01,0.1229219538819442,-0.010448208834816628,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GN38509_juodzbalis25,GN-38509,189.09144,62.22811,6.678,spec,0.8105236210227595,JADES,broad-line-agn,8.57,0.37,0.38,single-epoch-virial-halpha,individual_robust,9.19,0.4,0.4,beagle-spectral-decomposition,44.84,0.14,0.14,balmer-line-bolometric-correction,-0.6199999999999992,0.5482928049865328,0.015,0.006500000000000001,0.014778469338594277,0.006461804173241486,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GN20621_juodzbalis25,GN-20621,189.12252,62.29285,4.682,spec,1.2716827949057186,JADES,broad-line-agn,7.05,0.35,0.34,single-epoch-virial-halpha,individual_robust,8.41,1.58,1.58,beagle-spectral-decomposition,44.17,0.16,0.13,balmer-line-bolometric-correction,-1.3600000000000003,1.617227565928803,0.11,0.04,0.10462355067908091,0.021763230275783866,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GN11836_juodzbalis25,GN-11836,189.22059,62.26368,4.409,spec,1.3687364986748385,JADES,broad-line-agn,6.06,0.32,0.32,single-epoch-virial-halpha,individual_robust,8.17,0.15,0.15,beagle-spectral-decomposition,44.11,0.05,0.05,balmer-line-bolometric-correction,-2.1100000000000003,0.35341194094144585,0.11,0.025,0.8904908367475832,-0.9082367697242087,inconsistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value; published Table 2 MBH/Lbol/lambda_Edd triplet is internally inconsistent and is preserved verbatim pending source clarification.
GS8083_juodzbalis25,GS-8083,53.13284,-27.80186,4.753,spec,1.2483035089057362,JADES,broad-line-agn,7.1,0.31,0.31,single-epoch-virial-halpha,individual_robust,8.27,0.14,0.13,beagle-spectral-decomposition,44.03,0.04,0.04,balmer-line-bolometric-correction,-1.17,0.33811980125393426,0.07,0.0095,0.06755063795256944,0.01546858513182059,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GN1093_juodzbalis25,GN-1093,189.17974,62.22463,5.594,spec,1.017921041692968,JADES,broad-line-agn,7.14,0.34,0.33,single-epoch-virial-halpha,individual_robust,8.43,0.63,0.63,beagle-spectral-decomposition,44.32,0.13,0.11,balmer-line-bolometric-correction,-1.29,0.7135299573248485,0.12,0.035,0.12012390860604806,-0.0004482088348115451,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GN954_juodzbalis25,GN-954,189.15197,62.25964,6.759,spec,0.7978843566184635,JADES,broad-line-agn,7.7,0.31,0.32,single-epoch-virial-halpha,individual_robust,10.93,0.11,0.11,beagle-spectral-decomposition,45.17,0.15,0.17,balmer-line-bolometric-correction,-3.2299999999999995,0.33365401241405745,0.23,0.035,0.23422295449733133,-0.007901618864842563,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,robust,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Robust sample; Mstar uses BEAGLE value.
GS200679_juodzbalis25,GS-200679,53.11392,-27.8062,4.547,spec,1.318195361019195,JADES,broad-line-agn,6.19,0.6,0.3,single-epoch-virial-halpha,individual_tentative,8.53,0.13,0.13,cigale-spectral-decomposition-extended-host,43.63,0.09,0.39,balmer-line-bolometric-correction,-2.339999999999999,0.4684015371452147,0.23,0.105,0.2185895796300154,0.02209838113515143,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,tentative,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Tentative sample; source-adopted CIGALE Mstar used because the host is significantly extended.
GS20057765_juodzbalis25,GS-20057765,53.0408,-27.85901,8.913,spec,0.5527336017822919,JADES,broad-line-agn,7.33,0.62,0.7,single-epoch-virial-hbeta,stack_supported_tentative_hbeta,7.4,0.78,0.97,beagle-spectral-decomposition,44.16,0.19,0.3,balmer-line-bolometric-correction,-0.07000000000000028,1.0960041058317254,0.051,0.063,0.05365737899936336,-0.02205927878449857,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,tentative,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.
GS20030333_juodzbalis25,GS-20030333,53.05373,-27.87789,7.891,spec,0.6506319125565291,JADES,broad-line-agn,7.42,0.65,0.48,single-epoch-virial-hbeta,stack_supported_tentative_hbeta,8.61,0.2,0.2,cigale-spectral-decomposition,44.44,0.11,0.14,balmer-line-bolometric-correction,-1.1899999999999995,0.5993538187081149,0.08,0.067,0.08310544032149911,-0.016539467890489015,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,tentative,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; source-adopted CIGALE Mstar used because BEAGLE Mstar is unavailable.
GS164055_juodzbalis25,GS-164055,53.08168,-27.88857,7.397,spec,0.7088155769811714,JADES,broad-line-agn,7.63,0.59,0.66,single-epoch-virial-hbeta,stack_supported_tentative_hbeta,7.99,0.23,0.23,cigale-spectral-decomposition-extended-host,44.21,0.16,0.21,balmer-line-bolometric-correction,-0.3600000000000003,0.665976726320072,0.03,0.034,0.0301737616127428,-0.002508200162772485,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,tentative,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; source-adopted CIGALE Mstar used because the host is significantly extended.
GN4685_juodzbalis25,GN-4685,189.09629,62.23914,7.415,spec,0.7065452811411209,JADES,broad-line-agn,7.36,0.45,0.42,single-epoch-virial-hbeta,stack_supported_tentative_hbeta,9.91,0.22,0.21,beagle-spectral-decomposition,44.13,0.1,0.12,balmer-line-bolometric-correction,-2.55,0.48523190332046384,0.045,0.02,0.046733623440920045,-0.01641694110709607,consistent,1,,,False,False,False,True,lensing,single-epoch-virial,host-sed-with-agn-contamination-risk,balmer-line-bolometric-correction,tentative,v1,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.
