catalogue_release,entity_level,stratum_dimension,stratum_value,count,growth_eligible_count,primary_eligible_count
v1-dataset-catalogue,measurement,all,all,23,23,23
v1-dataset-catalogue,measurement,evidence_status,probable,5,5,5
v1-dataset-catalogue,measurement,evidence_status,secure,18,18,18
v1-dataset-catalogue,measurement,field,GOODS-N,11,11,11
v1-dataset-catalogue,measurement,field,GOODS-S,12,12,12
v1-dataset-catalogue,measurement,lrd_phenotype,not_reported,23,23,23
v1-dataset-catalogue,measurement,object_class,broad_line_agn,23,23,23
v1-dataset-catalogue,measurement,source_key,juodzbalis25_jades_blagn,23,23,23
v1-dataset-catalogue,measurement,survey,JADES,23,23,23
v1-dataset-catalogue,physical_object,all,all,23,23,23
v1-dataset-catalogue,physical_object,evidence_status,probable,5,5,5
v1-dataset-catalogue,physical_object,evidence_status,secure,18,18,18
v1-dataset-catalogue,physical_object,field,GOODS-N,11,11,11
v1-dataset-catalogue,physical_object,field,GOODS-S,12,12,12
v1-dataset-catalogue,physical_object,lrd_phenotype,not_reported,23,23,23
v1-dataset-catalogue,physical_object,object_class,broad_line_agn,23,23,23
v1-dataset-catalogue,physical_object,source_key,juodzbalis25_jades_blagn,23,23,23
v1-dataset-catalogue,physical_object,survey,JADES,23,23,23
