release,physical_object_id,object_id,object_class,growth_ranking_eligible_flag,seed_model,spin_case,merger_case,f_edd_avg,required_log_mseed,compatible,status
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,no_merger_boost,0.3,3.036190424837021,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,no_merger_boost,1.0,-8.525559437209925,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,no_merger_boost,2.0,-37.37147082619205,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,merger_boost_x2,0.3,2.73516042917304,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,merger_boost_x2,1.0,-8.826589432873906,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_minus1_eps0p038,merger_boost_x2,2.0,-37.67250082185603,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_0_eps0p057,no_merger_boost,0.3,4.786677791261788,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_0_eps0p057,no_merger_boost,1.0,-2.6906015491273747,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_0_eps0p057,no_merger_boost,2.0,-21.51041082919347,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_0_eps0p057,merger_boost_x2,0.3,4.4856477955978065,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_0_eps0p057,merger_boost_x2,1.0,-2.991631544791356,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_0_eps0p057,merger_boost_x2,2.0,-21.811440824857453,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_plus1_eps0p423,no_merger_boost,0.3,7.725686519546332,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_plus1_eps0p423,no_merger_boost,1.0,7.106094211821106,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_plus1_eps0p423,no_merger_boost,2.0,5.119769236734539,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_plus1_eps0p423,merger_boost_x2,0.3,7.4246565238823505,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_plus1_eps0p423,merger_boost_x2,1.0,6.805064216157125,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,light_seeds,spin_plus1_eps0p423,merger_boost_x2,2.0,4.818739241070558,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_minus1_eps0p038,no_merger_boost,0.3,3.036190424837021,True,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_minus1_eps0p038,no_merger_boost,1.0,-8.525559437209925,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_minus1_eps0p038,no_merger_boost,2.0,-37.37147082619205,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_minus1_eps0p038,merger_boost_x2,0.3,2.73516042917304,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_minus1_eps0p038,merger_boost_x2,1.0,-8.826589432873906,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_minus1_eps0p038,merger_boost_x2,2.0,-37.67250082185603,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_0_eps0p057,no_merger_boost,0.3,4.786677791261788,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_0_eps0p057,no_merger_boost,1.0,-2.6906015491273747,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_0_eps0p057,no_merger_boost,2.0,-21.51041082919347,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_0_eps0p057,merger_boost_x2,0.3,4.4856477955978065,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_0_eps0p057,merger_boost_x2,1.0,-2.991631544791356,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_0_eps0p057,merger_boost_x2,2.0,-21.811440824857453,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_plus1_eps0p423,no_merger_boost,0.3,7.725686519546332,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_plus1_eps0p423,no_merger_boost,1.0,7.106094211821106,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_plus1_eps0p423,no_merger_boost,2.0,5.119769236734539,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_plus1_eps0p423,merger_boost_x2,0.3,7.4246565238823505,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_plus1_eps0p423,merger_boost_x2,1.0,6.805064216157125,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,intermediate_seeds,spin_plus1_eps0p423,merger_boost_x2,2.0,4.818739241070558,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,heavy_seeds,spin_minus1_eps0p038,no_merger_boost,0.3,3.036190424837021,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,heavy_seeds,spin_minus1_eps0p038,no_merger_boost,1.0,-8.525559437209925,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,heavy_seeds,spin_minus1_eps0p038,no_merger_boost,2.0,-37.37147082619205,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,heavy_seeds,spin_minus1_eps0p038,merger_boost_x2,0.3,2.73516042917304,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,heavy_seeds,spin_minus1_eps0p038,merger_boost_x2,1.0,-8.826589432873906,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,heavy_seeds,spin_minus1_eps0p038,merger_boost_x2,2.0,-37.67250082185603,False,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,heavy_seeds,spin_0_eps0p057,no_merger_boost,0.3,4.786677791261788,True,calculated
v2,HZA-CEERS-00717,CEERS-00717,broad_line_agn,True,heavy_seeds,spin_0_eps0p057,no_merger_boost,1.0,-2.6906015491273747,False,calculated
