release,physical_object_id,object_id,object_class,growth_ranking_eligible_flag,product_kind,product_status,status_reason,path
v2,HZA-RUBIES-EGS-28812,RUBIES-EGS-28812,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-rubies-egs-28812.png
v2,HZA-RUBIES-EGS-28812,RUBIES-EGS-28812,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-rubies-egs-28812.png
v2,HZA-RUBIES-UDS-143683,RUBIES-UDS-143683,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-rubies-uds-143683.png
v2,HZA-RUBIES-UDS-143683,RUBIES-UDS-143683,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-rubies-uds-143683.png
v2,HZA-J0218P0007-BHAE-1,J0218P0007-BHAE-1,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j0218p0007-bhae-1.png
v2,HZA-J0218P0007-BHAE-1,J0218P0007-BHAE-1,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j0218p0007-bhae-1.png
v2,HZA-J1148-21787,J1148-21787,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j1148-21787.png
v2,HZA-J1148-21787,J1148-21787,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j1148-21787.png
v2,HZA-J1148-7111,J1148-7111,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j1148-7111.png
v2,HZA-J1148-7111,J1148-7111,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j1148-7111.png
v2,HZA-J0100-16221,J0100-16221,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j0100-16221.png
v2,HZA-J0100-16221,J0100-16221,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j0100-16221.png
v2,HZA-J0109M3047-BHAE-1,J0109M3047-BHAE-1,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j0109m3047-bhae-1.png
v2,HZA-J0109M3047-BHAE-1,J0109M3047-BHAE-1,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j0109m3047-bhae-1.png
v2,HZA-J0229M0808-BHAE-1,J0229M0808-BHAE-1,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-j0229m0808-bhae-1.png
v2,HZA-J0229M0808-BHAE-1,J0229M0808-BHAE-1,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-j0229m0808-bhae-1.png
v2,HZA-RUBIES-UDS-35974,RUBIES-UDS-35974,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-rubies-uds-35974.png
v2,HZA-RUBIES-UDS-35974,RUBIES-UDS-35974,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-rubies-uds-35974.png
v2,HZA-THRILS-24975,THRILS-24975,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-thrils-24975.png
v2,HZA-THRILS-24975,THRILS-24975,broad_line_agn,True,growth_track,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/growth_tracks/v2_growth_track_hza-thrils-24975.png
v2,HZA-GN-11836,GN-11836,broad_line_agn,True,parameter_map,numerical_growth_product,eligible_canonical_numeric_mbh,results/v2/gallery/per_object/broad_line_agn/parameter_maps/v2_parameter_map_hza-gn-11836.png
