science_release,input_catalogue_release,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,source_key,object_class,redshift,log_mseed_assumption,z_seed,epsilon,merger_boost,burst_scenario,burst_fedd,quiescent_fedd,required_lifetime_average_fedd_point,required_duty_cycle_point,required_duty_cycle_p5,required_duty_cycle_p16,required_duty_cycle_p50,required_duty_cycle_p84,required_duty_cycle_p95,prob_required_duty_cycle_gt_1,fixed_burst_scenario_feasible_point,reported_current_fedd,current_fedd_comparison_eligible_flag,current_to_required_fedd_ratio,current_fedd_is_instantaneous_not_history,n_samples,random_seed,reported_mass_errors_sampled,reported_mass_error_scope,reported_mass_error_model,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,additional_systematic_scatter_added
v2-shared-science,v2-dataset-catalogue,measurement,AURORA1914928583_baccus26,AURORA1914928583_baccus26,HZA-AURORA-1914-928583,AURORA_1914_928583,baccus26_nirspec_blagn,broad_line_agn,4.3807,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.4372974497315941,0.21864872486579706,0.2178080942017372,0.2181418164230205,0.21864896819179533,0.21909659835431844,0.21940228254996652,0.0,True,0.2463,True,0.5632321893282818,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.01,0.0113,False
v2-shared-science,v2-dataset-catalogue,measurement,AURORA1914928583_baccus26,AURORA1914928583_baccus26,HZA-AURORA-1914-928583,AURORA_1914_928583,baccus26_nirspec_blagn,broad_line_agn,4.3807,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.4372974497315941,0.14576581657719803,0.14520539613449146,0.145427877615347,0.14576597879453024,0.14606439890287898,0.14626818836664435,0.0,True,0.2463,True,0.5632321893282818,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.01,0.0113,False
v2-shared-science,v2-dataset-catalogue,measurement,BLUEJAY181019945_baccus26,BLUEJAY181019945_baccus26,HZA-BLUEJAY-1810-19945,BLUEJAY_1810_19945,baccus26_nirspec_blagn,broad_line_agn,6.9894,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.8586762166931999,0.8586762166931999,0.8485918074186438,0.852626609448224,0.8586471924474104,0.8636795568197525,0.866980578312875,0.0,True,0.3739,True,0.43543770367823326,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.0294,0.0357,False
v2-shared-science,v2-dataset-catalogue,measurement,BLUEJAY181019945_baccus26,BLUEJAY181019945_baccus26,HZA-BLUEJAY-1810-19945,BLUEJAY_1810_19945,baccus26_nirspec_blagn,broad_line_agn,6.9894,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.8586762166931999,0.42933810834659997,0.4242959037093219,0.426313304724112,0.4293235962237052,0.43183977840987625,0.4334902891564375,0.0,True,0.3739,True,0.43543770367823326,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.0294,0.0357,False
v2-shared-science,v2-dataset-catalogue,measurement,BLUEJAY181019945_baccus26,BLUEJAY181019945_baccus26,HZA-BLUEJAY-1810-19945,BLUEJAY_1810_19945,baccus26_nirspec_blagn,broad_line_agn,6.9894,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.8586762166931999,0.28622540556439996,0.2828639358062146,0.2842088698160747,0.2862157308158034,0.28789318560658417,0.2889935261042917,0.0,True,0.3739,True,0.43543770367823326,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.0294,0.0357,False
v2-shared-science,v2-dataset-catalogue,measurement,CEERS00397_harikane23,CEERS00397_harikane23,HZA-CEERS-397,CEERS-00397,harikane23_nirspec_blagn,broad_line_agn,6.0,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.6928274518305172,0.6928274518305172,0.6243882747909494,0.651048973291513,0.6914893706123316,0.7274987836662564,0.7498500636487347,0.0,True,2.02,True,2.9155888593371473,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.25527251,0.30103,False
v2-shared-science,v2-dataset-catalogue,measurement,CEERS00397_harikane23,CEERS00397_harikane23,HZA-CEERS-397,CEERS-00397,harikane23_nirspec_blagn,broad_line_agn,6.0,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.6928274518305172,0.3464137259152586,0.3121941373954747,0.3255244866457565,0.3457446853061658,0.3637493918331282,0.37492503182436737,0.0,True,2.02,True,2.9155888593371473,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.25527251,0.30103,False
v2-shared-science,v2-dataset-catalogue,measurement,CEERS00397_harikane23,CEERS00397_harikane23,HZA-CEERS-397,CEERS-00397,harikane23_nirspec_blagn,broad_line_agn,6.0,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.6928274518305172,0.23094248394350572,0.20812942493031647,0.21701632443050436,0.23049645687077722,0.2424995945554188,0.24995002121624493,0.0,True,2.02,True,2.9155888593371473,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.25527251,0.30103,False
v2-shared-science,v2-dataset-catalogue,measurement,CEERS00672_harikane23,CEERS00672_harikane23,HZA-CEERS-672,CEERS-00672,harikane23_nirspec_blagn,broad_line_agn,5.666,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.727784155125417,0.727784155125417,0.7003189546622357,0.7111953342507288,0.7278166721807631,0.7437321503894386,0.7540482259264973,0.0,True,0.65,True,0.8931219447721932,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.1271048,0.13076828,False
v2-shared-science,v2-dataset-catalogue,measurement,CEERS00672_harikane23,CEERS00672_harikane23,HZA-CEERS-672,CEERS-00672,harikane23_nirspec_blagn,broad_line_agn,5.666,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.727784155125417,0.3638920775627085,0.35015947733111785,0.3555976671253644,0.36390833609038153,0.3718660751947193,0.37702411296324867,0.0,True,0.65,True,0.8931219447721932,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.1271048,0.13076828,False
v2-shared-science,v2-dataset-catalogue,measurement,CEERS00672_harikane23,CEERS00672_harikane23,HZA-CEERS-672,CEERS-00672,harikane23_nirspec_blagn,broad_line_agn,5.666,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.727784155125417,0.24259471837513902,0.23343965155407856,0.23706511141690959,0.2426055573935877,0.24791071679647955,0.25134940864216576,0.0,True,0.65,True,0.8931219447721932,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.1271048,0.13076828,False
v2-shared-science,v2-dataset-catalogue,measurement,CEERS00717_harikane23,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,harikane23_nirspec_blagn,broad_line_agn,6.936,2.0,30.0,0.1,1.0,eddington,1.0,0.0,1.0273631809780568,1.0273631809780568,0.9786812955567062,0.997625199827754,1.027421682251263,1.0548764052956097,1.072841059954928,0.8188,False,0.06,True,0.05840193722231664,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.16106227,0.17168214,False
v2-shared-science,v2-dataset-catalogue,measurement,CEERS00717_harikane23,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,harikane23_nirspec_blagn,broad_line_agn,6.936,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,1.0273631809780568,0.5136815904890284,0.4893406477783531,0.498812599913877,0.5137108411256315,0.5274382026478048,0.536420529977464,0.0,True,0.06,True,0.05840193722231664,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.16106227,0.17168214,False
v2-shared-science,v2-dataset-catalogue,measurement,CEERS00717_harikane23,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,harikane23_nirspec_blagn,broad_line_agn,6.936,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,1.0273631809780568,0.34245439365935226,0.3262270985189021,0.33254173327591796,0.3424738940837543,0.35162546843186987,0.3576136866516427,0.0,True,0.06,True,0.05840193722231664,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.16106227,0.17168214,False
v2-shared-science,v2-dataset-catalogue,measurement,CEERS00746_harikane23,CEERS00746_harikane23,HZA-CEERS-746,CEERS-00746,harikane23_nirspec_blagn,broad_line_agn,5.624,2.0,30.0,0.1,1.0,eddington,1.0,0.0,0.728327294594954,0.728327294594954,0.7053224517885869,0.7145631934060104,0.7282357424884801,0.7408015924060946,0.7492076612584389,0.0,True,1.47,True,2.0183233704258106,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.09989487,0.11021548,False
v2-shared-science,v2-dataset-catalogue,measurement,CEERS00746_harikane23,CEERS00746_harikane23,HZA-CEERS-746,CEERS-00746,harikane23_nirspec_blagn,broad_line_agn,5.624,2.0,30.0,0.1,1.0,moderate_super_eddington,2.0,0.0,0.728327294594954,0.364163647297477,0.35266122589429344,0.3572815967030052,0.36411787124424005,0.3704007962030473,0.3746038306292194,0.0,True,1.47,True,2.0183233704258106,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.09989487,0.11021548,False
v2-shared-science,v2-dataset-catalogue,measurement,CEERS00746_harikane23,CEERS00746_harikane23,HZA-CEERS-746,CEERS-00746,harikane23_nirspec_blagn,broad_line_agn,5.624,2.0,30.0,0.1,1.0,strong_super_eddington,3.0,0.0,0.728327294594954,0.24277576486498467,0.235107483929529,0.23818773113533678,0.24274524749616003,0.24693386413536486,0.24973588708614627,0.0,True,1.47,True,2.0183233704258106,True,10000,20260808,True,as_published_components_not_decomposed,split_normal_in_log_mbh,0.09989487,0.11021548,False
