measurement_id,physical_object_id,preferred_measurement_flag,preferred_measurement_reason,match_method,match_reference
RUBIESUDS155916_taylor24,HZA-RUBIES-UDS-155916,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS31747_taylor24,HZA-RUBIES-UDS-31747,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS119957_taylor24,HZA-RUBIES-UDS-119957,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS28812_taylor24,HZA-RUBIES-EGS-28812,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS143683_taylor24,HZA-RUBIES-UDS-143683,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS35974_taylor24,HZA-RUBIES-UDS-35974,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS63139_taylor24,HZA-RUBIES-UDS-63139,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS48507_taylor24,HZA-RUBIES-UDS-48507,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
CEERS1244_taylor24,HZA-CEERS-1244,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS29489_taylor24,HZA-RUBIES-EGS-29489,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS19484_taylor24,HZA-RUBIES-UDS-19484,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS182791_taylor24,HZA-RUBIES-UDS-182791,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS45599_taylor24,HZA-RUBIES-EGS-45599,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS6411_taylor24,HZA-RUBIES-EGS-6411,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS42232_taylor24,HZA-RUBIES-EGS-42232,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS46985_taylor24,HZA-RUBIES-EGS-46985,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS17146_taylor24,HZA-RUBIES-EGS-17146,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS50052_taylor24,HZA-CEERS-2782,1,preferred duplicate: higher-S/N RUBIES spectrum adopted by Taylor et al.,explicit literature duplicate,"Taylor et al. (2025), Section 3.3 / Table 1 notes"
CEERS2782_taylor24,HZA-CEERS-2782,0,nonpreferred duplicate: severe spatial slit loss; Taylor et al. adopt RUBIES-EGS-50052,explicit literature duplicate,"Taylor et al. (2025), Section 3.3 / Table 1 notes"
RUBIESEGS13872_taylor24,HZA-RUBIES-EGS-13872,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS42046_taylor24,HZA-RUBIES-EGS-42046,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS970351_taylor24,HZA-RUBIES-UDS-970351,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS926125_taylor24,HZA-RUBIES-EGS-926125,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS60935_taylor24,HZA-RUBIES-EGS-60935,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS29813_taylor24,HZA-RUBIES-UDS-29813,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS172350_taylor24,HZA-RUBIES-UDS-172350,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
CEERS746_taylor24,HZA-CEERS-746,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
CEERS672_taylor24,HZA-CEERS-672,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS19521_taylor24,HZA-RUBIES-UDS-19521,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS47509_taylor24,HZA-RUBIES-UDS-47509,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS37124_taylor24,HZA-RUBIES-EGS-37124,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS139709_taylor24,HZA-RUBIES-UDS-139709,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
CEERS397_taylor24,HZA-CEERS-397,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS174752_taylor24,HZA-RUBIES-UDS-174752,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS49140_taylor24,HZA-RUBIES-EGS-49140,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS807469_taylor24,HZA-RUBIES-UDS-807469,1,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
