measurement_id,physical_object_id,preferred_measurement_flag,preferred_measurement_reason,match_method,match_reference
J0229M0808BHAE2_lin24,HZA-J0229M0808-BHAE-2,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J0430M1445BHAE1_lin24,HZA-J0430M1445-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J0910M0414BHAE1_lin24,HZA-J0910M0414-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J0923P0402BHAE1_lin24,HZA-J0923P0402-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J112014389_matthee23,HZA-J1120-14389,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J11207546_matthee23,HZA-J1120-7546,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J114818404_matthee23,HZA-J1148-18404,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J114821787_matthee23,HZA-J1148-21787,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J11487111_matthee23,HZA-J1148-7111,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J1526M2050BHAE1_lin24,HZA-J1526M2050-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J1526M2050BHAE2_lin24,HZA-J1526M2050-BHAE-2,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J1526M2050BHAE3_lin24,HZA-J1526M2050-BHAE-3,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J2002M3013BHAE1_lin24,HZA-J2002M3013-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J2132P1217BHAE1_lin24,HZA-J2132P1217-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J2232P2930BHAE1_lin24,HZA-J2232P2930-BHAE-1,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J2232P2930BHAE2_lin24,HZA-J2232P2930-BHAE-2,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
J2232P2930BHAE3_lin24,HZA-J2232P2930-BHAE-3,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01
RUBIESEGS13872_taylor24,HZA-RUBIES-EGS-13872,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS17146_taylor24,HZA-RUBIES-EGS-17146,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS28812_taylor24,HZA-RUBIES-EGS-28812,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS29489_taylor24,HZA-RUBIES-EGS-29489,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS37124_taylor24,HZA-RUBIES-EGS-37124,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS42046_taylor24,HZA-RUBIES-EGS-42046,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS42232_taylor24,HZA-RUBIES-EGS-42232,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS45599_taylor24,HZA-RUBIES-EGS-45599,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS46985_taylor24,HZA-RUBIES-EGS-46985,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS49140_taylor24,HZA-RUBIES-EGS-49140,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS50052_taylor24,HZA-CEERS-2782,True,preferred duplicate: higher-S/N RUBIES spectrum adopted by Taylor et al.,explicit literature duplicate,"Taylor et al. (2025), Section 3.3 / Table 1 notes"
RUBIESEGS60935_taylor24,HZA-RUBIES-EGS-60935,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS6411_taylor24,HZA-RUBIES-EGS-6411,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESEGS926125_taylor24,HZA-RUBIES-EGS-926125,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS119957_taylor24,HZA-RUBIES-UDS-119957,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS139709_taylor24,HZA-RUBIES-UDS-139709,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS143683_taylor24,HZA-RUBIES-UDS-143683,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS155916_taylor24,HZA-RUBIES-UDS-155916,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS172350_taylor24,HZA-RUBIES-UDS-172350,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS174752_taylor24,HZA-RUBIES-UDS-174752,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
RUBIESUDS182791_taylor24,HZA-RUBIES-UDS-182791,True,only catalogue measurement in this release,singleton assignment,"Taylor et al. (2025), Table 1"
