catalogue_release,input_catalogue_release,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,source_key,survey,field,redshift,evidence_status,primary_growth_ranking_flag,lrd_status,log_mseed_assumption,mseed_assumption_msun,z_seed,epsilon,merger_boost,quiescent_fedd,required_lifetime_average_fedd_point,reported_current_fedd,reported_current_fedd_status,current_fedd_is_instantaneous_not_history,current_to_required_fedd_ratio,n_samples,random_seed,reported_statistical_errors_sampled,statistical_error_model,log_mbh_err_plus_reported,log_mbh_err_minus_reported,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,mbh_uncertainty_mode,mass_systematic_applied,interpretation_note,burst_scenario,burst_fedd,required_duty_cycle_point,required_duty_cycle_p5,required_duty_cycle_p16,required_duty_cycle_p50,required_duty_cycle_p84,required_duty_cycle_p95,prob_required_duty_cycle_gt_1,fixed_burst_scenario_feasible_point
v5-blagn,v5-blagn,measurement,CEERS00746_harikane23,CEERS00746_harikane23,HZA-CEERS-746,CEERS-00746,harikane23_nirspec_blagn,CEERS,EGS,5.624,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.728327294594954,1.47,available,True,2.0183233704258106,10000,20260808,True,split-normal-in-log-mbh,0.09989487,0.11021548,0.09989487,0.11021548,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_2,2.0,0.364163647297477,0.3526987850182167,0.35717704180403254,0.36431067475402135,0.37044009537981976,0.37467006235797407,0.0,True
v5-blagn,v5-blagn,measurement,CEERS00746_harikane23,CEERS00746_harikane23,HZA-CEERS-746,CEERS-00746,harikane23_nirspec_blagn,CEERS,EGS,5.624,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.728327294594954,1.47,available,True,2.0183233704258106,10000,20260808,True,split-normal-in-log-mbh,0.09989487,0.11021548,0.09989487,0.11021548,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_3,3.0,0.24277576486498467,0.23513252334547782,0.23811802786935501,0.24287378316934755,0.2469600635865465,0.24978004157198272,0.0,True
v5-blagn,v5-blagn,measurement,CEERS01236_harikane23,CEERS01236_harikane23,HZA-CEERS-01236,CEERS-01236,harikane23_nirspec_blagn,CEERS,EGS,4.484,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.48758132134723814,0.08,available,True,0.1640751942239125,10000,20260808,True,split-normal-in-log-mbh,0.19188553,0.17609126,0.19188553,0.17609126,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_1,1.0,0.48758132134723814,0.4607044913437837,0.4710993212110853,0.48731448672426037,0.5049809575981286,0.5164244390075352,0.0,True
v5-blagn,v5-blagn,measurement,CEERS01236_harikane23,CEERS01236_harikane23,HZA-CEERS-01236,CEERS-01236,harikane23_nirspec_blagn,CEERS,EGS,4.484,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.48758132134723814,0.08,available,True,0.1640751942239125,10000,20260808,True,split-normal-in-log-mbh,0.19188553,0.17609126,0.19188553,0.17609126,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_2,2.0,0.24379066067361907,0.23035224567189186,0.23554966060554264,0.24365724336213018,0.2524904787990643,0.2582122195037676,0.0,True
v5-blagn,v5-blagn,measurement,CEERS01236_harikane23,CEERS01236_harikane23,HZA-CEERS-01236,CEERS-01236,harikane23_nirspec_blagn,CEERS,EGS,4.484,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.48758132134723814,0.08,available,True,0.1640751942239125,10000,20260808,True,split-normal-in-log-mbh,0.19188553,0.17609126,0.19188553,0.17609126,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_3,3.0,0.16252710711574606,0.15356816378126123,0.15703310707036175,0.1624381622414201,0.16832698586604286,0.1721414796691784,0.0,True
v5-blagn,v5-blagn,measurement,CEERS01244_harikane23,CEERS01244_harikane23,HZA-CEERS-1244,CEERS-01244,harikane23_nirspec_blagn,CEERS,EGS,4.478,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.5098633516070649,0.46,available,True,0.9022025186750569,10000,20260808,True,split-normal-in-log-mbh,0.03891807,0.02802872,0.03891807,0.02802872,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_1,1.0,0.5098633516070649,0.5055386553501567,0.5072410681883522,0.5098385716373172,0.513450400465763,0.515838218610318,0.0,True
v5-blagn,v5-blagn,measurement,CEERS01244_harikane23,CEERS01244_harikane23,HZA-CEERS-1244,CEERS-01244,harikane23_nirspec_blagn,CEERS,EGS,4.478,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.5098633516070649,0.46,available,True,0.9022025186750569,10000,20260808,True,split-normal-in-log-mbh,0.03891807,0.02802872,0.03891807,0.02802872,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_2,2.0,0.25493167580353243,0.25276932767507837,0.2536205340941761,0.2549192858186586,0.2567252002328815,0.257919109305159,0.0,True
v5-blagn,v5-blagn,measurement,CEERS01244_harikane23,CEERS01244_harikane23,HZA-CEERS-1244,CEERS-01244,harikane23_nirspec_blagn,CEERS,EGS,4.478,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.5098633516070649,0.46,available,True,0.9022025186750569,10000,20260808,True,split-normal-in-log-mbh,0.03891807,0.02802872,0.03891807,0.02802872,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_3,3.0,0.16995445053568828,0.16851288511671889,0.1690803560627841,0.16994619054577237,0.17115013348858765,0.171946072870106,0.0,True
v5-blagn,v5-blagn,measurement,CEERS01665_harikane23,CEERS01665_harikane23,HZA-CEERS-01665,CEERS-01665,harikane23_nirspec_blagn,CEERS,EGS,4.483,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.48961576950011143,1.93,available,True,3.9418665006858213,10000,20260808,True,split-normal-in-log-mbh,0.15261016,0.13262557,0.15261016,0.13262557,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_1,1.0,0.48961576950011143,0.4692142835628767,0.4773076450383193,0.4896564815410498,0.5036844218075648,0.5132874121843958,0.0,True
v5-blagn,v5-blagn,measurement,CEERS01665_harikane23,CEERS01665_harikane23,HZA-CEERS-01665,CEERS-01665,harikane23_nirspec_blagn,CEERS,EGS,4.483,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.48961576950011143,1.93,available,True,3.9418665006858213,10000,20260808,True,split-normal-in-log-mbh,0.15261016,0.13262557,0.15261016,0.13262557,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_2,2.0,0.24480788475005572,0.23460714178143835,0.23865382251915965,0.2448282407705249,0.2518422109037824,0.2566437060921979,0.0,True
v5-blagn,v5-blagn,measurement,CEERS01665_harikane23,CEERS01665_harikane23,HZA-CEERS-01665,CEERS-01665,harikane23_nirspec_blagn,CEERS,EGS,4.483,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.48961576950011143,1.93,available,True,3.9418665006858213,10000,20260808,True,split-normal-in-log-mbh,0.15261016,0.13262557,0.15261016,0.13262557,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_3,3.0,0.16320525650003714,0.15640476118762558,0.15910254834610643,0.1632188271803499,0.16789480726918823,0.17109580406146527,0.0,True
v5-blagn,v5-blagn,measurement,CEERS02782_harikane23,CEERS02782_harikane23,HZA-CEERS-2782,CEERS-02782,harikane23_nirspec_blagn,CEERS,EGS,5.241,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.6440137503139133,0.51,available,True,0.7919085574669942,10000,20260808,True,split-normal-in-log-mbh,0.10914447,0.11809931,0.10914447,0.11809931,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_1,1.0,0.6440137503139133,0.6210645125236767,0.6304251045109405,0.6441180638409256,0.656611766849441,0.6648309852954846,0.0,True
v5-blagn,v5-blagn,measurement,CEERS02782_harikane23,CEERS02782_harikane23,HZA-CEERS-2782,CEERS-02782,harikane23_nirspec_blagn,CEERS,EGS,5.241,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.6440137503139133,0.51,available,True,0.7919085574669942,10000,20260808,True,split-normal-in-log-mbh,0.10914447,0.11809931,0.10914447,0.11809931,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_2,2.0,0.32200687515695664,0.31053225626183834,0.31521255225547024,0.3220590319204628,0.3283058834247205,0.3324154926477423,0.0,True
v5-blagn,v5-blagn,measurement,CEERS02782_harikane23,CEERS02782_harikane23,HZA-CEERS-2782,CEERS-02782,harikane23_nirspec_blagn,CEERS,EGS,5.241,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.6440137503139133,0.51,available,True,0.7919085574669942,10000,20260808,True,split-normal-in-log-mbh,0.10914447,0.11809931,0.10914447,0.11809931,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_3,3.0,0.21467125010463775,0.2070215041745589,0.21014170150364683,0.21470602128030852,0.21887058894981365,0.22161032843182818,0.0,True
v5-blagn,v5-blagn,measurement,CEERS1244_taylor24,CEERS1244_taylor24,HZA-CEERS-1244,CEERS-1244,taylor24_ceers_rubies_blagn,CEERS,EGS,4.478,secure_accreting_mbh,True,non_lrd,2.0,100.0,30.0,0.1,1.0,0.0,0.5390234084690856,,unavailable_not_published_in_taylor_table1:edd_ratio,True,,10000,20260808,True,split-normal-in-log-mbh,0.03,0.02,0.03,0.02,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_1,1.0,0.5390234084690856,0.5359912614396892,0.5372190711264236,0.5390214633649622,0.541806080897636,0.543566149154985,0.0,True
v5-blagn,v5-blagn,measurement,CEERS1244_taylor24,CEERS1244_taylor24,HZA-CEERS-1244,CEERS-1244,taylor24_ceers_rubies_blagn,CEERS,EGS,4.478,secure_accreting_mbh,True,non_lrd,2.0,100.0,30.0,0.1,1.0,0.0,0.5390234084690856,,unavailable_not_published_in_taylor_table1:edd_ratio,True,,10000,20260808,True,split-normal-in-log-mbh,0.03,0.02,0.03,0.02,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_2,2.0,0.2695117042345428,0.2679956307198446,0.2686095355632118,0.2695107316824811,0.270903040448818,0.2717830745774925,0.0,True
v5-blagn,v5-blagn,measurement,CEERS1244_taylor24,CEERS1244_taylor24,HZA-CEERS-1244,CEERS-1244,taylor24_ceers_rubies_blagn,CEERS,EGS,4.478,secure_accreting_mbh,True,non_lrd,2.0,100.0,30.0,0.1,1.0,0.0,0.5390234084690856,,unavailable_not_published_in_taylor_table1:edd_ratio,True,,10000,20260808,True,split-normal-in-log-mbh,0.03,0.02,0.03,0.02,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_3,3.0,0.1796744694896952,0.17866375381322974,0.1790730237088079,0.17967382112165403,0.18060202696587868,0.181188716384995,0.0,True
v5-blagn,v5-blagn,measurement,CEERS2782_taylor24,CEERS2782_taylor24,HZA-CEERS-2782,CEERS-2782,taylor24_ceers_rubies_blagn,CEERS,EGS,5.24,secure_accreting_mbh,True,non_lrd,2.0,100.0,30.0,0.1,1.0,0.0,0.5908035196220459,,unavailable_not_published_in_taylor_table1:edd_ratio,True,,10000,20260808,True,split-normal-in-log-mbh,0.14,0.13,0.14,0.13,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_1,1.0,0.5908035196220459,0.5659703271941198,0.5757560677052529,0.5904425878531812,0.6066492677573693,0.6166549783278273,0.0,True
v5-blagn,v5-blagn,measurement,CEERS2782_taylor24,CEERS2782_taylor24,HZA-CEERS-2782,CEERS-2782,taylor24_ceers_rubies_blagn,CEERS,EGS,5.24,secure_accreting_mbh,True,non_lrd,2.0,100.0,30.0,0.1,1.0,0.0,0.5908035196220459,,unavailable_not_published_in_taylor_table1:edd_ratio,True,,10000,20260808,True,split-normal-in-log-mbh,0.14,0.13,0.14,0.13,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_2,2.0,0.29540175981102296,0.2829851635970599,0.28787803385262645,0.2952212939265906,0.30332463387868464,0.30832748916391367,0.0,True
v5-blagn,v5-blagn,measurement,CEERS2782_taylor24,CEERS2782_taylor24,HZA-CEERS-2782,CEERS-2782,taylor24_ceers_rubies_blagn,CEERS,EGS,5.24,secure_accreting_mbh,True,non_lrd,2.0,100.0,30.0,0.1,1.0,0.0,0.5908035196220459,,unavailable_not_published_in_taylor_table1:edd_ratio,True,,10000,20260808,True,split-normal-in-log-mbh,0.14,0.13,0.14,0.13,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_3,3.0,0.19693450654068198,0.18865677573137327,0.1919186892350843,0.19681419595106037,0.20221642258578976,0.2055516594426091,0.0,True
v5-blagn,v5-blagn,measurement,CEERS397_taylor24,CEERS397_taylor24,HZA-CEERS-397,CEERS-397,taylor24_ceers_rubies_blagn,CEERS,EGS,6.0,secure_accreting_mbh,True,non_lrd,2.0,100.0,30.0,0.1,1.0,0.0,0.7759667460501792,,unavailable_not_published_in_taylor_table1:edd_ratio,True,,10000,20260808,True,split-normal-in-log-mbh,0.23,0.18,0.23,0.18,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_1,1.0,0.7759667460501792,0.7339182072760642,0.7506451052624336,0.7758654139332486,0.807197785518042,0.8276821724493602,0.0,True
v5-blagn,v5-blagn,measurement,CEERS397_taylor24,CEERS397_taylor24,HZA-CEERS-397,CEERS-397,taylor24_ceers_rubies_blagn,CEERS,EGS,6.0,secure_accreting_mbh,True,non_lrd,2.0,100.0,30.0,0.1,1.0,0.0,0.7759667460501792,,unavailable_not_published_in_taylor_table1:edd_ratio,True,,10000,20260808,True,split-normal-in-log-mbh,0.23,0.18,0.23,0.18,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_2,2.0,0.3879833730250896,0.3669591036380321,0.3753225526312168,0.3879327069666243,0.403598892759021,0.4138410862246801,0.0,True
v5-blagn,v5-blagn,measurement,CEERS397_taylor24,CEERS397_taylor24,HZA-CEERS-397,CEERS-397,taylor24_ceers_rubies_blagn,CEERS,EGS,6.0,secure_accreting_mbh,True,non_lrd,2.0,100.0,30.0,0.1,1.0,0.0,0.7759667460501792,,unavailable_not_published_in_taylor_table1:edd_ratio,True,,10000,20260808,True,split-normal-in-log-mbh,0.23,0.18,0.23,0.18,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_3,3.0,0.2586555820167264,0.2446394024253547,0.25021503508747783,0.2586218046444162,0.269065928506014,0.27589405748312007,0.0,True
v5-blagn,v5-blagn,measurement,CEERS672_taylor24,CEERS672_taylor24,HZA-CEERS-672,CEERS-672,taylor24_ceers_rubies_blagn,CEERS,EGS,5.666,secure_accreting_mbh,True,lrd,2.0,100.0,30.0,0.1,1.0,0.0,0.6065964089731533,,unavailable_not_published_in_taylor_table1:edd_ratio,True,,10000,20260808,True,split-normal-in-log-mbh,0.29,0.26,0.29,0.26,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_1,1.0,0.6065964089731533,0.5521427806152138,0.5732540680602048,0.6066180180631497,0.6425374565148058,0.6668377240231804,0.0,True
v5-blagn,v5-blagn,measurement,CEERS672_taylor24,CEERS672_taylor24,HZA-CEERS-672,CEERS-672,taylor24_ceers_rubies_blagn,CEERS,EGS,5.666,secure_accreting_mbh,True,lrd,2.0,100.0,30.0,0.1,1.0,0.0,0.6065964089731533,,unavailable_not_published_in_taylor_table1:edd_ratio,True,,10000,20260808,True,split-normal-in-log-mbh,0.29,0.26,0.29,0.26,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_2,2.0,0.30329820448657663,0.2760713903076069,0.2866270340301024,0.30330900903157487,0.3212687282574029,0.3334188620115902,0.0,True
v5-blagn,v5-blagn,measurement,CEERS672_taylor24,CEERS672_taylor24,HZA-CEERS-672,CEERS-672,taylor24_ceers_rubies_blagn,CEERS,EGS,5.666,secure_accreting_mbh,True,lrd,2.0,100.0,30.0,0.1,1.0,0.0,0.6065964089731533,,unavailable_not_published_in_taylor_table1:edd_ratio,True,,10000,20260808,True,split-normal-in-log-mbh,0.29,0.26,0.29,0.26,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_3,3.0,0.20219880299105109,0.1840475935384046,0.19108468935340162,0.20220600602104993,0.21417915217160194,0.22227924134106014,0.0,True
v5-blagn,v5-blagn,measurement,CEERS746_taylor24,CEERS746_taylor24,HZA-CEERS-746,CEERS-746,taylor24_ceers_rubies_blagn,CEERS,EGS,5.623,secure_accreting_mbh,True,lrd,2.0,100.0,30.0,0.1,1.0,0.0,0.668332393394149,,unavailable_not_published_in_taylor_table1:edd_ratio,True,,10000,20260808,True,split-normal-in-log-mbh,0.16,0.14,0.16,0.14,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_1,1.0,0.668332393394149,0.639344665136503,0.6506117156814977,0.6682474759928729,0.6882139682055523,0.7019749030782902,0.0,True
v5-blagn,v5-blagn,measurement,CEERS746_taylor24,CEERS746_taylor24,HZA-CEERS-746,CEERS-746,taylor24_ceers_rubies_blagn,CEERS,EGS,5.623,secure_accreting_mbh,True,lrd,2.0,100.0,30.0,0.1,1.0,0.0,0.668332393394149,,unavailable_not_published_in_taylor_table1:edd_ratio,True,,10000,20260808,True,split-normal-in-log-mbh,0.16,0.14,0.16,0.14,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_2,2.0,0.3341661966970745,0.3196723325682515,0.32530585784074884,0.33412373799643647,0.3441069841027761,0.3509874515391451,0.0,True
v5-blagn,v5-blagn,measurement,CEERS746_taylor24,CEERS746_taylor24,HZA-CEERS-746,CEERS-746,taylor24_ceers_rubies_blagn,CEERS,EGS,5.623,secure_accreting_mbh,True,lrd,2.0,100.0,30.0,0.1,1.0,0.0,0.668332393394149,,unavailable_not_published_in_taylor_table1:edd_ratio,True,,10000,20260808,True,split-normal-in-log-mbh,0.16,0.14,0.16,0.14,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_3,3.0,0.22277746446471633,0.21311488837883436,0.21687057189383255,0.22274915866429096,0.22940465606851743,0.2339916343594301,0.0,True
v5-blagn,v5-blagn,measurement,GLASS150029_harikane23,GLASS150029_harikane23,HZA-GLASS-150029,GLASS-150029,harikane23_nirspec_blagn,GLASS,Abell-2744,4.583,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.4362663792275504,1.89,available,True,4.33221556826455,10000,20260808,True,split-normal-in-log-mbh,0.02286288,0.03672281,0.02286288,0.03672281,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_1,1.0,0.4362663792275504,0.43058940542382657,0.43277491587130146,0.4363165166628611,0.4385095396369888,0.43994406863029123,0.0,True
v5-blagn,v5-blagn,measurement,GLASS150029_harikane23,GLASS150029_harikane23,HZA-GLASS-150029,GLASS-150029,harikane23_nirspec_blagn,GLASS,Abell-2744,4.583,secure_accreting_mbh,True,not_reported_by_source,2.0,100.0,30.0,0.1,1.0,0.0,0.4362663792275504,1.89,available,True,4.33221556826455,10000,20260808,True,split-normal-in-log-mbh,0.02286288,0.03672281,0.02286288,0.03672281,asymmetric,False,effective two-state sensitivity; required mean and current reported fEdd are not the same observable,burst_fedd_2,2.0,0.2181331896137752,0.21529470271191328,0.21638745793565073,0.21815825833143054,0.2192547698184944,0.21997203431514561,0.0,True
