catalogue_release,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,n_measurements,available_measurement_ids,preferred_measurement_flag,preferred_measurement_reason,redshift,cosmic_time_gyr,survey,field,object_class,quality_flag,detection_evidence,source_key,source_table,source_paper_version,source_url,source_doi,mbh_method,lrd_flag,lrd_status,halpha_absorption_fit_flag,source_caveat_tags,notes,scenario,scenario_label,scenario_kind,scenario_scope,mbh_delta_dex,reported_statistical_errors_applied,systematic_combined_with_statistical_error,z_seed,epsilon,merger_boost,delta_t_z30_gyr,log_mbh_eval,log_mbh_err_plus_reported,log_mbh_err_minus_reported,mstar_diagnostic_status,lbol_diagnostic_status,edd_ratio_diagnostic_status,log_mstar_msun,log_lbol_erg_s,edd_ratio_reported,log_mbh_mstar_ratio,edd_ratio_consistency_flag,edd_ratio_log_residual_dex,required_fedd_seed1e2,required_fedd_seed1e4,required_fedd_seed1e5,required_log_mseed_fedd0p3,required_log_mseed_fedd1
expanded-blagn-v1,physical_object,HZA-GS-164055,GS164055_juodzbalis25,HZA-GS-164055,GS-164055,1,GS164055_juodzbalis25,True,only catalogue measurement in this release,7.397,0.7088155769811714,JADES,,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,not_reported_by_source,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; source-adopted CIGALE Mstar used because the host is significantly extended.,mbh_minus_0p3dex,MBH -0.3 dex,global_comparison,all_sources,-0.3,False,False,30.0,0.1,1.0,0.6088300468120469,7.33,0.59,0.66,available,available,available,7.99,44.21,0.03,-0.3600000000000003,consistent,-0.0025082001627724,1.0078985596983043,0.6297002258527867,0.440601058930028,5.743530821515778,2.041769405052591
expanded-blagn-v1,physical_object,HZA-GS-164055,GS164055_juodzbalis25,HZA-GS-164055,GS-164055,1,GS164055_juodzbalis25,True,only catalogue measurement in this release,7.397,0.7088155769811714,JADES,,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,not_reported_by_source,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; source-adopted CIGALE Mstar used because the host is significantly extended.,mbh_plus_0p3dex,MBH +0.3 dex,global_comparison,all_sources,0.3,False,False,30.0,0.1,1.0,0.6088300468120469,7.93,0.59,0.66,available,available,available,7.99,44.21,0.03,-0.3600000000000003,consistent,-0.0025082001627724,1.1213580598519597,0.7431597260064419,0.5540605590836831,6.3435308215157775,2.6417694050525906
expanded-blagn-v1,physical_object,HZA-GN-954,GN954_juodzbalis25,HZA-GN-954,GN-954,1,GN954_juodzbalis25,True,only catalogue measurement in this release,6.759,0.7978843566184635,JADES,,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-halpha,,not_reported_by_source,,,Robust sample; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.697898826449339,7.7,0.31,0.32,available,available,available,10.93,45.17,0.23,-3.2299999999999995,consistent,-0.0079016188648425,0.9403035606779888,0.6103724867558875,0.4454069497948368,5.881438344477782,1.6381278149259382
expanded-blagn-v1,physical_object,HZA-GN-954,GN954_juodzbalis25,HZA-GN-954,GN-954,1,GN954_juodzbalis25,True,only catalogue measurement in this release,6.759,0.7978843566184635,JADES,,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-halpha,,not_reported_by_source,,,Robust sample; Mstar uses BEAGLE value.,mbh_minus_0p3dex,MBH -0.3 dex,global_comparison,all_sources,-0.3,False,False,30.0,0.1,1.0,0.697898826449339,7.4,0.31,0.32,available,available,available,10.93,45.17,0.23,-3.2299999999999995,consistent,-0.0079016188648425,0.8908138995896736,0.5608828256675722,0.3959172887065216,5.581438344477782,1.3381278149259384
expanded-blagn-v1,physical_object,HZA-GN-954,GN954_juodzbalis25,HZA-GN-954,GN-954,1,GN954_juodzbalis25,True,only catalogue measurement in this release,6.759,0.7978843566184635,JADES,,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-halpha,,not_reported_by_source,,,Robust sample; Mstar uses BEAGLE value.,mbh_plus_0p3dex,MBH +0.3 dex,global_comparison,all_sources,0.3,False,False,30.0,0.1,1.0,0.697898826449339,8.0,0.31,0.32,available,available,available,10.93,45.17,0.23,-3.2299999999999995,consistent,-0.0079016188648425,0.9897932217663039,0.6598621478442026,0.49489661088315196,6.181438344477781,1.938127814925938
expanded-blagn-v1,physical_object,HZA-GN-38509,GN38509_juodzbalis25,HZA-GN-38509,GN-38509,1,GN38509_juodzbalis25,True,only catalogue measurement in this release,6.678,0.8105236210227595,JADES,,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-halpha,,not_reported_by_source,,,Robust sample; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.7105380908536351,8.57,0.37,0.38,available,available,available,9.19,44.84,0.015,-0.6199999999999992,consistent,0.0064618041732414,1.064544199368414,0.7404820382212559,0.578450957647677,6.71850336776117,2.398344559203899
expanded-blagn-v1,physical_object,HZA-GN-38509,GN38509_juodzbalis25,HZA-GN-38509,GN-38509,1,GN38509_juodzbalis25,True,only catalogue measurement in this release,6.678,0.8105236210227595,JADES,,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-halpha,,not_reported_by_source,,,Robust sample; Mstar uses BEAGLE value.,mbh_minus_0p3dex,MBH -0.3 dex,global_comparison,all_sources,-0.3,False,False,30.0,0.1,1.0,0.7105380908536351,8.27,0.37,0.38,available,available,available,9.19,44.84,0.015,-0.6199999999999992,consistent,0.0064618041732414,1.0159348751963402,0.6918727140491822,0.5298416334756031,6.418503367761169,2.0983445592038983
expanded-blagn-v1,physical_object,HZA-GN-38509,GN38509_juodzbalis25,HZA-GN-38509,GN-38509,1,GN38509_juodzbalis25,True,only catalogue measurement in this release,6.678,0.8105236210227595,JADES,,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-halpha,,not_reported_by_source,,,Robust sample; Mstar uses BEAGLE value.,mbh_plus_0p3dex,MBH +0.3 dex,global_comparison,all_sources,0.3,False,False,30.0,0.1,1.0,0.7105380908536351,8.870000000000001,0.37,0.38,available,available,available,9.19,44.84,0.015,-0.6199999999999992,consistent,0.0064618041732414,1.1131535235404875,0.7890913623933297,0.6270602818197508,7.018503367761171,2.6983445592038997
expanded-blagn-v1,physical_object,HZA-GS-210600,GS210600_juodzbalis25,HZA-GS-210600,GS-210600,1,GS210600_juodzbalis25,True,only catalogue measurement in this release,6.306,0.8730973651000311,JADES,,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-halpha,,not_reported_by_source,,,Robust sample; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.7731118349309066,7.41,0.33,0.34,available,available,available,8.4,44.29,0.057,-0.9900000000000002,consistent,-0.0237545992099406,0.8056392872456205,0.5078059093359641,0.35888922038113596,5.395450777172458,0.6948359239081929
expanded-blagn-v1,physical_object,HZA-GS-210600,GS210600_juodzbalis25,HZA-GS-210600,GS-210600,1,GS210600_juodzbalis25,True,only catalogue measurement in this release,6.306,0.8730973651000311,JADES,,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-halpha,,not_reported_by_source,,,Robust sample; Mstar uses BEAGLE value.,mbh_minus_0p3dex,MBH -0.3 dex,global_comparison,all_sources,-0.3,False,False,30.0,0.1,1.0,0.7731118349309066,7.11,0.33,0.34,available,available,available,8.4,44.29,0.057,-0.9900000000000002,consistent,-0.0237545992099406,0.7609642805591722,0.4631309026495157,0.31421421369468755,5.095450777172458,0.3948359239081931
