measurement_id,object_id,redshift,quality_flag,scenario,scenario_label,mbh_delta_dex,n_samples,random_seed,z_seed,epsilon,merger_boost,seed_mass_assumption,seed_mass_short,log_mseed_assumption,mseed_assumption_msun,log_mbh_err_plus_reported,log_mbh_err_minus_reported,log_mbh_sigma_plus_used,log_mbh_sigma_minus_used,mbh_uncertainty_mode,log_mbh_sample_p5,log_mbh_sample_p16,log_mbh_sample_p50,log_mbh_sample_p84,log_mbh_sample_p95,required_fedd_p5,required_fedd_p16,required_fedd_p50,required_fedd_p84,required_fedd_p95,p_required_fedd_gt1,prob_required_fedd_gt_1
GS10013704_juodzbalis25,GS-10013704,5.919,robust,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,seed_1e5_msun,seed1e5,5.0,100000.0,0.31,0.31,0.31,0.31,symmetric_reported,6.934033716485371,7.136812459864628,7.441030422789781,7.743165183668975,7.94499014736705,0.2628159058334602,0.2903715159920246,0.33171170505671155,0.3727688077263287,0.40019480873240576,0.0,0.0
GS10013704_juodzbalis25,GS-10013704,5.919,robust,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,seed_1e2_msun,seed1e2,2.0,100.0,0.31,0.31,0.31,0.31,symmetric_reported,6.634033716485371,6.836812459864628,7.141030422789782,7.443165183668976,7.64499014736705,0.6297189953203751,0.6572746054789396,0.6986147945436264,0.7396718972132437,0.7670978982193207,0.0,0.0
GS10013704_juodzbalis25,GS-10013704,5.919,robust,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,seed_1e4_msun,seed1e4,4.0,10000.0,0.31,0.31,0.31,0.31,symmetric_reported,6.634033716485371,6.836812459864628,7.141030422789782,7.443165183668976,7.64499014736705,0.35793892903377156,0.3854945391923359,0.4268347282570228,0.46789183092664,0.4953178319327171,0.0,0.0
GS10013704_juodzbalis25,GS-10013704,5.919,robust,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,seed_1e5_msun,seed1e5,5.0,100000.0,0.31,0.31,0.31,0.31,symmetric_reported,6.634033716485371,6.836812459864628,7.141030422789782,7.443165183668976,7.64499014736705,0.22204889589046967,0.24960450604903406,0.29094469511372095,0.33200179778333816,0.3594277987894153,0.0,0.0
GS10013704_juodzbalis25,GS-10013704,5.919,robust,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,seed_1e2_msun,seed1e2,2.0,100.0,0.31,0.31,0.31,0.31,symmetric_reported,7.234033716485371,7.436812459864628,7.741030422789781,8.043165183668975,8.24499014736705,0.7112530152063562,0.7388086253649206,0.7801488144296076,0.8212059170992247,0.8486319181053018,0.0,0.0
GS10013704_juodzbalis25,GS-10013704,5.919,robust,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,seed_1e4_msun,seed1e4,4.0,10000.0,0.31,0.31,0.31,0.31,symmetric_reported,7.234033716485371,7.436812459864628,7.741030422789781,8.043165183668975,8.24499014736705,0.4394729489197526,0.467028559078317,0.5083687481430038,0.5494258508126211,0.5768518518186981,0.0,0.0
GS10013704_juodzbalis25,GS-10013704,5.919,robust,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,seed_1e5_msun,seed1e5,5.0,100000.0,0.31,0.31,0.31,0.31,symmetric_reported,7.234033716485371,7.436812459864628,7.741030422789781,8.043165183668975,8.24499014736705,0.30358291577645075,0.33113852593501514,0.372478714999702,0.4135358176693192,0.44096181867539624,0.0,0.0
GS210600_juodzbalis25,GS-210600,6.306,robust,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,seed_1e2_msun,seed1e2,2.0,100.0,0.33,0.34,0.33,0.34,asymmetric,6.84319137201632,7.071784770283726,7.410327131384717,7.743220472876818,7.955319097983196,0.7212320230952621,0.7552733950821765,0.8056880025682861,0.8552613767583985,0.8868464017411118,0.0001,0.0001
GS210600_juodzbalis25,GS-210600,6.306,robust,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,seed_1e4_msun,seed1e4,4.0,10000.0,0.33,0.34,0.33,0.34,asymmetric,6.84319137201632,7.071784770283726,7.410327131384717,7.743220472876818,7.955319097983196,0.4233986451856056,0.4574400171725201,0.5078546246586296,0.5574279988487422,0.5890130238314554,0.0,0.0
GS210600_juodzbalis25,GS-210600,6.306,robust,baseline,reported MBH,0.0,10000,20260808,30.0,0.1,1.0,seed_1e5_msun,seed1e5,5.0,100000.0,0.33,0.34,0.33,0.34,asymmetric,6.84319137201632,7.071784770283726,7.410327131384717,7.743220472876818,7.955319097983196,0.27448195623077737,0.3085233282176918,0.3589379357038014,0.4085113098939139,0.4400963348766272,0.0,0.0
GS210600_juodzbalis25,GS-210600,6.306,robust,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,seed_1e2_msun,seed1e2,2.0,100.0,0.33,0.34,0.33,0.34,asymmetric,6.54319137201632,6.771784770283726,7.110327131384718,7.443220472876818,7.655319097983196,0.6765570164088137,0.710598388395728,0.7610129958818376,0.81058637007195,0.8421713950546634,0.0,0.0
GS210600_juodzbalis25,GS-210600,6.306,robust,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,seed_1e4_msun,seed1e4,4.0,10000.0,0.33,0.34,0.33,0.34,asymmetric,6.54319137201632,6.771784770283726,7.110327131384718,7.443220472876818,7.655319097983196,0.3787236384991572,0.41276501048607167,0.46317961797218116,0.5127529921622936,0.5443380171450068,0.0,0.0
GS210600_juodzbalis25,GS-210600,6.306,robust,mbh_minus_0p3dex,MBH -0.3 dex,-0.3,10000,20260808,30.0,0.1,1.0,seed_1e5_msun,seed1e5,5.0,100000.0,0.33,0.34,0.33,0.34,asymmetric,6.54319137201632,6.771784770283726,7.110327131384718,7.443220472876818,7.655319097983196,0.22980694954432893,0.2638483215312434,0.3142629290173529,0.3638363032074654,0.39542132819017867,0.0,0.0
GS210600_juodzbalis25,GS-210600,6.306,robust,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,seed_1e2_msun,seed1e2,2.0,100.0,0.33,0.34,0.33,0.34,asymmetric,7.14319137201632,7.371784770283726,7.710327131384718,8.043220472876818,8.255319097983197,0.7659070297817105,0.7999484017686249,0.8503630092547345,0.8999363834448472,0.9315214084275604,0.0016,0.0016
GS210600_juodzbalis25,GS-210600,6.306,robust,mbh_plus_0p3dex,MBH +0.3 dex,0.3,10000,20260808,30.0,0.1,1.0,seed_1e4_msun,seed1e4,4.0,10000.0,0.33,0.34,0.33,0.34,asymmetric,7.14319137201632,7.371784770283726,7.710327131384718,8.043220472876818,8.255319097983197,0.468073651872054,0.5021150238589684,0.552529631345078,0.6021030055351906,0.6336880305179039,0.0,0.0
