catalogue_release,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,n_measurements,available_measurement_ids,preferred_measurement_flag,preferred_measurement_reason,redshift,cosmic_time_gyr,survey,field,object_class,quality_flag,detection_evidence,source_key,source_table,source_paper_version,source_url,source_doi,mbh_method,lrd_flag,lrd_status,halpha_absorption_fit_flag,source_caveat_tags,notes,scenario,scenario_label,scenario_kind,scenario_scope,mbh_delta_dex,reported_statistical_errors_applied,systematic_combined_with_statistical_error,z_seed,epsilon,merger_boost,delta_t_z30_gyr,log_mbh_eval,log_mbh_err_plus_reported,log_mbh_err_minus_reported,mstar_diagnostic_status,lbol_diagnostic_status,edd_ratio_diagnostic_status,log_mstar_msun,log_lbol_erg_s,edd_ratio_reported,log_mbh_mstar_ratio,edd_ratio_consistency_flag,edd_ratio_log_residual_dex,required_fedd_seed1e2,required_fedd_seed1e4,required_fedd_seed1e5,required_log_mseed_fedd0p3,required_log_mseed_fedd1
v5-blagn,physical_object,HZA-CEERS-01665,CEERS01665_harikane23,HZA-CEERS-01665,CEERS-01665,1,CEERS01665_harikane23,True,only catalogue measurement in this release,4.483,1.3412424612273763,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,dust_extinction_corrected;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,mbh_minus_0p3dex,MBH -0.3 dex,global_comparison,all_sources,-0.3,False,False,30.0,0.1,1.0,1.241256931058252,6.9787536,0.15261016,0.13262557,available,available,available,9.92,45.68124124,1.93,-2.6412464,consistent,-0.0165597858746597,0.46179012314866336,0.2762858141390095,0.18353365963418253,3.7443273853034174,-3.802667115655276
v5-blagn,physical_object,HZA-CEERS-01665,CEERS01665_harikane23,HZA-CEERS-01665,CEERS-01665,1,CEERS01665_harikane23,True,only catalogue measurement in this release,4.483,1.3412424612273763,CEERS,EGS,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,dust_extinction_corrected;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,mbh_plus_0p3dex,MBH +0.3 dex,global_comparison,all_sources,0.3,False,False,30.0,0.1,1.0,1.241256931058252,7.5787536,0.15261016,0.13262557,available,available,available,9.92,45.68124124,1.93,-2.6412464,consistent,-0.0165597858746597,0.5174414158515594,0.3319371068419056,0.23918495233707868,4.344327385303417,-3.2026671156552764
v5-blagn,physical_object,HZA-GLASS-160133,GLASS160133_harikane23,HZA-GLASS-160133,GLASS-160133,1,GLASS160133_harikane23,True,only catalogue measurement in this release,4.015,1.5322810416098551,GLASS,Abell-2744,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,host_mass_upper_limit;narrow_oiii_outflow_component;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,1.4322955114407308,6.36172784,0.01848341,0.01930516,unavailable_in_source:mstar,available,available,,45.04139269,3.68,,consistent,-0.0134464862089206,0.35059976882768845,0.18983789569454568,0.1094569591279743,2.6294996175589698,-6.079032901470104
v5-blagn,physical_object,HZA-GLASS-160133,GLASS160133_harikane23,HZA-GLASS-160133,GLASS-160133,1,GLASS160133_harikane23,True,only catalogue measurement in this release,4.015,1.5322810416098551,GLASS,Abell-2744,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,host_mass_upper_limit;narrow_oiii_outflow_component;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,mbh_minus_0p3dex,MBH -0.3 dex,global_comparison,all_sources,-0.3,False,False,30.0,0.1,1.0,1.4322955114407308,6.0617278400000005,0.01848341,0.01930516,unavailable_in_source:mstar,available,available,,45.04139269,3.68,,consistent,-0.0134464862089206,0.3264854878577171,0.16572361472457428,0.0853426781580029,2.32949961755897,-6.3790329014701035
v5-blagn,physical_object,HZA-GLASS-160133,GLASS160133_harikane23,HZA-GLASS-160133,GLASS-160133,1,GLASS160133_harikane23,True,only catalogue measurement in this release,4.015,1.5322810416098551,GLASS,Abell-2744,broad-line-agn,robust,individual_robust,harikane23_nirspec_blagn,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,False,non_lrd,,host_mass_upper_limit;narrow_oiii_outflow_component;virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,mbh_plus_0p3dex,MBH +0.3 dex,global_comparison,all_sources,0.3,False,False,30.0,0.1,1.0,1.4322955114407308,6.66172784,0.01848341,0.01930516,unavailable_in_source:mstar,available,available,,45.04139269,3.68,,consistent,-0.0134464862089206,0.37471404979765993,0.2139521766645171,0.13357124009794571,2.9294996175589696,-5.779032901470104
v5-blagn,physical_object,HZA-GS-20057765,GS20057765_juodzbalis25,HZA-GS-20057765,GS-20057765,1,GS20057765_juodzbalis25,True,only catalogue measurement in this release,8.913,0.5527336017822919,JADES,,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,False,non_lrd,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.45274807161316744,7.33,0.62,0.7,available,available,available,7.4,44.16,0.051,-0.0700000000000002,consistent,-0.0220592787844985,1.3553650821669596,0.8467853139992451,0.5924954299153876,6.150244064836379,3.397480216121263
v5-blagn,physical_object,HZA-GS-20057765,GS20057765_juodzbalis25,HZA-GS-20057765,GS-20057765,1,GS20057765_juodzbalis25,True,only catalogue measurement in this release,8.913,0.5527336017822919,JADES,,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,False,non_lrd,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.,mbh_minus_0p3dex,MBH -0.3 dex,global_comparison,all_sources,-0.3,False,False,30.0,0.1,1.0,0.45274807161316744,7.03,0.62,0.7,available,available,available,7.4,44.16,0.051,-0.0700000000000002,consistent,-0.0220592787844985,1.2790781169418026,0.7704983487740878,0.5162084646902305,5.850244064836379,3.097480216121263
v5-blagn,physical_object,HZA-GS-20057765,GS20057765_juodzbalis25,HZA-GS-20057765,GS-20057765,1,GS20057765_juodzbalis25,True,only catalogue measurement in this release,8.913,0.5527336017822919,JADES,,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,False,non_lrd,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.,mbh_plus_0p3dex,MBH +0.3 dex,global_comparison,all_sources,0.3,False,False,30.0,0.1,1.0,0.45274807161316744,7.63,0.62,0.7,available,available,available,7.4,44.16,0.051,-0.0700000000000002,consistent,-0.0220592787844985,1.4316520473921168,0.9230722792244023,0.6687823951405449,6.450244064836379,3.6974802161212628
v5-blagn,physical_object,HZA-GS-20030333,GS20030333_juodzbalis25,HZA-GS-20030333,GS-20030333,1,GS20030333_juodzbalis25,True,only catalogue measurement in this release,7.891,0.6506319125565291,JADES,,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,False,non_lrd,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; source-adopted CIGALE Mstar used because BEAGLE Mstar is unavailable.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.5506463823874046,7.42,0.65,0.48,available,available,available,8.61,44.44,0.08,-1.1899999999999995,consistent,-0.016539467890489,1.1332146730828314,0.7150542771113069,0.5059740791255446,5.985143887894973,2.6371462929832443
v5-blagn,physical_object,HZA-GS-20030333,GS20030333_juodzbalis25,HZA-GS-20030333,GS-20030333,1,GS20030333_juodzbalis25,True,only catalogue measurement in this release,7.891,0.6506319125565291,JADES,,broad-line-agn,tentative,stack_supported_tentative_hbeta,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,False,non_lrd,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; source-adopted CIGALE Mstar used because BEAGLE Mstar is unavailable.,mbh_minus_0p3dex,MBH -0.3 dex,global_comparison,all_sources,-0.3,False,False,30.0,0.1,1.0,0.5506463823874046,7.12,0.65,0.48,available,available,available,8.61,44.44,0.08,-1.1899999999999995,consistent,-0.016539467890489,1.0704906136871029,0.6523302177155782,0.443250019729816,5.685143887894974,2.3371462929832445
