rank_physical_pressure,rank_followup_priority,measurement_id,physical_object_id,object_id,redshift,cosmic_time_gyr,delta_t_z30_gyr,survey,object_class,quality_flag,detection_evidence,source_key,source_table,log_mbh_msun,log_mbh_err_plus,log_mbh_err_minus,mbh_method,log_mstar_msun,log_mstar_err_plus,log_mstar_err_minus,mstar_method,edd_ratio_reported,log_mbh_mstar_ratio,mbh_mstar_ratio,mbh_mstar_tension_label,missing_mstar_flag,missing_lbol_flag,missing_edd_ratio_flag,missing_lensing_flag,agn_contam_flag,req_fedd_seed1e2_z30_eps0p1_b1,req_fedd_seed1e4_z30_eps0p1_b1,req_fedd_seed1e5_z30_eps0p1_b1,req_fedd_seed1e2_label,req_fedd_seed1e4_label,req_fedd_seed1e5_label,req_log_mseed_fedd0p3_z30_eps0p1_b1,req_mseed_fedd0p3_msun,req_mseed_fedd0p3_label,req_log_mseed_fedd1_z30_eps0p1_b1,req_mseed_fedd1_msun,req_mseed_fedd1_label,req_fedd_seed1e2_mbh_minus0p3,req_fedd_seed1e2_mbh_plus0p3,req_log_mseed_fedd0p3_mbh_minus0p3,req_log_mseed_fedd0p3_mbh_plus0p3,light_seed_superedd_robust_mbh_minus0p3,gentle_growth_above_heavy_robust_mbh_minus0p3,physical_growth_pressure_tier,growth_pressure_robustness_label,measurement_confidence_tier,caveat_tags,primary_caveat,most_needed_followup,followup_priority_category,followup_priority_reason,physical_pressure_score_0_100,measurement_confidence_score_0_100,followup_value_score_0_100,ranking_note,notes
11,11,GN61888_juodzbalis25,GN-61888,GN-61888,5.874,0.9565050566273134,0.856519526458189,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.04,0.33,0.32,single-epoch-virial-halpha,8.53,1.73,1.73,beagle-spectral-decomposition,0.18,-1.489999999999999,0.032359365692962896,elevated,False,False,False,True,1,0.6774526738858004,0.4086222477406415,0.274207034668062,eddington_like,eddington_like,sub_eddington,4.808109776100934,64285.01892618817,heavy_seed_scale,-0.3996340796635547,0.3984427421609641,below_light_seed_scale,0.6371281099640266,0.7177772378075741,4.508109776100934,5.1081097761009335,False,False,low,low,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,use as robust comparison anchor in expanded atlas,F_context,GN-61888 is retained for atlas completeness; v1 growth-pressure tier is low.,31.45438949048337,90,31.57271947452417,low growth pressure; high measurement confidence; elevated MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
12,12,GN1093_juodzbalis25,GN-1093,GN-1093,5.594,1.017921041692968,0.9179355115238436,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.14,0.34,0.33,single-epoch-virial-halpha,8.43,0.63,0.63,beagle-spectral-decomposition,0.12,-1.29,0.05128613839913648,elevated,False,False,False,True,1,0.6446687827961851,0.3938248984396928,0.2684029562614466,eddington_like,eddington_like,sub_eddington,4.748074035612936,55985.30333539681,heavy_seed_scale,-0.8330865479568805,0.1468633573254262,below_light_seed_scale,0.6070422001427113,0.682295365449659,4.448074035612937,5.048074035612936,False,False,low,low,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,use as robust comparison anchor in expanded atlas,F_context,GN-1093 is retained for atlas completeness; v1 growth-pressure tier is low.,28.72239856634876,90,31.43611992831744,low growth pressure; high measurement confidence; elevated MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
13,13,GS159717_juodzbalis25,GS-159717,GS-159717,5.077,1.1501440446728537,1.050158514503729,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.44,0.3,0.3,single-epoch-virial-halpha,,,,,0.38,,,not_available,True,False,False,True,1,0.5963891513943026,0.3771284339699267,0.2674980752577387,eddington_like,eddington_like,sub_eddington,4.703531712163887,50527.953908276235,heavy_seed_scale,-1.681560959453711,0.020818001742258,below_light_seed_scale,0.5635000437806463,0.6292782590079592,4.403531712163888,5.003531712163888,False,False,low,low,high,single_source_measurement;missing_mstar;missing_lensing;agn_contam_mstar,host stellar mass unavailable,deeper host SED decomposition for stellar mass,F_context,GS-159717 is retained for atlas completeness; v1 growth-pressure tier is low.,25.126132577281673,90,31.256306628864085,low growth pressure; high measurement confidence; not_available MBH/Mstar tension.,Robust sample; BEAGLE Mstar unavailable in Table 5.
14,14,GS38562_juodzbalis25,GS-38562,GS-38562,4.822,1.226259143973555,1.1262736138044307,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.51,0.3,0.31,single-epoch-virial-halpha,9.76,0.09,0.09,beagle-spectral-decomposition,0.12,-2.25,0.005623413251903491,low_or_typical,False,False,False,True,1,0.5632398604962897,0.3587970799168741,0.2565756896271664,eddington_like,eddington_like,sub_eddington,4.57519350646901,37600.49016358978,heavy_seed_scale,-2.2726883117699668,0.005337178012877,below_light_seed_scale,0.5325734434093774,0.5939062775832019,4.2751935064690105,4.87519350646901,False,False,low,low,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,use as robust comparison anchor in expanded atlas,F_context,GS-38562 is retained for atlas completeness; v1 growth-pressure tier is low.,21.93665504135748,90,31.096832752067876,low growth pressure; high measurement confidence; low_or_typical MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
15,15,GN77652_juodzbalis25,GN-77652,GN-77652,5.229,1.108430210684669,1.0084446805155447,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",6.62,0.34,0.32,single-epoch-virial-halpha,8.36,1.64,1.64,beagle-spectral-decomposition,0.24,-1.739999999999999,0.01819700858609987,elevated,False,False,False,True,1,0.5274430682798625,0.2991127356911774,0.1849475693968349,eddington_like,sub_eddington,sub_eddington,3.992228239684468,9822.64027705436,intermediate_seed_scale,-2.139239201051775,0.0072570614234776,below_light_seed_scale,0.4931935183915599,0.5616926181681653,3.692228239684468,4.2922282396844675,False,False,low,low,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,use as robust comparison anchor in expanded atlas,F_context,GN-77652 is retained for atlas completeness; v1 growth-pressure tier is low.,18.95358902332188,90,30.947679451166096,low growth pressure; high measurement confidence; elevated MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
16,16,GS172975_juodzbalis25,GS-172975,GS-172975,4.741,1.2522045591007307,1.1522190289316063,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.25,0.32,0.32,single-epoch-virial-halpha,8.98,0.14,0.14,beagle-spectral-decomposition,0.05,-1.7300000000000004,0.018620871366628655,elevated,False,False,False,True,1,0.5245778551942444,0.3247386722631037,0.2248190807975333,eddington_like,eddington_like,sub_eddington,4.247585802746482,17684.215669562174,heavy_seed_scale,-2.758047324178398,0.001745631924628,below_light_seed_scale,0.4946019777545733,0.5545537326339155,3.9475858027464814,4.547585802746481,False,False,low,low,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,use as robust comparison anchor in expanded atlas,F_context,GS-172975 is retained for atlas completeness; v1 growth-pressure tier is low.,18.714821266187034,90,30.93574106330935,low growth pressure; high measurement confidence; elevated MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
17,17,GS8083_juodzbalis25,GS-8083,GS-8083,4.753,1.2483035089057362,1.148317978736612,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.1,0.31,0.31,single-epoch-virial-halpha,8.27,0.14,0.13,beagle-spectral-decomposition,0.07,-1.17,0.06760829753919818,elevated,False,False,False,True,1,0.5113210883970297,0.3108030145158416,0.2105439775752475,eddington_like,eddington_like,sub_eddington,4.107751030186362,12815.956663152616,heavy_seed_scale,-2.8741632327121245,0.0013360932418828,below_light_seed_scale,0.4812433773148516,0.541398799479208,3.807751030186363,4.407751030186363,False,False,low,low,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,use as robust comparison anchor in expanded atlas,F_context,GS-8083 is retained for atlas completeness; v1 growth-pressure tier is low.,17.61009069975248,90,30.880504534987622,low growth pressure; high measurement confidence; elevated MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
18,18,GN20621_juodzbalis25,GN-20621,GN-20621,4.682,1.2716827949057186,1.1716972647365942,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.05,0.35,0.34,single-epoch-virial-halpha,8.41,1.58,1.58,beagle-spectral-decomposition,0.11,-1.3600000000000003,0.04365158322401656,elevated,False,False,False,True,1,0.4962055929282211,0.2996885264219949,0.2014299931688818,eddington_like,sub_eddington,sub_eddington,3.9968300607825817,9927.275186197792,intermediate_seed_scale,-3.1272331307247283,0.000746048169758,below_light_seed_scale,0.4667280329522872,0.5256831529041549,3.6968300607825815,4.296830060782581,False,False,low,low,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,use as robust comparison anchor in expanded atlas,F_context,GN-20621 is retained for atlas completeness; v1 growth-pressure tier is low.,16.350466077351758,90,30.81752330386759,low growth pressure; high measurement confidence; elevated MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
19,19,GN53757_juodzbalis25,GN-53757,GN-53757,4.447,1.354502233183852,1.2545167030147275,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.33,0.31,0.31,single-epoch-virial-halpha,10.38,0.19,0.19,beagle-spectral-decomposition,0.07,-3.0500000000000007,0.0008912509381337441,low_or_typical,False,False,False,True,1,0.4891436884086741,0.3056000905067327,0.2138282915557619,eddington_like,eddington_like,sub_eddington,4.06102191055146,11508.584493349204,heavy_seed_scale,-3.5665936314951363,0.0002712728739745,below_light_seed_scale,0.461612148723383,0.5166752280939654,3.76102191055146,4.361021910551459,False,False,low,low,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,use as robust comparison anchor in expanded atlas,F_context,GN-53757 is retained for atlas completeness; v1 growth-pressure tier is low.,15.761974034056179,90,30.788098701702808,low growth pressure; high measurement confidence; low_or_typical MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
20,20,GN73488_juodzbalis25,GN-73488,GN-73488,4.133,1.4800317329113224,1.380046202742198,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",7.83,0.3,0.3,single-epoch-virial-halpha,9.71,0.33,0.33,beagle-spectral-decomposition,0.2,-1.8800000000000008,0.013182567385564047,elevated,False,False,False,True,1,0.4863631038396109,0.3195146977196758,0.2360904946597082,eddington_like,eddington_like,sub_eddington,4.233921296265163,17136.46728800081,heavy_seed_scale,-4.156929012449458,6.967403904175834e-05,below_light_seed_scale,0.4613358429216207,0.5113903647576012,3.9339212962651633,4.533921296265164,False,False,low,low,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,use as robust comparison anchor in expanded atlas,F_context,GN-73488 is retained for atlas completeness; v1 growth-pressure tier is low.,15.53025865330091,90,30.776512932665046,low growth pressure; high measurement confidence; elevated MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
21,21,GN62309_juodzbalis25,GN-62309,GN-62309,5.172,1.123773752688261,1.0237882225191368,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",6.29,0.36,0.33,single-epoch-virial-halpha,7.78,0.34,0.34,beagle-spectral-decomposition,0.15,-1.4900000000000002,0.03235936569296281,elevated,False,False,False,True,1,0.4824283885898978,0.2575200489209477,0.1450658790864727,eddington_like,sub_eddington,sub_eddington,3.622246545934403,4190.313787866627,intermediate_seed_scale,-2.602511513551991,0.0024974021798141,below_light_seed_scale,0.4486921376395553,0.5161646395402402,3.3222465459344033,3.922246545934403,False,False,low,low,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,use as robust comparison anchor in expanded atlas,F_context,GN-62309 is retained for atlas completeness; v1 growth-pressure tier is low.,15.202365715824817,90,30.76011828579124,low growth pressure; high measurement confidence; elevated MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
22,22,GS200679_juodzbalis25,GS-200679,GS-200679,4.547,1.318195361019195,1.2182098308500706,JADES,broad-line-agn,tentative,individual_tentative,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",6.19,0.6,0.3,single-epoch-virial-halpha,,,,,0.23,,,not_available,True,False,False,True,1,0.3959839797431599,0.2069701469301958,0.1124632305237137,eddington_like,sub_eddington,sub_eddington,3.015629155969124,1036.6428485155177,intermediate_seed_scale,-4.391236146769587,4.062223864791187e-05,below_light_seed_scale,0.3676319048212153,0.4243360546651045,2.715629155969124,3.315629155969124,False,False,low,low,low,single_source_measurement;tentative;missing_mstar;missing_lensing;agn_contam_mstar,tentative source-paper classification,confirm broad-line/BH interpretation and refine virial mass,F_context,GS-200679 is retained for atlas completeness; v1 growth-pressure tier is low.,7.99866497859666,35,30.399933248929834,low growth pressure; low measurement confidence; not_available MBH/Mstar tension.,Tentative sample; BEAGLE Mstar unavailable in Table 5.
23,23,GN11836_juodzbalis25,GN-11836,GN-11836,4.409,1.3687364986748385,1.268750968505714,JADES,broad-line-agn,robust,individual_robust,juodzbalis25_jades_blagn,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",6.06,0.32,0.32,single-epoch-virial-halpha,8.17,0.15,0.15,beagle-spectral-decomposition,0.11,-2.1100000000000003,0.007762471166286911,low_or_typical,False,False,False,True,1,0.3684133336491605,0.1869289328367662,0.096186732430569,eddington_like,sub_eddington,sub_eddington,2.7539307328113716,567.4540928968323,intermediate_seed_scale,-4.96023089062876,1.0958954135723784e-05,below_light_seed_scale,0.3411906735273014,0.3956359937710197,2.453930732811372,3.0539307328113714,False,False,low,low,high,single_source_measurement;missing_lensing;agn_contam_mstar,single-source v1 measurement,use as robust comparison anchor in expanded atlas,F_context,GN-11836 is retained for atlas completeness; v1 growth-pressure tier is low.,5.701111137430044,90,30.2850555568715,low growth pressure; high measurement confidence; low_or_typical MBH/Mstar tension.,Robust sample; Mstar uses BEAGLE value.
