catalogue_release,comparison_scope,physical_object_id,default_measurement_id,alternate_measurement_id,default_object_id,alternate_object_id,default_source_key,alternate_source_key,default_mbh_method,alternate_mbh_method,default_redshift,alternate_redshift,default_log_mbh,alternate_log_mbh,default_log_mbh_err_plus,default_log_mbh_err_minus,alternate_log_mbh_err_plus,alternate_log_mbh_err_minus,delta_log_mbh_alternate_minus_default,default_rank_growth_pressure,alternate_rank_growth_pressure,delta_rank_growth_pressure,default_rank_followup_priority,alternate_rank_followup_priority,default_followup_category,alternate_followup_category,default_mass_reliability_tier,alternate_mass_reliability_tier,default_source_caveat_tags,alternate_source_caveat_tags,default_required_fedd_seed1e2,alternate_required_fedd_seed1e2,default_rank_uncertainty_pressure,alternate_rank_uncertainty_pressure,delta_rank_uncertainty_pressure,default_uncertainty_tier,alternate_uncertainty_tier,n_samples,random_seed,interpretation_note
v4-blagn,one_object_substitution,HZA-CEERS-2782,RUBIESEGS50052_taylor24,CEERS2782_taylor24,RUBIES-EGS-50052,CEERS-2782,taylor24_ceers_rubies_blagn,taylor24_ceers_rubies_blagn,single-epoch-virial-halpha-reines2013,single-epoch-virial-halpha-reines2013,5.24,5.24,7.58,7.16,0.03,0.03,0.14,0.13,-0.41999999999999993,28,46,18,11,11,C_interpretation_or_measurement_check,C_interpretation_or_measurement_check,robust_with_interpretive_caveat,robust_with_measurement_caveat,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust;duplicate_observation;possible_outflow_contribution;source_preferred_duplicate_measurement,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust;duplicate_observation;severe_spatially_dependent_slit_loss;source_nonpreferred_duplicate_measurement,0.6388921781959334,0.5908035196220459,36,48,12,lower_pressure,lower_pressure,10000,20260808,Sensitivity only: the release-default preferred measurement is unchanged.
v4-blagn,one_object_substitution,HZA-GS-204851,GS204851_juodzbalis25,GOODSS13971_matthee23,GS-204851,GOODS-S-13971,juodzbalis25_jades_blagn,matthee23_eiger_fresco_blagn,single-epoch-virial-halpha,single-epoch-virial-halpha-reines2013,5.48,5.481,7.68,7.49,0.32,0.31,0.25,0.25,-0.1899999999999995,17,22,5,25,9,E_comparison_anchor,C_interpretation_or_measurement_check,high,robust_with_measurement_caveat,,foreground_trace_contamination_red_wing_excluded;crossmatch_GS-204851;formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,0.6921076590789973,0.6691269654110863,21,22,1,possible_high_pressure,possible_high_pressure,10000,20260808,Sensitivity only: the release-default preferred measurement is unchanged.
