rank_uncertainty_pressure,rank_growth_pressure,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,redshift,source_key,survey,field,lrd_status,uncertainty_growth_pressure_tier,uncertainty_pressure_score_0_100,prob_required_fedd_seed1e2_gt_1_baseline,prob_required_mseed_fedd0p3_gt_1e6_baseline,measurement_confidence_tier,rank_followup_priority,log_mbh_msun,physical_growth_pressure_tier,physical_pressure_score_0_100,measurement_confidence_score_0_100,followup_priority_category,catalogue_release,n_measurements,available_measurement_ids,preferred_measurement_flag,preferred_measurement_reason,cosmic_time_gyr,object_class,quality_flag,detection_evidence,source_table,source_paper_version,source_url,source_doi,mbh_method,lrd_flag,halpha_absorption_fit_flag,source_caveat_tags,notes,scenario,scenario_label,scenario_kind,scenario_scope,mbh_delta_dex,reported_statistical_errors_applied,systematic_combined_with_statistical_error,z_seed,epsilon,merger_boost,delta_t_z30_gyr,log_mbh_err_plus_reported,log_mbh_err_minus_reported,mstar_diagnostic_status,lbol_diagnostic_status,edd_ratio_diagnostic_status,log_mstar_msun,log_lbol_erg_s,edd_ratio_reported,log_mbh_mstar_ratio,edd_ratio_consistency_flag,edd_ratio_log_residual_dex,req_fedd_seed1e2_z30_eps0p1_b1,req_fedd_seed1e4_z30_eps0p1_b1,req_fedd_seed1e5_z30_eps0p1_b1,req_log_mseed_fedd0p3_z30_eps0p1_b1,req_log_mseed_fedd1_z30_eps0p1_b1,req_fedd_seed1e2_mbh_minus0p3,req_log_mseed_fedd0p3_mbh_minus0p3,req_fedd_seed1e2_mbh_plus0p3,req_log_mseed_fedd0p3_mbh_plus0p3,req_fedd_seed1e2_taylor_virial_minus0p5,req_log_mseed_fedd0p3_taylor_virial_minus0p5,req_fedd_seed1e2_taylor_virial_plus0p5,req_log_mseed_fedd0p3_taylor_virial_plus0p5,growth_pressure_robustness_0p3,taylor_virial_sensitivity_label,missing_diagnostics_penalized_flag,diagnostic_availability_note,ranking_note,req_fedd_seed1e2_p16_baseline,req_fedd_seed1e2_p50_baseline,req_fedd_seed1e2_p84_baseline,req_fedd_seed1e4_p16_baseline,req_fedd_seed1e4_p50_baseline,req_fedd_seed1e4_p84_baseline,prob_required_fedd_seed1e4_gt_1_baseline,req_fedd_seed1e5_p16_baseline,req_fedd_seed1e5_p50_baseline,req_fedd_seed1e5_p84_baseline,prob_required_fedd_seed1e5_gt_1_baseline,req_log_mseed_fedd0p3_p16_baseline,req_log_mseed_fedd0p3_p50_baseline,req_log_mseed_fedd0p3_p84_baseline,prob_required_mseed_fedd0p3_gt_1e5_baseline,req_log_mseed_fedd1_p16_baseline,req_log_mseed_fedd1_p50_baseline,req_log_mseed_fedd1_p84_baseline,prob_required_mseed_fedd1_gt_1e5_baseline,prob_required_mseed_fedd1_gt_1e6_baseline,req_fedd_seed1e2_p50_mbh_minus_0p3dex,prob_required_fedd_seed1e2_gt_1_mbh_minus_0p3dex,req_log_mseed_fedd0p3_p50_mbh_minus_0p3dex,prob_required_mseed_fedd0p3_gt_1e6_mbh_minus_0p3dex,req_fedd_seed1e2_p50_mbh_plus_0p3dex,prob_required_fedd_seed1e2_gt_1_mbh_plus_0p3dex,req_log_mseed_fedd0p3_p50_mbh_plus_0p3dex,prob_required_mseed_fedd0p3_gt_1e6_mbh_plus_0p3dex,req_fedd_seed1e2_p50_taylor_virial_minus_0p5dex,prob_required_fedd_seed1e2_gt_1_taylor_virial_minus_0p5dex,req_log_mseed_fedd0p3_p50_taylor_virial_minus_0p5dex,prob_required_mseed_fedd0p3_gt_1e6_taylor_virial_minus_0p5dex,req_fedd_seed1e2_p50_taylor_virial_plus_0p5dex,prob_required_fedd_seed1e2_gt_1_taylor_virial_plus_0p5dex,req_log_mseed_fedd0p3_p50_taylor_virial_plus_0p5dex,prob_required_mseed_fedd0p3_gt_1e6_taylor_virial_plus_0p5dex
11,11,measurement,CEERS397_taylor24,CEERS397_taylor24,HZA-CEERS-397,CEERS-397,6.0,taylor24_ceers_rubies_blagn,CEERS,EGS,non_lrd,possible_high_pressure,50.101558226631596,0.0,0.0067,high,14,7.6,medium,51.24852742210535,90,E_comparison_anchor,v3-blagn,1,CEERS397_taylor24,True,only catalogue measurement in this release,0.9308508079920488,broad-line-agn,robust,individual_robust,Table 1 (Sample of BLAGN),The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,single-epoch-virial-halpha-reines2013,0.0,0.0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.8308652778229244,0.23,0.18,unavailable_not_published_in_taylor_table1:mstar,unavailable_not_published_in_taylor_table1:lbol,unavailable_not_published_in_taylor_table1:edd_ratio,,,,,not_evaluable,,0.7759667460501792,0.4988357653179723,0.360270274951869,5.43495876781895,0.3831958927298338,0.7343970989403483,5.134958767818951,0.8175363931600103,5.73495876781895,0.7066840008671275,4.93495876781895,0.8452494912332311,5.93495876781895,lower_across_0p3_scenarios,lower_across_taylor_0p5_scenarios,False,unavailable_not_published_in_taylor_table1:mstar;unavailable_not_published_in_taylor_table1:lbol;unavailable_not_published_in_taylor_table1:edd_ratio,Observational-triage rank: medium growth pressure; high measurement confidence. This is not evidence for a unique seed channel.,0.7506451052624336,0.7758654139332486,0.807197785518042,0.4735141245302268,0.49873443320104177,0.5300668047858351,0.0,0.3349486341641233,0.36016894283493833,0.3915013144197317,0.0,5.252217446579127,5.434227473781287,5.660347061724939,0.9922,0.20045457149001122,0.38246459869217064,0.6085841866358225,0.0,0.0,0.7342957668234176,0.0,5.134227473781287,0.0001,0.8174350610430797,0.0,5.734227473781287,0.1208,0.706582668750197,0.0,4.934227473781287,0.0,0.8451481591163004,0.0,5.934227473781286,0.3905
12,13,measurement,RUBIESUDS172350_taylor24,RUBIESUDS172350_taylor24,HZA-RUBIES-UDS-172350,RUBIES-UDS-172350,5.58,taylor24_ceers_rubies_blagn,RUBIES,UDS,lrd,possible_high_pressure,48.71027447225346,0.0,0.0,high,16,7.68,medium,45.70091490751154,90,E_comparison_anchor,v3-blagn,1,RUBIESUDS172350_taylor24,True,only catalogue measurement in this release,1.0211632419950871,broad-line-agn,robust,individual_robust,Table 1 (Sample of BLAGN),The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,single-epoch-virial-halpha-reines2013,1.0,0.0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.9211777118259626,0.04,0.04,unavailable_not_published_in_taylor_table1:mstar,unavailable_not_published_in_taylor_table1:lbol,unavailable_not_published_in_taylor_table1:edd_ratio,,,,,not_evaluable,,0.7098892624248124,0.45992825452875175,0.33494775058072135,5.279625617410323,-0.3212479419655878,0.6723951112404032,4.979625617410324,0.7473834136092214,5.579625617410324,0.6473990104507973,4.779625617410323,0.7723795143988277,5.779625617410323,lower_across_0p3_scenarios,lower_across_taylor_0p5_scenarios,False,unavailable_not_published_in_taylor_table1:mstar;unavailable_not_published_in_taylor_table1:lbol;unavailable_not_published_in_taylor_table1:edd_ratio,Observational-triage rank: medium growth pressure; high measurement confidence. This is not evidence for a unique seed channel.,0.7049251687814684,0.7099396244283804,0.7148777507322652,0.4549641608854077,0.45997861653231964,0.46491674283620443,0.0,0.3299836569373773,0.33499811258428924,0.3399362388881741,0.0,5.239906673362793,5.280028576287725,5.31953974921385,1.0,-0.3609668860131188,-0.32084498308818654,-0.2813338101620621,0.0,0.0,0.6724454732439713,0.0,4.980028576287725,0.0,0.7474337756127893,0.0,5.580028576287725,0.0,0.6474493724543653,0.0,4.780028576287725,0.0,0.7724298764023955,0.0,5.780028576287724,0.0
13,16,measurement,RUBIESUDS47509_taylor24,RUBIESUDS47509_taylor24,HZA-RUBIES-UDS-47509,RUBIES-UDS-47509,5.673,taylor24_ceers_rubies_blagn,RUBIES,UDS,lrd,possible_high_pressure,47.68723779385505,0.0,0.0,high,19,7.54,medium,42.6757926461835,90,E_comparison_anchor,v3-blagn,1,RUBIESUDS47509_taylor24,True,only catalogue measurement in this release,0.9999423964678454,broad-line-agn,robust,individual_robust,Table 1 (Sample of BLAGN),The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,single-epoch-virial-halpha-reines2013,1.0,0.0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.899956866298721,0.07,0.07,unavailable_not_published_in_taylor_table1:mstar,unavailable_not_published_in_taylor_table1:lbol,unavailable_not_published_in_taylor_table1:edd_ratio,,,,,not_evaluable,,0.7087184893455124,0.45286343904027326,0.32493591388765375,5.194922194093138,-0.2769260196895411,0.6703402317997265,4.894922194093138,0.7470967468912983,5.494922194093138,0.6447547267692026,4.694922194093138,0.772682251921822,5.694922194093137,lower_across_0p3_scenarios,lower_across_taylor_0p5_scenarios,False,unavailable_not_published_in_taylor_table1:mstar;unavailable_not_published_in_taylor_table1:lbol;unavailable_not_published_in_taylor_table1:edd_ratio,Observational-triage rank: medium growth pressure; high measurement confidence. This is not evidence for a unique seed channel.,0.6999875000547203,0.708852426819679,0.7178141843830216,0.4441324497494812,0.4529973765144398,0.4619591340777825,0.0,0.31620492459686167,0.3250698513618202,0.3340316089251629,0.0,5.126672696728315,5.195969173419962,5.266022569299005,0.9967,-0.34517551705436417,-0.2758790403627174,-0.2058256444836741,0.0,0.0,0.6704741692738931,0.0,4.895969173419962,0.0,0.7472306843654648,0.0,5.495969173419962,0.0,0.6448886642433691,0.0,4.695969173419962,0.0,0.7728161893959888,0.0,5.695969173419962,0.0
14,12,measurement,GS210600_juodzbalis25,GS210600_juodzbalis25,HZA-GS-210600,GS-210600,6.306,juodzbalis25_jades_blagn,JADES,,not_reported_by_source,possible_high_pressure,45.784358326847766,0.0,0.0338,high,15,7.41,medium,50.44952775615923,90,E_comparison_anchor,v3-blagn,1,GS210600_juodzbalis25,True,only catalogue measurement in this release,0.8730973651000311,broad-line-agn,robust,individual_robust,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-halpha,,,,Robust sample; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.7731118349309066,0.33,0.34,available,available,available,8.4,44.29,0.057,-0.9900000000000002,consistent,-0.0237545992099406,0.8056392872456205,0.5078059093359641,0.35888922038113596,5.395450777172458,0.6948359239081929,0.7609642805591722,5.095450777172458,0.8503142939320689,5.695450777172458,,,,,lower_across_0p3_scenarios,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: medium growth pressure; high measurement confidence. This is not evidence for a unique seed channel.,0.754873977346446,0.804668895375102,0.8535987361533889,0.4570405994367896,0.5068355174654455,0.5557653582437325,0.0,0.3081239104819614,0.3579188285106173,0.4068486692889043,0.0,5.054553391825853,5.3889344365438205,5.717506345587065,0.8757,0.353938538561588,0.6883195832795548,1.0168914923227996,0.0,0.0,0.7599938886886534,0.0,5.08893443654382,0.0027,0.8493439020615503,0.0014,5.6889344365438195,0.1725,,,,,,,,
15,17,measurement,RUBIESUDS174752_taylor24,RUBIESUDS174752_taylor24,HZA-RUBIES-UDS-174752,RUBIES-UDS-174752,6.039,taylor24_ceers_rubies_blagn,RUBIES,UDS,non_lrd,possible_high_pressure,44.359338632058375,0.0,0.0,high,20,7.26,medium,39.901128773527915,90,E_comparison_anchor,v3-blagn,1,RUBIESUDS174752_taylor24,True,only catalogue measurement in this release,0.923141431567787,broad-line-agn,robust,individual_robust,Table 1 (Sample of BLAGN),The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,single-epoch-virial-halpha-reines2013,0.0,0.0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.8231559013986626,0.08,0.08,unavailable_not_published_in_taylor_table1:mstar,unavailable_not_published_in_taylor_table1:lbol,unavailable_not_published_in_taylor_table1:edd_ratio,,,,,not_evaluable,,0.7356806631993589,0.4559541752908573,0.3160909313366066,5.1150476056587815,0.11015868552927177,0.6937216900130835,4.815047605658782,0.777639636385634,5.415047605658781,0.6657490412222334,4.6150476056587815,0.805612285176484,5.6150476056587815,lower_across_0p3_scenarios,lower_across_taylor_0p5_scenarios,False,unavailable_not_published_in_taylor_table1:mstar;unavailable_not_published_in_taylor_table1:lbol;unavailable_not_published_in_taylor_table1:edd_ratio,Observational-triage rank: medium growth pressure; high measurement confidence. This is not evidence for a unique seed channel.,0.7246151549104092,0.735860975734624,0.746767679752615,0.4448886670019077,0.4561344878261224,0.4670411918441135,0.0,0.30502542304765695,0.31627124387187167,0.32717794788986276,0.0,5.035930977328831,5.116336811672937,5.194318014665473,0.9254,0.031042057199321498,0.11144789154342716,0.18942909453596368,0.0,0.0,0.6939020025483487,0.0,4.816336811672937,0.0,0.777819948920899,0.0,5.416336811672936,0.0,0.6659293537574985,0.0,4.616336811672937,0.0,0.8057925977117492,0.0,5.616336811672937,0.0
16,18,measurement,RUBIESUDS182791_taylor24,RUBIESUDS182791_taylor24,HZA-RUBIES-UDS-182791,RUBIES-UDS-182791,4.718,taylor24_ceers_rubies_blagn,RUBIES,UDS,non_lrd,possible_high_pressure,42.58593866140951,0.0,0.0,high,21,8.06,medium,37.06979553803169,90,E_comparison_anchor,v3-blagn,1,RUBIESUDS182791_taylor24,True,only catalogue measurement in this release,1.2597384362661206,broad-line-agn,robust,individual_robust,Table 1 (Sample of BLAGN),The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,single-epoch-virial-halpha-reines2013,0.0,0.0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,1.1597529060969962,0.03,0.03,unavailable_not_published_in_taylor_table1:mstar,unavailable_not_published_in_taylor_table1:lbol,unavailable_not_published_in_taylor_table1:edd_ratio,,,,,not_evaluable,,0.6015792497775773,0.40303824325032406,0.3037677399866974,5.037954275064887,-2.0134857497837118,0.5717980987984893,4.737954275064887,0.6313604007566654,5.337954275064888,0.5519439981457639,4.537954275064887,0.6512145014093906,5.537954275064887,lower_across_0p3_scenarios,lower_across_taylor_0p5_scenarios,False,unavailable_not_published_in_taylor_table1:mstar;unavailable_not_published_in_taylor_table1:lbol;unavailable_not_published_in_taylor_table1:edd_ratio,Observational-triage rank: medium growth pressure; high measurement confidence. This is not evidence for a unique seed channel.,0.598642821073296,0.6016373789665778,0.6045907809691434,0.4001018145460429,0.40309637243932445,0.4060497744418902,0.0,0.30083131128241625,0.30382586917569787,0.30677927117826365,0.0,5.0083742023570545,5.038539838621929,5.068290891608159,0.899,-2.043065822491544,-2.0129001862266698,-1.9831491332404403,0.0,0.0,0.5718562279874897,0.0,4.738539838621929,0.0,0.6314185299456657,0.0,5.33853983862193,0.0,0.5520021273347643,0.0,4.538539838621929,0.0,0.6512726305983909,0.0,5.538539838621929,0.0
17,14,measurement,GS10013704_juodzbalis25,GS10013704_juodzbalis25,HZA-GS-10013704,GS-10013704,5.919,juodzbalis25_jades_blagn,JADES,,not_reported_by_source,possible_high_pressure,40.22006326829904,0.0,0.007,high,17,7.44,medium,44.011877560996815,90,E_comparison_anchor,v3-blagn,1,GS10013704_juodzbalis25,True,only catalogue measurement in this release,0.947209215281436,broad-line-agn,robust,individual_robust,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-halpha,,,,Robust sample; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.8472236851123115,0.31,0.31,available,available,available,8.9,44.29,0.055,-1.46,consistent,-0.0092667653881941,0.7392417802995618,0.4674617140129583,0.3315716808696565,5.232332571707911,0.08110857235970048,0.6984747703565714,4.93233257170791,0.7800087902425525,5.53233257170791,,,,,lower_across_0p3_scenarios,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: medium growth pressure; high measurement confidence. This is not evidence for a unique seed channel.,0.6974162610269312,0.7392768727584264,0.7814465469256436,0.42563619474032766,0.4674968064718228,0.5096664806390401,0.0,0.2897461615970258,0.331606773328521,0.3737764474957382,0.0,4.924543116475944,5.2325908133026235,5.542912867038142,0.7719,-0.22668088287226537,0.08136681395441325,0.3916888676899326,0.0,0.0,0.6985098628154358,0.0,4.932590813302623,0.0002,0.7800438827014169,0.0,5.5325908133026225,0.0683,,,,,,,,
18,15,measurement,GS204851_juodzbalis25,GS204851_juodzbalis25,HZA-GS-204851,GS-204851,5.48,juodzbalis25_jades_blagn,JADES,,not_reported_by_source,possible_high_pressure,39.57252097645241,0.0,0.0061,high,18,7.68,medium,43.498403254841364,90,E_comparison_anchor,v3-blagn,1,GS204851_juodzbalis25,True,only catalogue measurement in this release,1.044830104321813,broad-line-agn,robust,individual_robust,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-halpha,,,,Robust sample; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.9448445741526882,0.32,0.31,available,available,available,10.74,44.97,0.16,-3.0600000000000005,consistent,0.0144905277734889,0.6921076590789973,0.44840777912160384,0.32655783914290715,5.217955291135558,-0.5268156962148058,0.6555526770853881,4.917955291135558,0.7286626410726061,5.517955291135558,,,,,lower_across_0p3_scenarios,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: medium growth pressure; high measurement confidence. This is not evidence for a unique seed channel.,0.6543793625315817,0.6920102373078925,0.7301373076588553,0.41067948257418835,0.44831035735049896,0.4864374277014618,0.0,0.28882954259549165,0.3264604173718023,0.3645874877227651,0.0,4.908326114838782,5.217155768615302,5.53005760802227,0.7578,-0.836444872511582,-0.527615218735062,-0.21471337932809426,0.0,0.0,0.6554552553142834,0.0,4.917155768615302,0.0001,0.7285652193015014,0.0,5.517155768615302,0.0643,,,,,,,,
19,21,measurement,GS30148179_juodzbalis25,GS30148179_juodzbalis25,HZA-GS-30148179,GS-30148179,5.922,juodzbalis25_jades_blagn,JADES,,not_reported_by_source,lower_pressure,23.896046828140825,0.0,0.0011,high,23,7.12,low,33.02182276046942,90,F_context,v3-blagn,1,GS30148179_juodzbalis25,True,only catalogue measurement in this release,0.9465948399109976,broad-line-agn,robust,individual_robust,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-halpha,,,,Robust sample; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.846609309741873,0.34,0.35,available,available,available,8.95,44.25,0.11,-1.8299999999999992,consistent,0.0117632302757858,0.696261873125633,0.42428457893593263,0.28829593184108243,4.913933490707102,-0.23355503097632635,0.655465278997178,4.613933490707103,0.7370584672540882,5.213933490707102,,,,,lower_across_0p3_scenarios,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: low growth pressure; high measurement confidence. This is not evidence for a unique seed channel.,0.6481469025598574,0.6966832648507424,0.7419773163079137,0.3761696083701569,0.4247059706610421,0.47000002211821335,0.0,0.24018096127530664,0.28871732356619184,0.33401137502336314,0.0,4.560117406837863,4.917032217947292,5.250104517913475,0.3997,-0.587371114845565,-0.23045630373613646,0.10261599623004668,0.0,0.0,0.6558866707222873,0.0,4.617032217947292,0.0003,0.7374798589791975,0.0,5.217032217947292,0.0113,,,,,,,,
20,19,measurement,RUBIESEGS60935_taylor24,RUBIESEGS60935_taylor24,HZA-RUBIES-EGS-60935,RUBIES-EGS-60935,5.287,taylor24_ceers_rubies_blagn,RUBIES,EGS,lrd,lower_pressure,21.945302248762324,0.0,0.0,high,22,7.57,low,35.07100749587441,90,F_context,v3-blagn,1,RUBIESEGS60935_taylor24,True,only catalogue measurement in this release,1.0931717582379288,broad-line-agn,robust,individual_robust,Table 1 (Sample of BLAGN),The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,single-epoch-virial-halpha-reines2013,1.0,0.0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.9931862280688043,0.04,0.04,unavailable_not_published_in_taylor_table1:mstar,unavailable_not_published_in_taylor_table1:lbol,unavailable_not_published_in_taylor_table1:edd_ratio,,,,,not_evaluable,,0.645669392381483,0.4138311904491731,0.2979120894830182,4.981988209884483,-1.0567059670517231,0.6108936620916365,4.681988209884484,0.6804451226713294,5.281988209884483,0.5877098418984055,4.481988209884483,0.7036289428645605,5.481988209884483,lower_across_0p3_scenarios,lower_across_taylor_0p5_scenarios,False,unavailable_not_published_in_taylor_table1:mstar;unavailable_not_published_in_taylor_table1:lbol;unavailable_not_published_in_taylor_table1:edd_ratio,Observational-triage rank: low growth pressure; high measurement confidence. This is not evidence for a unique seed channel.,0.6410404448510286,0.6456572642025439,0.650281295191177,0.4092022429187188,0.413819062270234,0.4184430932588672,0.0,0.2932831419525639,0.29789996130407914,0.3025239922927122,0.0,4.9420556406023435,4.981883583650861,5.021773739372334,0.3264,-1.096638536333863,-1.0568105932853462,-1.0169204375638732,0.0,0.0,0.6108815339126975,0.0,4.68188358365086,0.0,0.6804329944923904,0.0,5.28188358365086,0.0,0.5876977137194664,0.0,4.481883583650861,0.0,0.7036168146856214,0.0,5.48188358365086,0.0
21,22,measurement,CEERS746_taylor24,CEERS746_taylor24,HZA-CEERS-746,CEERS-746,5.623,taylor24_ceers_rubies_blagn,CEERS,EGS,lrd,lower_pressure,20.094711457897155,0.0,0.0,high,24,7.29,low,32.69403819299052,90,F_context,v3-blagn,1,CEERS746_taylor24,True,only catalogue measurement in this release,1.011259266287056,broad-line-agn,robust,individual_robust,Table 1 (Sample of BLAGN),The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,single-epoch-virial-halpha-reines2013,1.0,0.0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.9112737361179314,0.16,0.14,unavailable_not_published_in_taylor_table1:mstar,unavailable_not_published_in_taylor_table1:lbol,unavailable_not_published_in_taylor_table1:edd_ratio,,,,,not_evaluable,,0.668332393394149,0.4156547399370038,0.2893159132084312,4.9154330694037345,-0.6252231019875509,0.6304307453755772,4.6154330694037355,0.7062340414127207,5.215433069403735,0.6051629800298626,4.4154330694037345,0.7315018067584352,5.4154330694037345,lower_across_0p3_scenarios,lower_across_taylor_0p5_scenarios,False,unavailable_not_published_in_taylor_table1:mstar;unavailable_not_published_in_taylor_table1:lbol;unavailable_not_published_in_taylor_table1:edd_ratio,Observational-triage rank: low growth pressure; high measurement confidence. This is not evidence for a unique seed channel.,0.6506117156814977,0.6682474759928729,0.6882139682055523,0.39793406222435246,0.4155698225357277,0.4355363147484071,0.0,0.2715952354957799,0.28923099580715517,0.3091974880198345,0.0,4.775169951789681,4.914760929227394,5.0728001696548475,0.2939,-0.7654862196016043,-0.6258952421638919,-0.46785600173643777,0.0,0.0,0.630345827974301,0.0,4.614760929227394,0.0,0.7061491240114447,0.0,5.214760929227394,0.0,0.6050780626285865,0.0,4.414760929227394,0.0,0.7314168893571591,0.0,5.414760929227394,0.0005
22,24,measurement,GN61888_juodzbalis25,GN61888_juodzbalis25,HZA-GN-61888,GN-61888,5.874,juodzbalis25_jades_blagn,JADES,,not_reported_by_source,lower_pressure,19.43231684714501,0.0,0.0001,high,26,7.04,low,31.45438949048337,90,F_context,v3-blagn,1,GN61888_juodzbalis25,True,only catalogue measurement in this release,0.9565050566273134,broad-line-agn,robust,individual_robust,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-halpha,,,,Robust sample; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.856519526458189,0.33,0.32,available,available,available,8.53,44.38,0.18,-1.489999999999999,consistent,0.015643050220866,0.6774526738858004,0.40862224774064154,0.27420703466806207,4.808109776100934,-0.3996340796635547,0.6371281099640266,4.508109776100934,0.7177772378075741,5.1081097761009335,,,,,lower_across_0p3_scenarios,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: low growth pressure; high measurement confidence. This is not evidence for a unique seed channel.,0.6335798769158478,0.6770675209577095,0.7215155219200518,0.36474945077068893,0.4082370948125506,0.4526850957748928,0.0,0.2303342376981095,0.27382188173997113,0.3182698827023133,0.0,4.481712220593115,4.805244379251226,5.135921241983586,0.2856,-0.7260316351713735,-0.4024994765132619,-0.07182261378090282,0.0,0.0,0.6367429570359358,0.0,4.505244379251227,0.0,0.7173920848794832,0.0,5.105244379251227,0.0021,,,,,,,,
