z_seed,merger_boost,spin,epsilon,f_edd_avg,seed_model,compatible_object_fraction,n_objects,n_compatible,median_required_log_mseed,min_required_log_mseed,max_required_log_mseed
30.0,1.0,-1.0,0.037749551350623745,0.1,light_popiii,0.0,23,0,4.881810952155551,2.938779058492476,6.822023900700453
30.0,1.0,-1.0,0.037749551350623745,0.1,intermediate_cluster,0.08695652173913043,23,2,4.881810952155551,2.938779058492476,6.822023900700453
30.0,1.0,-1.0,0.037749551350623745,0.1,heavy_dcbh,0.6956521739130435,23,16,4.881810952155551,2.938779058492476,6.822023900700453
30.0,1.0,-1.0,0.037749551350623745,0.1,pbh,0.8260869565217391,23,19,4.881810952155551,2.938779058492476,6.822023900700453
30.0,2.0,-1.0,0.037749551350623745,0.1,light_popiii,0.0,23,0,4.580780956491569,2.6377490628284948,6.520993905036471
30.0,2.0,-1.0,0.037749551350623745,0.1,intermediate_cluster,0.21739130434782608,23,5,4.580780956491569,2.6377490628284948,6.520993905036471
30.0,2.0,-1.0,0.037749551350623745,0.1,heavy_dcbh,0.6521739130434783,23,15,4.580780956491569,2.6377490628284948,6.520993905036471
30.0,2.0,-1.0,0.037749551350623745,0.1,pbh,0.9565217391304348,23,22,4.580780956491569,2.6377490628284948,6.520993905036471
30.0,1.0,-1.0,0.037749551350623745,0.3,light_popiii,0.08695652173913043,23,2,0.36543285646665336,-3.303662824522571,3.9886190731885893
30.0,1.0,-1.0,0.037749551350623745,0.3,intermediate_cluster,0.17391304347826086,23,4,0.36543285646665336,-3.303662824522571,3.9886190731885893
30.0,1.0,-1.0,0.037749551350623745,0.3,heavy_dcbh,0.0,23,0,0.36543285646665336,-3.303662824522571,3.9886190731885893
30.0,1.0,-1.0,0.037749551350623745,0.3,pbh,0.2608695652173913,23,6,0.36543285646665336,-3.303662824522571,3.9886190731885893
30.0,2.0,-1.0,0.037749551350623745,0.3,light_popiii,0.043478260869565216,23,1,0.0644028608026721,-3.6046928201865525,3.687589077524608
30.0,2.0,-1.0,0.037749551350623745,0.3,intermediate_cluster,0.13043478260869565,23,3,0.0644028608026721,-3.6046928201865525,3.687589077524608
30.0,2.0,-1.0,0.037749551350623745,0.3,heavy_dcbh,0.0,23,0,0.0644028608026721,-3.6046928201865525,3.687589077524608
30.0,2.0,-1.0,0.037749551350623745,0.3,pbh,0.2608695652173913,23,6,0.0644028608026721,-3.6046928201865525,3.687589077524608
30.0,1.0,-1.0,0.037749551350623745,0.5,light_popiii,0.043478260869565216,23,1,-4.150945239222245,-9.546104707537616,1.7610317886476485
30.0,1.0,-1.0,0.037749551350623745,0.5,intermediate_cluster,0.0,23,0,-4.150945239222245,-9.546104707537616,1.7610317886476485
30.0,1.0,-1.0,0.037749551350623745,0.5,heavy_dcbh,0.0,23,0,-4.150945239222245,-9.546104707537616,1.7610317886476485
30.0,1.0,-1.0,0.037749551350623745,0.5,pbh,0.0,23,0,-4.150945239222245,-9.546104707537616,1.7610317886476485
30.0,2.0,-1.0,0.037749551350623745,0.5,light_popiii,0.043478260869565216,23,1,-4.451975234886226,-9.847134703201597,1.4600017929836673
30.0,2.0,-1.0,0.037749551350623745,0.5,intermediate_cluster,0.0,23,0,-4.451975234886226,-9.847134703201597,1.4600017929836673
30.0,2.0,-1.0,0.037749551350623745,0.5,heavy_dcbh,0.0,23,0,-4.451975234886226,-9.847134703201597,1.4600017929836673
30.0,2.0,-1.0,0.037749551350623745,0.5,pbh,0.0,23,0,-4.451975234886226,-9.847134703201597,1.4600017929836673
30.0,1.0,-1.0,0.037749551350623745,1.0,light_popiii,0.0,23,0,-15.563873262129825,-26.120154247527466,-3.807936422704703
30.0,1.0,-1.0,0.037749551350623745,1.0,intermediate_cluster,0.0,23,0,-15.563873262129825,-26.120154247527466,-3.807936422704703
30.0,1.0,-1.0,0.037749551350623745,1.0,heavy_dcbh,0.0,23,0,-15.563873262129825,-26.120154247527466,-3.807936422704703
30.0,1.0,-1.0,0.037749551350623745,1.0,pbh,0.0,23,0,-15.563873262129825,-26.120154247527466,-3.807936422704703
30.0,2.0,-1.0,0.037749551350623745,1.0,light_popiii,0.0,23,0,-15.864903257793806,-26.421184243191448,-4.108966418368684
30.0,2.0,-1.0,0.037749551350623745,1.0,intermediate_cluster,0.0,23,0,-15.864903257793806,-26.421184243191448,-4.108966418368684
30.0,2.0,-1.0,0.037749551350623745,1.0,heavy_dcbh,0.0,23,0,-15.864903257793806,-26.421184243191448,-4.108966418368684
30.0,2.0,-1.0,0.037749551350623745,1.0,pbh,0.0,23,0,-15.864903257793806,-26.421184243191448,-4.108966418368684
30.0,1.0,-1.0,0.037749551350623745,2.0,light_popiii,0.0,23,0,-38.80774652425965,-60.07030849505493,-14.945872845409406
30.0,1.0,-1.0,0.037749551350623745,2.0,intermediate_cluster,0.0,23,0,-38.80774652425965,-60.07030849505493,-14.945872845409406
30.0,1.0,-1.0,0.037749551350623745,2.0,heavy_dcbh,0.0,23,0,-38.80774652425965,-60.07030849505493,-14.945872845409406
30.0,1.0,-1.0,0.037749551350623745,2.0,pbh,0.0,23,0,-38.80774652425965,-60.07030849505493,-14.945872845409406
30.0,2.0,-1.0,0.037749551350623745,2.0,light_popiii,0.0,23,0,-39.10877651992363,-60.37133849071891,-15.246902841073387
30.0,2.0,-1.0,0.037749551350623745,2.0,intermediate_cluster,0.0,23,0,-39.10877651992363,-60.37133849071891,-15.246902841073387
30.0,2.0,-1.0,0.037749551350623745,2.0,heavy_dcbh,0.0,23,0,-39.10877651992363,-60.37133849071891,-15.246902841073387
30.0,2.0,-1.0,0.037749551350623745,2.0,pbh,0.0,23,0,-39.10877651992363,-60.37133849071891,-15.246902841073387
30.0,1.0,-1.0,0.037749551350623745,3.0,light_popiii,0.0,23,0,-62.05161978638947,-94.02046274258241,-26.08380926811411
30.0,1.0,-1.0,0.037749551350623745,3.0,intermediate_cluster,0.0,23,0,-62.05161978638947,-94.02046274258241,-26.08380926811411
30.0,1.0,-1.0,0.037749551350623745,3.0,heavy_dcbh,0.0,23,0,-62.05161978638947,-94.02046274258241,-26.08380926811411
30.0,1.0,-1.0,0.037749551350623745,3.0,pbh,0.0,23,0,-62.05161978638947,-94.02046274258241,-26.08380926811411
30.0,2.0,-1.0,0.037749551350623745,3.0,light_popiii,0.0,23,0,-62.352649782053454,-94.32149273824639,-26.38483926377809
30.0,2.0,-1.0,0.037749551350623745,3.0,intermediate_cluster,0.0,23,0,-62.352649782053454,-94.32149273824639,-26.38483926377809
30.0,2.0,-1.0,0.037749551350623745,3.0,heavy_dcbh,0.0,23,0,-62.352649782053454,-94.32149273824639,-26.38483926377809
30.0,2.0,-1.0,0.037749551350623745,3.0,pbh,0.0,23,0,-62.352649782053454,-94.32149273824639,-26.38483926377809
30.0,1.0,0.0,0.057190958417936644,0.1,light_popiii,0.0,23,0,5.718107006488858,4.041426588432324,7.439539150151399
30.0,1.0,0.0,0.057190958417936644,0.1,intermediate_cluster,0.0,23,0,5.718107006488858,4.041426588432324,7.439539150151399
30.0,1.0,0.0,0.057190958417936644,0.1,heavy_dcbh,0.6086956521739131,23,14,5.718107006488858,4.041426588432324,7.439539150151399
30.0,1.0,0.0,0.057190958417936644,0.1,pbh,0.6086956521739131,23,14,5.718107006488858,4.041426588432324,7.439539150151399
30.0,2.0,0.0,0.057190958417936644,0.1,light_popiii,0.0,23,0,5.417077010824877,3.7403965927683425,7.1385091544874175
30.0,2.0,0.0,0.057190958417936644,0.1,intermediate_cluster,0.08695652173913043,23,2,5.417077010824877,3.7403965927683425,7.1385091544874175
30.0,2.0,0.0,0.057190958417936644,0.1,heavy_dcbh,0.6521739130434783,23,15,5.417077010824877,3.7403965927683425,7.1385091544874175
30.0,2.0,0.0,0.057190958417936644,0.1,pbh,0.7391304347826086,23,17,5.417077010824877,3.7403965927683425,7.1385091544874175
30.0,1.0,0.0,0.057190958417936644,0.3,light_popiii,0.30434782608695654,23,7,2.7587141611924784,0.004279765296972826,5.1786174504541975
30.0,1.0,0.0,0.057190958417936644,0.3,intermediate_cluster,0.17391304347826086,23,4,2.7587141611924784,0.004279765296972826,5.1786174504541975
30.0,1.0,0.0,0.057190958417936644,0.3,heavy_dcbh,0.2608695652173913,23,6,2.7587141611924784,0.004279765296972826,5.1786174504541975
30.0,1.0,0.0,0.057190958417936644,0.3,pbh,0.6086956521739131,23,14,2.7587141611924784,0.004279765296972826,5.1786174504541975
30.0,2.0,0.0,0.057190958417936644,0.3,light_popiii,0.30434782608695654,23,7,2.457684165528497,-0.2967502303670084,4.877587454790216
30.0,2.0,0.0,0.057190958417936644,0.3,intermediate_cluster,0.08695652173913043,23,2,2.457684165528497,-0.2967502303670084,4.877587454790216
30.0,2.0,0.0,0.057190958417936644,0.3,heavy_dcbh,0.2608695652173913,23,6,2.457684165528497,-0.2967502303670084,4.877587454790216
30.0,2.0,0.0,0.057190958417936644,0.3,pbh,0.5652173913043478,23,13,2.457684165528497,-0.2967502303670084,4.877587454790216
30.0,1.0,0.0,0.057190958417936644,0.5,light_popiii,0.043478260869565216,23,1,-0.16214306467920192,-4.032867057838378,3.7284058251666203
30.0,1.0,0.0,0.057190958417936644,0.5,intermediate_cluster,0.08695652173913043,23,2,-0.16214306467920192,-4.032867057838378,3.7284058251666203
30.0,1.0,0.0,0.057190958417936644,0.5,heavy_dcbh,0.0,23,0,-0.16214306467920192,-4.032867057838378,3.7284058251666203
30.0,1.0,0.0,0.057190958417936644,0.5,pbh,0.2608695652173913,23,6,-0.16214306467920192,-4.032867057838378,3.7284058251666203
30.0,2.0,0.0,0.057190958417936644,0.5,light_popiii,0.043478260869565216,23,1,-0.4631730603431832,-4.333897053502359,3.427375829502639
30.0,2.0,0.0,0.057190958417936644,0.5,intermediate_cluster,0.043478260869565216,23,1,-0.4631730603431832,-4.333897053502359,3.427375829502639
30.0,2.0,0.0,0.057190958417936644,0.5,heavy_dcbh,0.0,23,0,-0.4631730603431832,-4.333897053502359,3.427375829502639
30.0,2.0,0.0,0.057190958417936644,0.5,pbh,0.21739130434782608,23,5,-0.4631730603431832,-4.333897053502359,3.427375829502639
30.0,1.0,0.0,0.057190958417936644,1.0,light_popiii,0.0,23,0,-7.4642861293584035,-14.126433064805882,0.1268116503332406
30.0,1.0,0.0,0.057190958417936644,1.0,intermediate_cluster,0.0,23,0,-7.4642861293584035,-14.126433064805882,0.1268116503332406
30.0,1.0,0.0,0.057190958417936644,1.0,heavy_dcbh,0.0,23,0,-7.4642861293584035,-14.126433064805882,0.1268116503332406
30.0,1.0,0.0,0.057190958417936644,1.0,pbh,0.0,23,0,-7.4642861293584035,-14.126433064805882,0.1268116503332406
30.0,2.0,0.0,0.057190958417936644,1.0,light_popiii,0.0,23,0,-7.765316125022385,-14.427463060469863,-0.17421834533074065
30.0,2.0,0.0,0.057190958417936644,1.0,intermediate_cluster,0.0,23,0,-7.765316125022385,-14.427463060469863,-0.17421834533074065
30.0,2.0,0.0,0.057190958417936644,1.0,heavy_dcbh,0.0,23,0,-7.765316125022385,-14.427463060469863,-0.17421834533074065
30.0,2.0,0.0,0.057190958417936644,1.0,pbh,0.0,23,0,-7.765316125022385,-14.427463060469863,-0.17421834533074065
30.0,1.0,0.0,0.057190958417936644,2.0,light_popiii,0.0,23,0,-22.38481465302637,-36.082866129611766,-7.076376699333519
30.0,1.0,0.0,0.057190958417936644,2.0,intermediate_cluster,0.0,23,0,-22.38481465302637,-36.082866129611766,-7.076376699333519
30.0,1.0,0.0,0.057190958417936644,2.0,heavy_dcbh,0.0,23,0,-22.38481465302637,-36.082866129611766,-7.076376699333519
30.0,1.0,0.0,0.057190958417936644,2.0,pbh,0.0,23,0,-22.38481465302637,-36.082866129611766,-7.076376699333519
30.0,2.0,0.0,0.057190958417936644,2.0,light_popiii,0.0,23,0,-22.685844648690352,-36.38389612527575,-7.3774066949975
30.0,2.0,0.0,0.057190958417936644,2.0,intermediate_cluster,0.0,23,0,-22.685844648690352,-36.38389612527575,-7.3774066949975
30.0,2.0,0.0,0.057190958417936644,2.0,heavy_dcbh,0.0,23,0,-22.685844648690352,-36.38389612527575,-7.3774066949975
30.0,2.0,0.0,0.057190958417936644,2.0,pbh,0.0,23,0,-22.685844648690352,-36.38389612527575,-7.3774066949975
30.0,1.0,0.0,0.057190958417936644,3.0,light_popiii,0.0,23,0,-37.417221979539555,-58.03929919441765,-14.279565049000277
30.0,1.0,0.0,0.057190958417936644,3.0,intermediate_cluster,0.0,23,0,-37.417221979539555,-58.03929919441765,-14.279565049000277
30.0,1.0,0.0,0.057190958417936644,3.0,heavy_dcbh,0.0,23,0,-37.417221979539555,-58.03929919441765,-14.279565049000277
30.0,1.0,0.0,0.057190958417936644,3.0,pbh,0.0,23,0,-37.417221979539555,-58.03929919441765,-14.279565049000277
30.0,2.0,0.0,0.057190958417936644,3.0,light_popiii,0.0,23,0,-37.718251975203536,-58.34032919008163,-14.580595044664259
30.0,2.0,0.0,0.057190958417936644,3.0,intermediate_cluster,0.0,23,0,-37.718251975203536,-58.34032919008163,-14.580595044664259
30.0,2.0,0.0,0.057190958417936644,3.0,heavy_dcbh,0.0,23,0,-37.718251975203536,-58.34032919008163,-14.580595044664259
30.0,2.0,0.0,0.057190958417936644,3.0,pbh,0.0,23,0,-37.718251975203536,-58.34032919008163,-14.580595044664259
30.0,1.0,1.0,0.42264973081037416,0.1,light_popiii,0.0,23,0,7.270311978603742,5.892734273864789,8.476326243160758
30.0,1.0,1.0,0.42264973081037416,0.1,intermediate_cluster,0.0,23,0,7.270311978603742,5.892734273864789,8.476326243160758
30.0,1.0,1.0,0.42264973081037416,0.1,heavy_dcbh,0.043478260869565216,23,1,7.270311978603742,5.892734273864789,8.476326243160758
30.0,1.0,1.0,0.42264973081037416,0.1,pbh,0.043478260869565216,23,1,7.270311978603742,5.892734273864789,8.476326243160758
30.0,2.0,1.0,0.42264973081037416,0.1,light_popiii,0.0,23,0,6.96928198293976,5.591704278200808,8.175296247496776
30.0,2.0,1.0,0.42264973081037416,0.1,intermediate_cluster,0.0,23,0,6.96928198293976,5.591704278200808,8.175296247496776
30.0,2.0,1.0,0.42264973081037416,0.1,heavy_dcbh,0.13043478260869565,23,3,6.96928198293976,5.591704278200808,8.175296247496776
30.0,2.0,1.0,0.42264973081037416,0.1,pbh,0.13043478260869565,23,3,6.96928198293976,5.591704278200808,8.175296247496776
30.0,1.0,1.0,0.42264973081037416,0.3,light_popiii,0.0,23,0,7.024657200240596,5.558202821594369,8.28897872948227
30.0,1.0,1.0,0.42264973081037416,0.3,intermediate_cluster,0.0,23,0,7.024657200240596,5.558202821594369,8.28897872948227
30.0,1.0,1.0,0.42264973081037416,0.3,heavy_dcbh,0.13043478260869565,23,3,7.024657200240596,5.558202821594369,8.28897872948227
30.0,1.0,1.0,0.42264973081037416,0.3,pbh,0.13043478260869565,23,3,7.024657200240596,5.558202821594369,8.28897872948227
30.0,2.0,1.0,0.42264973081037416,0.3,light_popiii,0.0,23,0,6.723627204576615,5.257172825930388,7.987948733818288
30.0,2.0,1.0,0.42264973081037416,0.3,intermediate_cluster,0.0,23,0,6.723627204576615,5.257172825930388,7.987948733818288
30.0,2.0,1.0,0.42264973081037416,0.3,heavy_dcbh,0.17391304347826086,23,4,6.723627204576615,5.257172825930388,7.987948733818288
30.0,2.0,1.0,0.42264973081037416,0.3,pbh,0.17391304347826086,23,4,6.723627204576615,5.257172825930388,7.987948733818288
30.0,1.0,1.0,0.42264973081037416,0.5,light_popiii,0.0,23,0,6.747762000400993,5.22367136932395,8.101631215803783
30.0,1.0,1.0,0.42264973081037416,0.5,intermediate_cluster,0.0,23,0,6.747762000400993,5.22367136932395,8.101631215803783
30.0,1.0,1.0,0.42264973081037416,0.5,heavy_dcbh,0.17391304347826086,23,4,6.747762000400993,5.22367136932395,8.101631215803783
30.0,1.0,1.0,0.42264973081037416,0.5,pbh,0.17391304347826086,23,4,6.747762000400993,5.22367136932395,8.101631215803783
30.0,2.0,1.0,0.42264973081037416,0.5,light_popiii,0.0,23,0,6.446732004737012,4.922641373659968,7.800601220139801
30.0,2.0,1.0,0.42264973081037416,0.5,intermediate_cluster,0.0,23,0,6.446732004737012,4.922641373659968,7.800601220139801
30.0,2.0,1.0,0.42264973081037416,0.5,heavy_dcbh,0.21739130434782608,23,5,6.446732004737012,4.922641373659968,7.800601220139801
30.0,2.0,1.0,0.42264973081037416,0.5,pbh,0.21739130434782608,23,5,6.446732004737012,4.922641373659968,7.800601220139801
30.0,1.0,1.0,0.42264973081037416,1.0,light_popiii,0.0,23,0,6.010616717292591,4.3873427386479,7.633262431607564
30.0,1.0,1.0,0.42264973081037416,1.0,intermediate_cluster,0.0,23,0,6.010616717292591,4.3873427386479,7.633262431607564
30.0,1.0,1.0,0.42264973081037416,1.0,heavy_dcbh,0.43478260869565216,23,10,6.010616717292591,4.3873427386479,7.633262431607564
30.0,1.0,1.0,0.42264973081037416,1.0,pbh,0.43478260869565216,23,10,6.010616717292591,4.3873427386479,7.633262431607564
30.0,2.0,1.0,0.42264973081037416,1.0,light_popiii,0.0,23,0,5.70958672162861,4.086312742983918,7.332232435943583
30.0,2.0,1.0,0.42264973081037416,1.0,intermediate_cluster,0.0,23,0,5.70958672162861,4.086312742983918,7.332232435943583
30.0,2.0,1.0,0.42264973081037416,1.0,heavy_dcbh,0.6086956521739131,23,14,5.70958672162861,4.086312742983918,7.332232435943583
30.0,2.0,1.0,0.42264973081037416,1.0,pbh,0.6086956521739131,23,14,5.70958672162861,4.086312742983918,7.332232435943583
30.0,1.0,1.0,0.42264973081037416,2.0,light_popiii,0.0,23,0,4.719680273093093,2.7146854772957996,6.696524863215128
30.0,1.0,1.0,0.42264973081037416,2.0,intermediate_cluster,0.13043478260869565,23,3,4.719680273093093,2.7146854772957996,6.696524863215128
