catalogue_release,host_system_id,n_physical_objects,n_measurements,physical_object_ids,measurement_ids,source_keys,host_system_assignment_status,host_property_scope,log_mstar_msun_std,log_mstar_upper_limit_msun,host_mass_note
v3-dataset-catalogue,HZS-A2744-QSO1,1,1,HZA-A2744-QSO1,UNCOVER13123_greene24,greene24_uncover_blagn,inherited_or_source_verified_single_object_host,not_published,,,no cross-object host quantity asserted at host-system level
v3-dataset-catalogue,HZS-CEERS-00717,1,1,HZA-CEERS-00717,CEERS00717_harikane23,harikane23_nirspec_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v3-dataset-catalogue,HZS-CEERS-01236,1,1,HZA-CEERS-01236,CEERS01236_harikane23,harikane23_nirspec_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v3-dataset-catalogue,HZS-CEERS-01665,1,1,HZA-CEERS-01665,CEERS01665_harikane23,harikane23_nirspec_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v3-dataset-catalogue,HZS-CEERS-1019,1,1,HZA-CEERS-1019,CEERS1019_larson23,larson23_ceers1019,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v3-dataset-catalogue,HZS-CEERS-1244,1,2,HZA-CEERS-1244,CEERS01244_harikane23;CEERS1244_taylor24,harikane23_nirspec_blagn;taylor24_ceers_rubies_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v3-dataset-catalogue,HZS-CEERS-2782,1,3,HZA-CEERS-2782,CEERS02782_harikane23;CEERS2782_taylor24;RUBIESEGS50052_taylor24,harikane23_nirspec_blagn;taylor24_ceers_rubies_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v3-dataset-catalogue,HZS-CEERS-397,1,2,HZA-CEERS-397,CEERS00397_harikane23;CEERS397_taylor24,harikane23_nirspec_blagn;taylor24_ceers_rubies_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v3-dataset-catalogue,HZS-CEERS-672,1,2,HZA-CEERS-672,CEERS00672_harikane23;CEERS672_taylor24,harikane23_nirspec_blagn;taylor24_ceers_rubies_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
v3-dataset-catalogue,HZS-CEERS-746,1,2,HZA-CEERS-746,CEERS00746_harikane23;CEERS746_taylor24,harikane23_nirspec_blagn;taylor24_ceers_rubies_blagn,inherited_or_source_verified_single_object_host,object_specific,,,no cross-object host quantity asserted at host-system level
