catalogue_release,physical_object_id,host_system_id,measurement_id,object_id,source_key,ra_deg,dec_deg,redshift,alias_kind
v1-dataset-catalogue,HZA-GN-1093,HZS-GN-1093,GN1093_juodzbalis25,GN-1093,juodzbalis25_jades_blagn,189.17974,62.22463,5.594,source_object_id
v1-dataset-catalogue,HZA-GN-11836,HZS-GN-11836,GN11836_juodzbalis25,GN-11836,juodzbalis25_jades_blagn,189.22059,62.26368,4.409,source_object_id
v1-dataset-catalogue,HZA-GN-20621,HZS-GN-20621,GN20621_juodzbalis25,GN-20621,juodzbalis25_jades_blagn,189.12252,62.29285,4.682,source_object_id
v1-dataset-catalogue,HZA-GN-38509,HZS-GN-38509,GN38509_juodzbalis25,GN-38509,juodzbalis25_jades_blagn,189.09144,62.22811,6.678,source_object_id
v1-dataset-catalogue,HZA-GN-4685,HZS-GN-4685,GN4685_juodzbalis25,GN-4685,juodzbalis25_jades_blagn,189.09629,62.23914,7.415,source_object_id
v1-dataset-catalogue,HZA-GN-53757,HZS-GN-53757,GN53757_juodzbalis25,GN-53757,juodzbalis25_jades_blagn,189.26978,62.19421,4.447,source_object_id
v1-dataset-catalogue,HZA-GN-61888,HZS-GN-61888,GN61888_juodzbalis25,GN-61888,juodzbalis25_jades_blagn,189.16802,62.21701,5.874,source_object_id
v1-dataset-catalogue,HZA-GN-62309,HZS-GN-62309,GN62309_juodzbalis25,GN-62309,juodzbalis25_jades_blagn,189.24898,62.21835,5.172,source_object_id
v1-dataset-catalogue,HZA-GN-73488,HZS-GN-73488,GN73488_juodzbalis25,GN-73488,juodzbalis25_jades_blagn,189.1974,62.17723,4.133,source_object_id
v1-dataset-catalogue,HZA-GN-77652,HZS-GN-77652,GN77652_juodzbalis25,GN-77652,juodzbalis25_jades_blagn,189.29323,62.199,5.229,source_object_id
v1-dataset-catalogue,HZA-GN-954,HZS-GN-954,GN954_juodzbalis25,GN-954,juodzbalis25_jades_blagn,189.15197,62.25964,6.759,source_object_id
v1-dataset-catalogue,HZA-GS-10013704,HZS-GS-10013704,GS10013704_juodzbalis25,GS-10013704,juodzbalis25_jades_blagn,53.12654,-27.81809,5.919,source_object_id
v1-dataset-catalogue,HZA-GS-159717,HZS-GS-159717,GS159717_juodzbalis25,GS-159717,juodzbalis25_jades_blagn,53.09753,-27.90126,5.077,source_object_id
v1-dataset-catalogue,HZA-GS-164055,HZS-GS-164055,GS164055_juodzbalis25,GS-164055,juodzbalis25_jades_blagn,53.08168,-27.88857,7.397,source_object_id
v1-dataset-catalogue,HZA-GS-172975,HZS-GS-172975,GS172975_juodzbalis25,GS-172975,juodzbalis25_jades_blagn,53.08773,-27.87124,4.741,source_object_id
v1-dataset-catalogue,HZA-GS-20030333,HZS-GS-20030333,GS20030333_juodzbalis25,GS-20030333,juodzbalis25_jades_blagn,53.05373,-27.87789,7.891,source_object_id
v1-dataset-catalogue,HZA-GS-20057765,HZS-GS-20057765,GS20057765_juodzbalis25,GS-20057765,juodzbalis25_jades_blagn,53.0408,-27.85901,8.913,source_object_id
v1-dataset-catalogue,HZA-GS-200679,HZS-GS-200679,GS200679_juodzbalis25,GS-200679,juodzbalis25_jades_blagn,53.11392,-27.8062,4.547,source_object_id
v1-dataset-catalogue,HZA-GS-204851,HZS-GS-204851,GOODSS13971_matthee23,GOODS-S-13971,matthee23_eiger_fresco_blagn,53.13858333,-27.79025,5.481,source_object_id
v1-dataset-catalogue,HZA-GS-204851,HZS-GS-204851,GS204851_juodzbalis25,GS-204851,juodzbalis25_jades_blagn,53.13859,-27.79025,5.48,source_object_id
v1-dataset-catalogue,HZA-GS-210600,HZS-GS-210600,GS210600_juodzbalis25,GS-210600,juodzbalis25_jades_blagn,53.16611,-27.77985,6.306,source_object_id
v1-dataset-catalogue,HZA-GS-30148179,HZS-GS-30148179,GS30148179_juodzbalis25,GS-30148179,juodzbalis25_jades_blagn,53.14208,-27.77985,5.922,source_object_id
v1-dataset-catalogue,HZA-GS-38562,HZS-GS-38562,GS38562_juodzbalis25,GS-38562,juodzbalis25_jades_blagn,53.13586,-27.87165,4.822,source_object_id
v1-dataset-catalogue,HZA-GS-8083,HZS-GS-8083,GS8083_juodzbalis25,GS-8083,juodzbalis25_jades_blagn,53.13284,-27.80186,4.753,source_object_id
v1-dataset-catalogue,HZA-GS-8083,HZS-GS-8083,scholtz25_00008083,JADES-NS-GS00008083,scholtz25_jades_narrow_line_agn,53.13284313101842,-27.80185787562137,4.665,source_object_id
