physical_object_id,measurement_id,object_id,growth_ranking_eligible_flag,primary_growth_ranking_flag,open_identity_group,excluded_identity_flag,exploratory_only_evidence_flag,evidence_selection_reason,publication_primary_flag,publication_exploratory_flag
HZA-COSMOS3D-27974,COSMOS3D27974_lin25,COSMOS3D-27974,True,True,,False,False,,True,True
HZA-COSMOS3D-3878,COSMOS3D3878_lin25,COSMOS3D-3878,True,True,,False,False,,True,True
HZA-DC-417567,DC417567_ren25,DC_417567,True,False,,False,False,,False,True
HZA-DC-519281,DC519281_ren25,DC_519281,True,False,,False,False,,False,True
HZA-DC-536534,DC536534_ren25,DC_536534,True,True,,False,False,,True,True
HZA-DC-683613,DC683613_ren25,DC_683613,True,False,,False,False,,False,True
HZA-DC-848185-A,DC848185a_ren25,DC_848185_a,True,False,,False,False,,False,True
HZA-DC-848185-B,DC848185b_ren25,DC_848185_b,True,False,,False,False,,False,True
HZA-DC-873321,DC873321_ren25,DC_873321,True,False,,False,False,,False,True
HZA-DJA-12329,DJA12329_zhang25,DJA-12329,False,False,,False,False,,False,False
HZA-DJA-16321,DJA16321_zhang25,DJA-16321,False,False,,False,False,,False,False
HZA-DJA-20547,DJA20547_zhang25,DJA-20547,False,False,,False,False,,False,False
HZA-DJA-22015,DJA22015_zhang25,DJA-22015,False,False,,False,False,,False,False
HZA-EGS-4106-47962,EGS410647962_baccus26,EGS_4106_47962,True,True,,False,False,,True,True
HZA-EGS-4106-71365,EGS410671365_baccus26,EGS_4106_71365,True,True,,False,False,,True,True
HZA-EXCELS-3543-42268,EXCELS354342268_baccus26,EXCELS_3543_42268,True,True,,False,False,,True,True
HZA-EXCELS-3543-89922,EXCELS354389922_baccus26,EXCELS_3543_89922,True,True,,False,False,,True,True
HZA-GDN-2674-14,GDN267414_baccus26,GDN_2674_14,True,True,,False,False,,True,True
HZA-GDN-2674-32,GDN267432_baccus26,GDN_2674_32,True,True,,False,False,,True,True
HZA-GDN-2674-3761,GDN26743761_baccus26,GDN_2674_3761,True,True,,False,False,,True,True
HZA-GDN-2674-934,GDN2674934_baccus26,GDN_2674_934,True,True,,False,False,,True,True
HZA-GDN-4762-33609,GDN476233609_baccus26,GDN_4762_33609,True,True,,False,False,,True,True
HZA-GDN-4762-37583,GDN476237583_baccus26,GDN_4762_37583,True,True,,False,False,,True,True
HZA-GDS-1210-9515,GDS12109515_baccus26,GDS_1210_9515,True,True,baccus_gs8083,True,False,,False,False
HZA-GHZ2,GHZ2_chavezortiz26,GHZ2,False,False,,False,False,,False,False
HZA-GHZ4,GHZ4_napolitano25seven,GHZ4,False,False,,False,False,,False,False
HZA-GHZ7,GHZ7_napolitano25seven,GHZ7,False,False,,False,False,,False,False
HZA-GHZ9,GHZ9_napolitano25,GHZ9,False,False,,False,False,,False,False
HZA-GLASS-150029,GLASS150029_harikane23,GLASS-150029,True,True,,False,False,,True,True
