catalogue_release,physical_object_id,host_system_id,host_system_assignment_status,host_property_scope
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1137-3549,HZS-GNIRS50-J1137-3549,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1143-3808,HZS-GNIRS50-J1143-3808,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1148-0702,HZS-GNIRS50-J1148-0702,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1148-5251,HZS-GNIRS50-J1148-5251,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1207-0630,HZS-GNIRS50-J1207-0630,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1243-2529,HZS-GNIRS50-J1243-2529,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1250-3130,HZS-GNIRS50-J1250-3130,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1257-6349,HZS-GNIRS50-J1257-6349,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1335-3533,HZS-GNIRS50-J1335-3533,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1403-0902,HZS-GNIRS50-J1403-0902,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1425-3254,HZS-GNIRS50-J1425-3254,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1427-3312,HZS-GNIRS50-J1427-3312,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1429-5447,HZS-GNIRS50-J1429-5447,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1436-5007,HZS-GNIRS50-J1436-5007,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1545-6028,HZS-GNIRS50-J1545-6028,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1602-4228,HZS-GNIRS50-J1602-4228,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1609-3041,HZS-GNIRS50-J1609-3041,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1621-5155,HZS-GNIRS50-J1621-5155,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1623-3112,HZS-GNIRS50-J1623-3112,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J1630-4012,HZS-GNIRS50-J1630-4012,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J2307-0031,HZS-GNIRS50-J2307-0031,source_verified_single_quasar_host,not_published
v7.2-accreting-atlas-catalogue,HZA-GNIRS50-J2329-0403,HZS-GNIRS50-J2329-0403,source_verified_single_quasar_host,not_published
