measurement_id,object_id,ra_deg,dec_deg,redshift,log_mbh_msun,log_mbh_err_plus,log_mbh_err_minus,broad_line_species,broad_fwhm_km_s,broad_fwhm_err_plus,broad_fwhm_err_minus,log_lbol_erg_s,log_lbol_err_plus,log_lbol_err_minus,lbol_method,edd_ratio_reported,edd_ratio_err_plus,edd_ratio_err_minus,edd_ratio_method,grating,evidence_status,evidence_status_basis,source_key
RUBIES423324210_baccus26,RUBIES_4233_24210,215.066445,52.941877,6.2712,6.22,0.039,0.049,Halpha,1250.0,590.0,340.0,44.3,0.0144,0.0196,source broad-Halpha luminosity scaling,0.9811,0.0499,0.05,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
J0226332510867_baccus26,J0226_3325_10867,36.475139,3.08138,6.5341,6.73,0.0519,0.0595,Halpha,2150.0,710.0,480.0,44.2,0.0226,0.0254,source broad-Halpha luminosity scaling,0.2086,0.0122,0.01,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
J022633259556_baccus26,J0226_3325_9556,36.49542,3.040207,6.5391,6.78,0.0375,0.0366,Halpha,1960.0,470.0,360.0,44.3,0.0203,0.0165,source broad-Halpha luminosity scaling,0.2515,0.0113,0.01,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
J022633256699_baccus26,J0226_3325_6699,36.507805,3.049793,6.5405,8.3,0.01,0.01,Halpha,3400.0,70.0,40.0,45.8,0.01,0.01,source broad-Halpha luminosity scaling,0.2542,0.0011,0.0,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
J0910202812910_baccus26,J0910_2028_12910,137.727212,-4.235207,6.6214,8.58,0.01,0.01,Halpha,4280.0,40.0,30.0,45.9,0.01,0.01,source broad-Halpha luminosity scaling,0.1742,0.0006,0.0,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
J0910202814306_baccus26,J0910_2028_14306,137.71679,-4.214624,6.6334,6.03,0.0421,0.0664,Halpha,1140.0,440.0,180.0,44.1,0.022,0.0192,source broad-Halpha luminosity scaling,0.887,0.0482,0.05,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
EGS410647962_baccus26,EGS_4106_47962,214.892479,52.856891,6.7273,6.89,0.029,0.0333,Halpha,2430.0,200.0,160.0,44.4,0.01,0.0111,source broad-Halpha luminosity scaling,0.236,0.0042,0.0,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
AURORA1914100182_baccus26,AURORA_1914_100182,189.177221,62.29151,6.7325,6.4,0.0415,0.0622,Halpha,1660.0,470.0,340.0,44.4,0.01,0.0101,source broad-Halpha luminosity scaling,0.8687,0.0706,0.08,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
RUBIES4233925921_baccus26,RUBIES_4233_925921,215.075054,52.943828,6.9448,7.45,0.0281,0.0306,Halpha,3220.0,640.0,450.0,44.6,0.0107,0.0114,source broad-Halpha luminosity scaling,0.1144,0.0037,0.0,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
BLUEJAY181019945_baccus26,BLUEJAY_1810_19945,150.090563,2.381598,6.9894,6.95,0.0294,0.0357,Halpha,2140.0,320.0,270.0,44.6,0.01,0.0121,source broad-Halpha luminosity scaling,0.3739,0.0105,0.01,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
RUBIES423342803_baccus26,RUBIES_4233_42803,214.929524,52.887919,7.1522,7.36,0.0482,0.0528,Halpha,3260.0,780.0,760.0,44.4,0.0188,0.024,source broad-Halpha luminosity scaling,0.0923,0.0051,0.01,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
GDN476233609_baccus26,GDN_4762_33609,189.083488,62.202579,7.1883,7.39,0.0218,0.0242,Halpha,2790.0,260.0,240.0,44.8,0.01,0.01,source broad-Halpha luminosity scaling,0.1897,0.0028,0.0,source derived from same Lbol and virial MBH,G395M,secure,source-catalogue broad-Halpha AGN identification,baccus26_nirspec_blagn
