measurement_id,object_id,ra_deg,dec_deg,redshift,redshift_kind,lensing_mu,lensing_mu_err_plus,lensing_mu_err_minus,evidence_status,source_paper_version,source_url,source_doi,source_archive_url,source_archive_sha256,hard_xray_significance_low_sigma,hard_xray_significance_high_sigma,hard_xray_total_counts,hard_xray_net_counts,log_lx_intrinsic_2_10kev_erg_s,log_lbol_erg_s,lbol_censoring,assumed_log_mbh_lower,assumed_log_mbh_upper,selection_criteria,source_caveat_tags
UHZ1_bogdan24,UHZ1,3.567066666666667,-30.377856944444446,10.3,photometric,3.81,0.41,0.56,candidate,"Nature Astronomy 8, 126-133 (2024); arXiv:2305.15458v2",https://www.nature.com/articles/s41550-023-02111-9,10.1038/s41550-023-02111-9,https://arxiv.org/e-print/2305.15458v2,d1446d873c81c0ee83f7cc1c0648d85f8a93b0967eb5d14ef7b46d0564ab2e6c,4.2,4.4,42,20.6,44.27875360095283,45.69897000433602,detection,7,8,"forced Chandra photometry at the positions of 11 gravitationally lensed JWST galaxies with z_phot>9","low_counts;nh_lx_degeneracy;mass_assumes_eddington_accretion;later_reanalysis_disputes_detection"
UHZ1_zou26,UHZ1 / UNCOVER-26185,3.567066666666667,-30.377856944444446,10.054,spectroscopic,3.71,0.23,0.23,disputed,"Zou et al. (2026), submitted; arXiv:2603.24893v1",https://arxiv.org/abs/2603.24893,,https://arxiv.org/e-print/2603.24893v1,2690ce8d6345a097ebc642232205d0337eabe76f582c661db815bff4912f77d4,2.3,2.9,54,19.1,,,upper_limit,,,"reanalysis of the full 2.2 Ms Chandra dataset plus nine-band JWST/MIRI imaging at the known UHZ1 position","marginal_xray_excess;astrometric_registration_sensitive;nonpersistent_with_added_exposure;miri_nondetections;no_spectroscopic_agn_signature"
