measurement_id,object_id,original_redshift,systemic_redshift,systemic_redshift_err,mgii_redshift,mgii_redshift_err,ciii_redshift,ciii_redshift_err,civ_redshift,civ_redshift_err,siiv_redshift,siiv_redshift_err,log_l1350_erg_s,log_l1350_err,log_l1700_erg_s,log_l1700_err,log_l3000_erg_s,log_l3000_err,log_lbol_erg_s,log_lbol_err,mgii_peak_angstrom,mgii_fwhm_km_s,mgii_log_l_erg_s,mgii_ew_angstrom,mgii_centroid_angstrom,ciii_peak_angstrom,ciii_fwhm_km_s,ciii_log_l_erg_s,ciii_ew_angstrom,ciii_centroid_angstrom,civ_peak_angstrom,civ_fwhm_km_s,civ_log_l_erg_s,civ_ew_angstrom,civ_centroid_angstrom,siiv_peak_angstrom,siiv_fwhm_km_s,siiv_log_l_erg_s,siiv_ew_angstrom,siiv_centroid_angstrom,mgii_peak_angstrom_err,mgii_fwhm_km_s_err,mgii_log_l_erg_s_err,mgii_ew_angstrom_err,mgii_centroid_angstrom_err,ciii_peak_angstrom_err,ciii_fwhm_km_s_err,ciii_log_l_erg_s_err,ciii_ew_angstrom_err,ciii_centroid_angstrom_err,civ_peak_angstrom_err,civ_fwhm_km_s_err,civ_log_l_erg_s_err,civ_ew_angstrom_err,civ_centroid_angstrom_err,siiv_peak_angstrom_err,siiv_fwhm_km_s_err,siiv_log_l_erg_s_err,siiv_ew_angstrom_err,siiv_centroid_angstrom_err,log_mbh_civ_msun,log_mbh_civ_err,log_mbh_mgii_msun,log_mbh_mgii_err,log_mbh_fiducial_msun,log_mbh_fiducial_err,log_edd_ratio,log_edd_ratio_err
GNIRS50-P000-26_shen19,P000+26,5.71,5.73276,0.00567,,,5.73276,0.00567,5.70673,0.0094,5.73137,0.01208,46.75739,0.00373,46.73856,0.00194,46.69447,0.00125,47.40628,0.00125,,,,,,1913.74,5296.4002,44.9892,35.1666,1909.6983,1542.9839,5429.2778,45.3355,59.6456,1543.1084,1400.3506,6417.0776,44.5914,9.5976,1400.4112,,,,,,0.62,184.9384,0.0109,0.8976,0.6476,0.3394,130.4166,0.023,3.6247,0.3235,1.1628,292.7628,0.036,0.9814,1.1518,9.5909,0.021,,,9.5909,0.021,-0.2986,0.021
GNIRS50-J0002-2550_shen19,J0002+2550,5.8,5.81732,0.00612,,,5.81732,0.00612,5.80616,0.00974,5.80509,0.01144,46.79818,0.00383,46.73059,0.00294,46.58176,0.00188,47.29357,0.00188,,,,,,1912.1306,4730.0414,44.8797,29.5285,1910.0675,1545.1527,5845.7386,45.2246,44.9505,1545.256,1396.9631,5442.2609,44.6959,11.2643,1396.9804,,,,,,0.8613,237.2365,0.019,1.3846,0.3884,0.558,206.4462,0.0414,4.4537,0.3727,0.7582,389.672,0.0288,0.8513,0.7428,9.6767,0.0307,,,9.6767,0.0307,-0.4971,0.0308
GNIRS50-J0008-0626_shen19,J0008-0626,5.93,5.92914,0.00606,,,5.92914,0.00606,5.90136,0.00974,5.92152,0.01238,46.27177,0.00677,46.28021,0.00513,46.31686,0.00251,47.02867,0.00251,2799.5592,2279.2035,44.3447,29.3771,2799.6332,1907.035,4679.052,44.6919,47.6845,1902.1168,1538.3896,6132.7547,44.9604,74.9591,1538.6162,1394.9342,6882.1233,44.4054,19.0122,1395.0039,1.0056,273.6052,0.0686,5.343,0.8432,0.7642,340.4154,0.1124,16.3435,0.4911,0.426,245.8128,0.0244,5.4278,0.4231,1.14,562.0386,0.0388,2.1078,1.1297,9.4393,0.035,8.892,0.1043,8.892,0.1043,0.0227,0.1043
GNIRS50-J0028-0457_shen19,J0028+0457,6.04,5.96005,0.0113,5.98947,0.01802,5.96388,0.05415,5.96005,0.0113,5.98188,0.0126,46.52419,0.00641,46.47835,0.00281,46.30178,0.00285,47.01359,0.00285,2778.1354,5307.4252,44.116,17.1912,2778.2385,1886.6489,15581.7888,44.8586,48.5296,1887.9667,1526.7865,8768.5794,44.5176,15.7706,1526.9232,1384.7972,5628.2723,44.2522,7.4635,1384.8465,6.907,1972.1305,0.0658,2.7851,6.6327,14.596,6435.074,0.0563,7.5302,16.5685,1.2964,1215.9856,0.045,1.8727,1.2956,1.1807,748.7258,0.0491,0.9491,1.1531,9.8837,0.1205,9.6169,0.3228,9.6169,0.3228,-0.7172,0.3228
GNIRS50-J0033-0125_shen19,J0033-0125,6.13,6.01884,0.00671,6.01884,0.00671,6.02569,0.08111,6.05059,0.05432,6.13918,0.01145,45.83206,0.01377,45.855,0.00966,45.79924,0.00634,46.51105,0.00634,2754.5928,6761.664,43.5602,15.3009,2754.7506,1879.3693,31651.1905,44.4942,81.4783,1881.595,1528.5198,11242.4649,44.2112,35.3345,1532.8373,1399.1271,,,,1399.1271,1.8419,6808.2245,0.1678,8.1159,1.9092,21.6481,14937.7791,0.2468,39.3881,15.9149,11.5845,7059.0387,0.0884,10.7079,7.9077,0.2881,705.9574,21.6527,1.9982,0.2881,9.7327,0.5454,9.5156,0.8746,9.5156,0.8746,-1.1185,0.8746
GNIRS50-J0050-3445_shen19,J0050+3445,6.25,6.24598,0.0055,6.24598,0.0055,,,6.26686,0.0104,6.25311,0.01245,46.49392,0.00497,46.53066,0.00269,46.54579,0.00201,47.2576,0.00201,2796.667,5859.9963,44.5534,28.1398,2796.7785,1890.1838,1519.894,45.7117,279.2347,1890.158,1547.7964,5733.2061,45.1318,63.6833,1547.9942,1396.8385,8720.3116,44.5914,17.2308,1396.9595,0.917,490.5354,0.0139,1.1125,0.8433,19.0164,6304.8263,2.3617,1142003.9057,9.4324,0.5582,444.2972,0.0143,2.6083,0.572,0.9016,1366.3388,0.0411,1.9945,0.8532,9.4986,0.0674,9.8542,0.0727,9.8542,0.0727,-0.7105,0.0727
GNIRS50-J0055-0146_shen19,J0055+0146,6.02,5.95421,0.05343,6.07498,0.07776,5.83962,0.05969,5.93455,0.10472,5.95421,0.05343,45.88326,0.07673,45.68712,0.12047,45.20117,0.1107,45.91298,0.1107,2820.1319,1411.9148,43.5745,82.2723,2820.1385,1858.2638,796.6058,44.5677,183.8189,1858.2736,1527.2944,16331.9862,44.4852,75.026,1527.7705,1384.4997,6855.8952,44.1495,26.5041,1384.5757,30.9342,8127.8443,0.4005,312.0705,30.3427,16.152,5346.0273,0.3405,177.1063,13.0764,22.9677,15058.2533,0.3398,130.1998,20.9663,10.4058,16942.9749,0.5952,105.6282,9.4189,,,,,,,,
GNIRS50-J0136-0226_shen19,J0136+0226,6.21,6.20648,0.00719,6.20648,0.00719,,,6.2144,0.01007,6.22903,0.0168,45.72905,0.02237,45.64538,0.01691,45.62028,0.01091,46.33209,0.01091,2796.8535,2580.8802,43.7493,38.7579,2796.6481,,,,,,1547.1535,3366.8035,44.6257,135.9479,1547.1869,1401.3542,2261.9195,43.3106,5.4962,1400.7939,2.0335,984.1692,0.0773,8.0233,1.8282,,,,,,0.281,324.9078,0.122,33.1813,0.2273,2.375,860.926,0.144,2.5821,2.2162,8.6308,0.0847,8.5681,0.3313,8.5681,0.3313,-0.35,0.3315
GNIRS50-J0203-0012_shen19,J0203+0012,5.854,5.77689,0.01053,,,5.83418,0.01414,5.77689,0.01053,5.75423,0.01075,46.19251,0.00699,46.50215,0.00207,46.60248,0.00129,47.31429,0.00129,,,,,,1901.756,16181.614,44.6907,24.0554,1883.0857,1526.8976,28274.153,45.0535,71.1619,1528.3054,1375.9608,6683.7277,44.3905,20.0119,1376.0374,,,,,,3.6476,589.9841,0.0186,1.0965,1.5348,1.0761,8395.1266,0.0381,6.9946,1.059,0.0057,930.5646,0.0546,2.8647,0.0335,10.7248,0.2579,,,10.7248,0.2579,-1.5245,0.2579
GNIRS50-J0221-0802_shen19,J0221-0802,6.16,6.20015,0.03631,6.20015,0.03631,,,6.12628,0.06591,6.16647,0.05962,45.23979,0.46662,45.19409,0.22509,45.94421,0.0132,46.65601,0.0132,2813.9088,2296.9536,44.4987,117.5524,2813.6605,1886.359,24846.3285,44.8671,725.6813,1882.7322,1539.9433,15078.1371,44.4959,317.5075,1526.8341,1399.6561,,,,1399.6561,14.058,8518.6997,0.2931,63.4945,23.1139,14.4787,16693.2987,0.1485,476.0697,11.4136,14.0826,9534.4853,0.3569,421.165,11.6778,11.4289,1742.4444,21.9779,41.8485,11.1237,,,8.6677,3.2213,8.6677,3.2213,-0.1256,3.2214
GNIRS50-J0227-0605_shen19,J0227-0605,6.2,6.20651,0.00758,6.20651,0.00758,,,6.11343,0.08936,6.17161,0.02788,45.8004,0.02568,45.72827,0.01176,45.63053,0.00889,46.34234,0.00889,2800.7469,1968.6581,43.5251,18.9872,2800.7627,1881.2343,17162.245,44.2865,70.6402,1881.8596,1527.4326,1968.8952,43.8659,19.6088,1527.8303,1392.0209,1481.1522,43.2282,3.8262,1392.1203,2.2376,709.2002,0.0912,4.8469,2.6027,27.7628,9730.24,0.2158,52.7899,20.3512,19.0719,4325.3667,0.1169,8.5627,7.3457,4.9367,1198.2722,0.1848,2.7619,4.949,8.2027,1.9082,8.3393,0.313,8.3393,0.313,-0.1109,0.3131
GNIRS50-J0300-2232_shen19,J0300-2232,5.7,5.65156,0.01286,,,5.6835,0.01355,5.65156,0.01286,5.6975,0.01542,46.48904,0.0069,46.56662,0.00272,46.64108,0.0017,47.35288,0.0017,,,,,,1902.5756,12551.7388,44.9118,39.3474,1889.5488,1532.9597,2158.2145,44.7396,24.5952,1532.9882,1395.6614,5065.9767,44.2139,7.1994,1395.6973,,,,,,3.5624,974.1315,0.0832,7.1139,1.9011,2.0701,11077.9966,0.0965,5.4744,2.4159,2.3233,967.04,0.0734,1.4972,2.3046,8.6474,4.4584,,,8.6474,4.4584,0.5916,4.4584
GNIRS50-J0353-0104_shen19,J0353+0104,6.049,6.05732,0.00503,6.05732,0.00503,,,6.06086,0.0099,6.06581,0.01188,46.22139,0.00619,46.29155,0.00228,46.39311,0.00222,47.10492,0.00222,2801.5199,3228.9765,44.4662,33.1876,2800.3313,1908.0485,5254.4718,44.6223,37.9957,1901.6274,1547.3463,3344.1304,44.974,79.3679,1547.429,1399.9567,4102.8595,44.2032,13.072,1400.0292,0.5697,315.7727,0.0129,0.9977,0.7107,0.3739,251.022,0.1335,15.7548,0.5732,0.3504,301.2204,0.0149,3.0317,0.3665,0.7606,386.3618,0.0388,1.3146,0.7349,8.8859,0.0783,9.2419,0.085,9.2419,0.085,-0.2509,0.085
GNIRS50-P060-24_shen19,P060+24,6.18,6.17377,0.00563,6.17377,0.00563,5.98576,0.01737,6.17458,0.01002,6.18177,0.01225,46.51973,0.00461,46.50597,0.00283,46.43715,0.0012,47.14896,0.0012,2795.7901,3877.1311,44.2976,19.716,2795.8257,1855.6761,26797.1228,44.8714,43.949,1879.8868,1543.0966,6207.3244,44.8071,30.3205,1543.1642,1396.6249,7209.1054,44.5799,16.0765,1396.7101,1.077,458.7138,0.0197,0.955,0.7868,4.3834,4461.6408,0.0299,3.5594,1.7189,0.281,207.3967,0.0216,3.4432,0.279,0.8569,914.7616,0.0407,1.8159,0.8642,9.5813,0.0291,9.4281,0.1028,9.4281,0.1028,-0.393,0.1028
GNIRS50-J0810-5105_shen19,J0810+5105,5.8,5.80496,0.00967,,,5.80894,0.01206,5.80496,0.00967,5.7952,0.01198,46.59104,0.00497,46.57558,0.00365,46.51305,0.00186,47.22486,0.00186,,,,,,1909.7792,7733.8468,44.8442,36.5396,1904.1106,1545.2314,5666.2342,45.0829,48.7364,1545.3685,1395.1822,5330.2234,44.3214,7.5181,1395.2459,,,,,,3.0402,2424.072,0.0854,8.7689,5.0901,0.4961,247.3809,0.0282,3.7653,0.4693,1.058,410.5006,0.0557,1.1372,1.0547,9.5398,0.038,,,9.5398,0.038,-0.4289,0.0381
GNIRS50-J0835-3217_shen19,J0835+3217,5.89,5.9016,0.00762,,,5.9016,0.00762,5.91785,0.00988,5.90451,0.01154,45.94807,0.0082,45.90113,0.00601,45.76828,0.00354,46.48009,0.00354,2785.3987,4826.2901,44.2133,73.8955,2785.6203,1910.4844,6024.3389,44.2851,49.3886,1907.9791,1551.8772,4219.9082,44.4498,52.3648,1551.959,1400.1969,3634.6209,43.6882,7.8086,1400.1478,22.9377,1048.68,1.531,17864.7722,24.2126,1.4972,2886.0439,0.1307,13.2372,4.5331,0.5412,684.7364,0.1275,13.9203,0.5258,0.7176,517.2587,0.0601,1.3379,0.7107,8.9431,0.141,,,8.9431,0.141,-0.5769,0.1411
GNIRS50-J0836-0054_shen19,J0836+0054,5.82,5.83428,0.00655,,,5.83428,0.00655,5.81877,0.01794,5.80781,0.01232,47.00779,0.00373,47.0242,0.0025,47.01292,0.00181,47.72473,0.00181,,,,,,1911.2657,11317.9738,45.0166,18.3836,1890.0088,1542.8116,6809.2789,44.9575,13.4663,1537.3365,1392.9519,3664.8334,44.5161,4.4721,1392.9798,,,,,,1.0699,339.6795,0.0178,0.8575,0.8986,3.4514,676.9068,0.0285,0.9865,0.6444,1.199,511.779,0.0654,0.7467,1.1932,9.9203,0.0864,,,9.9203,0.0864,-0.3095,0.0864
GNIRS50-J0840-5624_shen19,J0840+5624,5.85,5.81997,0.00988,,,5.80838,0.01004,5.81997,0.00988,5.83828,0.01264,46.1717,0.00343,46.13192,0.00207,46.001,0.00174,46.71281,0.00174,,,,,,1895.6831,10974.0025,44.3827,35.9031,1892.8909,1538.3358,7371.1178,44.2899,21.1169,1538.4391,1394.4922,5917.336,43.8379,6.5248,1394.542,,,,,,2.3768,777.3848,0.0312,2.7538,1.8631,0.6547,1641.3292,0.1102,7.3725,0.6643,1.311,638.7957,0.0418,0.7326,1.3144,9.5461,0.1934,,,9.5461,0.1934,-0.9472,0.1934
GNIRS50-J0841-2905_shen19,J0841+2905,5.96,5.95354,0.00541,5.95354,0.00541,5.94015,0.01431,5.90721,0.01024,5.8916,0.02359,46.34139,0.00694,46.38248,0.00286,46.32451,0.00181,47.03632,0.00181,2795.6222,3073.1588,44.5106,40.2371,2792.5834,1901.832,16735.9307,44.8289,51.8593,1883.1303,1532.8269,8606.1547,45.0953,82.0455,1534.2105,1382.7544,8792.575,44.4789,18.7497,1382.8841,1.0342,550.8034,0.0695,6.3429,1.1954,3.6316,2638.8794,0.0205,4.2418,2.8099,0.8111,655.1419,0.015,3.8637,0.9582,4.1897,2116.5353,0.0707,3.7798,4.1075,9.7706,0.0662,9.1564,0.1557,9.1564,0.1557,-0.234,0.1557
GNIRS50-J0842-1218_shen19,J0842+1218,6.06,6.06925,0.0084,6.06925,0.0084,,,6.04107,0.01002,6.0588,0.01176,46.61233,0.00456,46.59509,0.00254,46.52513,0.00178,47.23693,0.00178,2801.8848,4186.8194,44.6468,35.9042,2800.2739,1902.4217,8194.3286,44.9165,41.0619,1897.1081,1539.9194,6432.7961,45.1594,55.2737,1540.0551,1395.899,5817.6859,44.5859,13.1798,1395.9763,2.725,783.8785,0.0305,2.6302,2.2156,0.8085,612.1659,0.0989,12.0851,1.3323,0.5036,396.5393,0.0235,3.3552,0.4186,0.6905,476.2319,0.0321,1.0035,0.6952,9.6613,0.0536,9.5493,0.1626,9.5493,0.1626,-0.4264,0.1626
GNIRS50-J0850-3246_shen19,J0850+3246,5.87,5.67312,0.00537,,,5.67312,0.00537,5.79446,0.0103,5.88401,0.03199,46.5952,0.00413,46.61579,0.00314,46.50926,0.00246,47.22106,0.00246,,,,,,1852.6141,14621.5169,44.802,28.4412,1863.5905,1527.0354,6479.1121,44.1701,5.5518,1527.1112,1398.9509,,,,1398.9509,,,,,,0.389,294.6803,0.0231,1.9163,1.025,0.9452,895.9215,0.0591,0.8623,0.9767,6.1085,852.0871,21.6424,0.3481,5.7522,9.6585,0.1201,,,9.6585,0.1201,-0.5514,0.1202
GNIRS50-J0927-2001_shen19,J0927+2001,5.79,5.76991,0.01269,,,5.59429,0.06781,5.76501,0.01527,5.76991,0.01269,46.47341,0.00331,46.44165,0.00277,46.2778,0.00252,46.9896,0.00252,,,,,,1852.2972,13080.6105,44.7716,41.3924,1877.8904,1538.7229,7216.0683,44.3433,11.788,1531.7665,1392.2519,3705.4471,44.1466,6.5986,1392.2677,,,,,,18.9932,559.1781,0.0311,3.603,1.2471,2.7432,965.4782,0.0387,1.1479,1.9476,1.378,642.5836,0.0589,0.9987,1.3707,9.6875,0.1162,,,9.6875,0.1162,-0.8118,0.1163
GNIRS50-J1044-0125_shen19,J1044-0125,5.778,5.78549,0.00694,,,5.78549,0.00694,5.7659,0.00976,5.78141,0.01185,46.77499,0.00195,46.76442,0.00163,46.7012,0.00127,47.41301,0.00127,,,,,,1909.3782,9746.1015,44.9347,28.9761,1899.7288,1540.9207,6446.0825,45.0982,32.7289,1541.1237,1396.566,5885.0415,44.4354,6.3956,1396.6448,,,,,,1.2691,1277.9821,0.0659,5.1184,3.2635,0.6282,318.9035,0.092,6.174,0.5198,1.0073,476.128,0.0374,0.6262,1.0127,9.7493,0.043,,,9.7493,0.043,-0.4503,0.043
GNIRS50-J1137-3549_shen19,J1137+3549,6.01,6.00204,0.00998,6.00701,0.01445,5.99481,0.01372,6.00204,0.00998,6.01133,0.01248,46.79218,0.00369,46.74982,0.00228,46.62071,0.00199,47.33252,0.00199,2797.0257,5946.5256,44.4974,20.5462,2797.1397,1903.1396,10010.7329,44.939,31.4559,1895.6324,1541.9563,6324.3002,45.1915,40.6087,1542.0746,1396.1528,5790.311,44.5048,7.2779,1396.1767,5.44,389.9464,0.0287,1.2735,1.7896,3.426,2029.2219,0.1169,7.8153,4.1541,0.5272,405.0619,0.0236,2.506,0.4706,1.1154,814.9341,0.0502,1.0019,1.102,9.7419,0.0557,9.9134,0.057,9.9134,0.057,-0.6948,0.057
GNIRS50-J1143-3808_shen19,J1143+3808,5.81,5.82516,0.00935,,,5.82516,0.00935,5.8007,0.01001,5.79705,0.01652,46.5638,0.00464,46.52287,0.00375,46.38806,0.0019,47.09987,0.0019,,,,,,1911.5191,5292.3192,44.4937,19.1161,1907.9431,1542.1153,6484.5899,44.8159,28.8927,1542.3441,1393.5982,5579.7915,44.0885,4.7093,1393.649,,,,,,2.1559,2872.3123,0.0347,1.7139,4.7656,0.7736,343.3935,0.0905,6.0132,0.5894,2.5595,720.3586,0.0613,0.7627,2.5524,9.6426,0.0461,,,9.6426,0.0461,-0.6567,0.0461
