measurement_id,object_id,original_redshift,systemic_redshift,systemic_redshift_err,mgii_redshift,mgii_redshift_err,ciii_redshift,ciii_redshift_err,civ_redshift,civ_redshift_err,siiv_redshift,siiv_redshift_err,log_l1350_erg_s,log_l1350_err,log_l1700_erg_s,log_l1700_err,log_l3000_erg_s,log_l3000_err,log_lbol_erg_s,log_lbol_err,mgii_peak_angstrom,mgii_fwhm_km_s,mgii_log_l_erg_s,mgii_ew_angstrom,mgii_centroid_angstrom,ciii_peak_angstrom,ciii_fwhm_km_s,ciii_log_l_erg_s,ciii_ew_angstrom,ciii_centroid_angstrom,civ_peak_angstrom,civ_fwhm_km_s,civ_log_l_erg_s,civ_ew_angstrom,civ_centroid_angstrom,siiv_peak_angstrom,siiv_fwhm_km_s,siiv_log_l_erg_s,siiv_ew_angstrom,siiv_centroid_angstrom,mgii_peak_angstrom_err,mgii_fwhm_km_s_err,mgii_log_l_erg_s_err,mgii_ew_angstrom_err,mgii_centroid_angstrom_err,ciii_peak_angstrom_err,ciii_fwhm_km_s_err,ciii_log_l_erg_s_err,ciii_ew_angstrom_err,ciii_centroid_angstrom_err,civ_peak_angstrom_err,civ_fwhm_km_s_err,civ_log_l_erg_s_err,civ_ew_angstrom_err,civ_centroid_angstrom_err,siiv_peak_angstrom_err,siiv_fwhm_km_s_err,siiv_log_l_erg_s_err,siiv_ew_angstrom_err,siiv_centroid_angstrom_err,log_mbh_civ_msun,log_mbh_civ_err,log_mbh_mgii_msun,log_mbh_mgii_err,log_mbh_fiducial_msun,log_mbh_fiducial_err,log_edd_ratio,log_edd_ratio_err
GNIRS50-J1427-3312_shen19,J1427+3312,6.12,6.12115,0.00516,6.12115,0.00516,,,6.13232,0.00998,6.14852,0.01436,46.14076,0.0104,46.23872,0.00578,46.33442,0.00335,47.04623,0.00335,2798.6699,2670.3195,44.2801,23.4951,2798.6897,1895.2054,9250.6524,44.2647,18.2449,1880.0649,1547.5402,2782.8081,44.4207,25.7477,1547.7438,1402.3054,4002.8812,44.0483,10.9108,1402.3302,0.6709,225.0317,0.0207,1.3261,0.8258,3.5505,338.8097,0.0318,1.5876,1.9453,0.3135,199.4938,0.0566,4.071,0.3128,1.7204,1050.6256,0.0833,2.3643,1.7244,8.6836,0.0625,9.0405,0.0732,9.0405,0.0732,-0.1082,0.0733
GNIRS50-J1429-5447_shen19,J1429+5447,6.21,6.11548,0.00986,6.11548,0.00986,,,6.22335,0.05045,6.10344,0.04109,46.30676,0.00575,46.30306,0.0033,46.22466,0.00253,46.93647,0.00253,2761.5348,3739.2206,43.9008,12.5884,2762.2432,1878.4346,35297.8652,44.4068,24.2705,1881.1318,1547.581,5797.1494,43.5826,2.9194,1537.1098,1375.9647,35297.8652,44.3077,13.7759,1377.9404,3.3303,1598.9605,0.1273,4.9327,4.1443,38.7806,16906.45,1.8672,21644.8757,38.6621,10.5946,16679.5653,0.4216,5.7325,15.4161,7.6526,16005.6371,0.4345,8.173,6.3992,,,9.2649,0.3714,9.2649,0.3714,-0.4423,0.3714
GNIRS50-J1436-5007_shen19,J1436+5007,5.83,5.81132,0.01058,,,5.80864,0.01244,5.81132,0.01058,5.85567,0.01766,46.51896,0.00804,46.49513,0.00661,46.42435,0.00307,47.13615,0.00307,,,,,,1901.3081,10041.5659,44.8262,42.3061,1895.0576,1540.0623,6616.3581,45.0025,48.1484,1540.3347,1401.545,4614.5057,44.1045,5.4295,1401.5437,,,,,,3.1424,2168.6108,0.0421,4.8377,4.3982,1.0831,1435.5867,0.0781,10.1922,0.9798,2.8396,1208.8841,0.0934,1.3947,2.7654,9.6363,0.1885,,,9.6363,0.1885,-0.6141,0.1885
GNIRS50-P228-21_shen19,P228+21,5.9,5.89177,0.01353,,,5.89349,0.02552,5.91564,0.01549,5.89177,0.01353,46.19606,0.0118,46.1326,0.0061,46.01671,0.00728,46.72851,0.00728,2803.8475,4057.0894,44.0919,32.8078,2805.4717,1905.4729,6969.631,44.3385,33.3785,1905.5099,1548.6082,6561.3827,44.4636,31.0648,1548.6868,1395.2142,6009.6838,43.9877,8.7828,1395.2906,7.9964,905.2225,0.3112,40.109,6.7817,6.8965,2542.2197,0.0431,3.6359,4.6974,2.7277,1482.2492,0.0357,3.1157,1.4795,1.6056,736.3085,0.1062,2.4787,1.6163,9.4579,0.1963,,,9.4579,0.1963,-0.8433,0.1965
GNIRS50-J1545-6028_shen19,J1545+6028,5.78,5.7935,0.00602,,,5.7935,0.00602,5.78223,0.00947,5.79971,0.01165,46.0866,0.00573,46.0323,0.0028,45.96144,0.00232,46.67325,0.00232,,,,,,1911.0691,4584.0142,44.294,36.83,1909.6378,1545.843,5302.9573,44.735,74.2073,1545.9431,1401.1034,4106.6463,43.8509,8.3168,1401.0915,,,,,,0.8162,255.1615,0.0142,1.5205,0.4356,0.2807,121.3345,0.0157,3.5595,0.28,0.8929,587.638,0.0525,1.1354,0.8941,9.2149,0.0201,,,9.2149,0.0201,-0.6556,0.0202
GNIRS50-J1602-4228_shen19,J1602+4228,6.07,6.07949,0.00513,6.07949,0.00513,,,6.07214,0.01008,6.07736,0.01614,46.60254,0.0062,46.58845,0.0035,46.55597,0.0021,47.26777,0.0021,2801.9721,3359.1195,44.4782,23.0878,2802.4244,1907.0749,5139.2315,44.7217,26.5009,1899.6874,1544.5435,6466.4363,45.1566,56.1922,1544.7914,1397.6013,7514.4206,44.4131,9.0619,1397.6925,0.6757,159.6332,0.0447,3.1942,0.638,6.4948,1886.0532,0.1817,19.2339,9.3749,0.5203,301.6827,0.0181,3.2341,0.5245,2.2842,1161.8692,0.0648,1.599,2.3016,9.6607,0.0407,9.3772,0.0413,9.3772,0.0413,-0.2233,0.0414
GNIRS50-J1609-3041_shen19,J1609+3041,6.16,6.14192,0.00607,6.14192,0.00607,,,6.13553,0.01025,6.13493,0.01311,46.32635,0.00393,46.2241,0.00362,46.07519,0.00265,46.787,0.00265,2791.1528,6364.5212,44.1566,33.6544,2791.2792,1886.3299,24141.5952,44.9367,110.406,1880.4211,1539.6195,7652.4629,44.9152,67.5829,1540.4659,1391.8425,8097.1911,44.2561,12.1495,1391.957,1.4102,256.7538,0.0235,2.4817,1.1233,6.0745,12880.8056,0.0267,8.2542,4.3775,0.5945,358.7015,0.017,3.1568,0.5549,1.2784,730.7949,0.0287,0.8839,1.2905,9.6606,0.0408,9.6342,0.0351,9.6342,0.0351,-0.9611,0.0352
GNIRS50-J1621-5155_shen19,J1621+5155,5.71,5.63323,0.0104,,,5.6312,0.05296,5.63323,0.0104,5.71998,0.01077,46.55843,0.00393,46.66371,0.00165,46.75374,0.00102,47.46555,0.00102,,,,,,1884.8744,10156.2762,44.4057,9.5487,1871.4525,1526.241,6529.9552,43.9197,3.0583,1526.3157,1398.1014,,,,1398.1014,,,,,,14.9807,437.9375,0.0236,0.5697,2.5796,1.1253,1457.8408,0.1054,0.9166,1.1655,0.2737,,,,0.3058,9.6458,0.1939,,,9.6458,0.1939,-0.2942,0.1939
GNIRS50-J1623-3112_shen19,J1623+3112,6.22,6.254,0.00545,6.254,0.00545,,,6.24907,0.01011,6.22242,0.01395,46.49878,0.00679,46.45763,0.00359,46.40477,0.00379,47.11657,0.00379,2811.3947,3841.461,44.5466,38.791,2810.6278,1937.5029,1909.5382,45.7121,369.7539,1937.5078,1550.5899,5168.599,45.2564,93.549,1550.7061,1396.826,8214.9816,44.6949,22.1958,1396.9346,0.877,207.1164,0.0148,1.5305,0.5197,21.1715,2312.6483,1.2309,4634.812,21.143,0.2623,175.9618,0.0161,4.1625,0.2721,1.5287,905.4234,0.041,2.6483,1.5147,9.4111,0.0298,9.3999,0.0469,9.3999,0.0469,-0.3973,0.047
GNIRS50-J1630-4012_shen19,J1630+4012,6.05,6.06311,0.00585,6.06311,0.00585,,,6.06889,0.00992,6.05333,0.01316,46.27681,0.00669,46.23118,0.00488,46.13673,0.00294,46.84854,0.00294,2803.423,4472.019,44.2819,38.5675,2803.1038,1906.9636,4067.1994,44.4965,37.4926,1906.7202,1549.0222,5167.1579,44.9198,72.0606,1549.1563,1397.3817,4735.1085,44.1697,11.0561,1397.4511,1.313,400.6704,0.0207,1.7202,1.2158,0.6083,416.1386,0.0923,7.4544,0.7147,0.3525,311.6489,0.0458,8.2323,0.3414,1.3627,696.23,0.0625,1.6815,1.363,9.2932,0.0525,9.3658,0.0778,9.3658,0.0778,-0.6312,0.0779
GNIRS50-P333-26_shen19,P333+26,6.01,6.02651,0.00631,6.02651,0.00631,6.0031,0.0127,5.99762,0.0107,6.01921,0.01179,46.24002,0.01123,46.23704,0.00579,46.18582,0.00408,46.89763,0.00408,2804.8097,3069.1506,44.2616,32.3274,2804.3829,1905.395,9819.5121,44.581,42.6268,1895.7529,1542.1431,6335.4098,44.9064,71.5393,1542.4953,1398.5482,3985.5605,44.1324,10.9032,1398.6198,1.6316,604.7875,0.0271,2.1232,1.4884,3.1215,1786.7622,0.1582,23.9361,3.1743,1.0011,571.6148,0.0299,6.0977,0.9655,0.7512,619.6492,0.0638,2.0273,0.736,9.4508,0.0786,9.0692,0.1712,9.0692,0.1712,-0.2856,0.1712
GNIRS50-J2307-0031_shen19,J2307+0031,5.87,5.90021,0.00996,,,5.86128,0.01303,5.90021,0.00996,5.88503,0.03104,45.7991,0.01573,45.87763,0.00608,46.08991,0.00231,46.80172,0.00231,,,,,,1904.8521,7377.7329,44.1746,34.0095,1899.3795,1552.4815,1826.8115,44.3379,48.3318,1552.5138,1400.3486,6751.1161,43.6527,9.7366,1400.4174,,,,,,3.302,2194.0515,0.0308,2.8315,4.8017,0.6311,3765.6434,0.0561,7.5599,0.6421,5.9063,2284.7928,0.1568,4.5088,5.8952,8.1369,1.7905,,,8.1369,1.7905,0.5509,1.7905
GNIRS50-J2310-1855_shen19,J2310+1855,6.04,5.95734,0.01074,5.95851,0.01191,5.8717,0.03457,5.95734,0.01074,5.94102,0.01105,46.96326,0.00262,46.93883,0.00174,46.78835,0.00119,47.50016,0.00119,2765.8283,4939.0939,44.6364,18.4039,2773.9258,1861.6769,15046.0252,45.1591,32.1646,1868.0698,1525.1613,8255.5483,45.2613,30.9615,1526.1564,1375.9606,8260.3962,44.7535,8.507,1376.0703,4.3386,363.1364,0.0337,1.5667,1.5316,9.2534,4139.5885,0.1363,14.1489,5.1325,1.0416,13154.1972,0.0768,6.2681,0.9847,0.0887,472.8524,0.0268,0.5716,0.086,10.064,1.384,9.8561,0.0639,9.8561,0.0639,-0.4699,0.0639
GNIRS50-J2329-0403_shen19,J2329-0403,5.9,5.88263,0.008,,,5.88263,0.008,5.89712,0.01015,5.88545,0.01532,45.62298,0.02175,45.62901,0.0094,45.65393,0.00637,46.36574,0.00637,2800.3134,3018.9696,43.5494,22.0155,2806.4934,1902.4703,4972.1971,44.1995,70.3827,1902.3399,1545.6003,5758.3912,44.1074,46.7006,1545.6597,1394.7452,7201.9534,43.8552,23.7378,1394.8394,6.5478,1941.6947,0.1594,11.2231,7.547,1.6429,3165.3177,0.12,18.2905,6.3229,0.7706,574.5608,0.0544,13.0573,0.7306,2.1693,1697.2292,0.0752,5.8012,2.1686,9.0408,0.0874,8.7252,0.5587,8.7252,0.5587,-0.4734,0.5587
GNIRS50-J2356-0023_shen19,J2356+0023,6.0,5.99266,0.01369,6.04379,0.0464,6.02349,0.03939,5.99266,0.01369,5.98186,0.05038,45.83752,0.02336,45.62595,0.0175,45.42893,0.0113,46.14073,0.0113,2815.7226,10126.1094,44.0734,139.6538,2786.3294,1913.673,5297.6874,44.3242,134.6703,1909.01,1544.633,7804.5304,44.17,42.7935,1544.7341,1394.0744,1411.9148,42.5436,0.7471,1394.0776,18.4476,7758.4216,0.1346,49.0579,17.9388,10.6277,2796.5046,0.1417,38.6779,6.7863,2.1377,1351.4636,0.1262,20.7175,1.903,9.8127,3453.4285,21.7827,4.3776,10.1146,9.4186,0.1509,9.6368,0.6655,9.6368,0.6655,-1.61,0.6656
