measurement_id,object_id,ra_deg,dec_deg,redshift,redshift_kind,survey,object_class,log_mbh_msun,log_mbh_err_plus,log_mbh_err_minus,mbh_method,detection_evidence,log_mstar_msun,log_mstar_err_plus,log_mstar_err_minus,mstar_method,log_lbol_erg_s,log_lbol_err_plus,log_lbol_err_minus,lbol_method,edd_ratio_reported,edd_ratio_err_plus,edd_ratio_err_minus,agn_contam_flag,lensing_mu,lensing_mu_err,source_key,source_table,notes,program,field,selection_channel,broad_line_species,halpha_flux_total_1e18_erg_s_cm2,halpha_flux_total_err_plus,halpha_flux_total_err_minus,halpha_flux_narrow_1e18_erg_s_cm2,halpha_flux_narrow_err_plus,halpha_flux_narrow_err_minus,halpha_flux_broad_1e18_erg_s_cm2,halpha_flux_broad_err_plus,halpha_flux_broad_err_minus,halpha_broad_fwhm_km_s,halpha_broad_fwhm_err_plus,halpha_broad_fwhm_err_minus,fwhm_instrument_corrected_flag,lrd_flag,lrd_definition,halpha_absorption_fit_flag,log_mbh_systematic_dex,mbh_systematic_kind,mbh_systematic_applied_flag,mbh_formal_uncertainty_kind,dust_correction_applied_flag,source_caveat_tags,source_paper_version,source_url,source_doi,source_archive_url,source_archive_sha256,extraction_date,selection_criteria
RUBIESUDS61627_taylor24,RUBIES-UDS-61627,34.238394,-5.205775,3.654,spec,RUBIES,broad-line-agn,6.80,0.15,0.15,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,8.40,0.52,0.49,4.36,0.47,0.41,4.04,0.65,0.69,1515,258,217,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS5496_taylor24,RUBIES-UDS-5496,34.405872,-5.312951,3.655,spec,RUBIES,broad-line-agn,6.99,0.17,0.17,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,13.30,1.07,0.94,6.42,0.57,0.59,6.94,1.03,1.05,1657,320,267,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESEGS15825_taylor24,RUBIES-EGS-15825,215.079264,52.934252,3.666,spec,RUBIES,broad-line-agn,8.08,0.05,0.05,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,EGS,broad-halpha,Halpha,72.08,2.00,2.06,7.29,1.40,1.32,64.80,2.27,2.46,3343,189,169,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS18302_taylor24,RUBIES-UDS-18302,34.233628,-5.283850,3.698,spec,RUBIES,broad-line-agn,7.01,0.36,0.41,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,21.30,3.88,3.19,6.32,2.45,3.12,15.38,2.88,2.54,1425,621,519,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS46885_taylor24,RUBIES-UDS-46885,34.291666,-5.233788,3.730,spec,RUBIES,broad-line-agn,6.32,0.05,0.05,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,25.73,0.44,0.40,15.46,1.26,1.32,10.31,1.26,1.25,709,52,45,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS146995_taylor24,RUBIES-UDS-146995,34.331043,-5.139963,3.732,spec,RUBIES,broad-line-agn,7.11,0.05,0.06,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic. Halpha line fit includes the source-specific narrow absorption component described in Section 3.2.,RUBIES,UDS,broad-halpha,Halpha,26.26,1.43,1.58,0.90,0.83,0.58,25.23,1.42,1.62,1403,85,89,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,1,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust;halpha_absorption_component_fit,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESEGS34978_taylor24,RUBIES-EGS-34978,214.861690,52.818438,3.772,spec,RUBIES,broad-line-agn,7.15,0.04,0.05,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,EGS,broad-halpha,Halpha,91.02,1.30,1.27,68.01,1.53,1.53,23.04,1.71,1.75,1485,76,77,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESEGS19174_taylor24,RUBIES-EGS-19174,214.860840,52.784773,3.774,spec,RUBIES,broad-line-agn,6.62,0.20,0.16,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,EGS,broad-halpha,Halpha,72.89,2.39,2.30,55.44,4.26,4.98,17.62,4.61,4.10,878,248,167,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS10036_taylor24,RUBIES-UDS-10036,34.381671,-5.303742,3.806,spec,RUBIES,broad-line-agn,6.73,0.08,0.07,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,9.46,0.40,0.36,3.12,0.32,0.29,6.34,0.38,0.39,1234,107,91,1,1,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESEGS37032_taylor24,RUBIES-EGS-37032,214.849388,52.811824,3.850,spec,RUBIES,broad-line-agn,7.29,0.15,0.13,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,EGS,broad-halpha,Halpha,18.00,1.60,1.25,5.09,1.02,1.06,13.08,1.13,1.17,1960,347,256,1,1,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
