measurement_id,object_id,ra_deg,dec_deg,redshift,redshift_kind,survey,object_class,log_mbh_msun,log_mbh_err_plus,log_mbh_err_minus,mbh_method,detection_evidence,log_mstar_msun,log_mstar_err_plus,log_mstar_err_minus,mstar_method,log_lbol_erg_s,log_lbol_err_plus,log_lbol_err_minus,lbol_method,edd_ratio_reported,edd_ratio_err_plus,edd_ratio_err_minus,agn_contam_flag,lensing_mu,lensing_mu_err,source_key,source_table,notes,program,field,selection_channel,broad_line_species,halpha_flux_total_1e18_erg_s_cm2,halpha_flux_total_err_plus,halpha_flux_total_err_minus,halpha_flux_narrow_1e18_erg_s_cm2,halpha_flux_narrow_err_plus,halpha_flux_narrow_err_minus,halpha_flux_broad_1e18_erg_s_cm2,halpha_flux_broad_err_plus,halpha_flux_broad_err_minus,halpha_broad_fwhm_km_s,halpha_broad_fwhm_err_plus,halpha_broad_fwhm_err_minus,fwhm_instrument_corrected_flag,lrd_flag,lrd_definition,halpha_absorption_fit_flag,log_mbh_systematic_dex,mbh_systematic_kind,mbh_systematic_applied_flag,mbh_formal_uncertainty_kind,dust_correction_applied_flag,source_caveat_tags,source_paper_version,source_url,source_doi,source_archive_url,source_archive_sha256,extraction_date,selection_criteria
CEERS11728_taylor24,CEERS-11728,215.084870,52.970738,3.869,spec,CEERS,broad-line-agn,6.53,0.18,0.19,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,CEERS,EGS,broad-halpha,Halpha,9.88,0.49,0.45,7.08,0.52,0.59,2.86,0.59,0.59,1191,266,237,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS22304_taylor24,RUBIES-UDS-22304,34.399170,-5.283007,3.906,spec,RUBIES,broad-line-agn,6.32,0.15,0.13,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,24.14,0.52,0.52,19.88,1.13,1.64,4.27,1.48,0.95,844,197,153,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS16053_taylor24,RUBIES-UDS-16053,34.367104,-5.293524,3.952,spec,RUBIES,broad-line-agn,6.71,0.13,0.13,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,8.18,0.64,0.60,2.13,0.38,0.36,6.06,0.63,0.60,1198,183,154,1,1,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS147411_taylor24,RUBIES-UDS-147411,34.360718,-5.139081,3.966,spec,RUBIES,broad-line-agn,6.60,0.16,0.15,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,8.42,0.48,0.46,3.33,0.70,0.65,5.11,0.58,0.65,1100,225,175,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS11721_taylor24,RUBIES-UDS-11721,34.411039,-5.300780,3.978,spec,RUBIES,broad-line-agn,7.24,0.16,0.16,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,33.51,1.71,1.66,23.75,1.42,1.30,9.78,2.25,2.30,1937,365,293,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS8895_taylor24,RUBIES-UDS-8895,34.363041,-5.306108,3.982,spec,RUBIES,broad-line-agn,7.37,0.05,0.05,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,120.33,2.81,2.93,67.12,2.79,2.75,53.25,3.95,4.29,1523,71,74,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS30969_taylor24,RUBIES-UDS-30969,34.296356,-5.268672,4.000,spec,RUBIES,broad-line-agn,6.74,0.07,0.08,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,51.14,0.79,0.75,40.29,1.34,1.54,10.92,1.44,1.37,1079,103,107,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS155916_taylor24,RUBIES-UDS-155916,34.317031,-5.127611,4.098,spec,RUBIES,broad-line-agn,7.06,0.11,0.13,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,7.93,0.88,0.95,0.16,0.30,0.12,7.72,0.94,1.09,1646,190,189,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS31747_taylor24,RUBIES-UDS-31747,34.223757,-5.260245,4.130,spec,RUBIES,broad-line-agn,7.17,0.05,0.05,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,16.16,0.45,0.51,4.85,0.52,0.58,11.32,0.63,0.70,1688,93,92,1,1,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS119957_taylor24,RUBIES-UDS-119957,34.268908,-5.176722,4.149,spec,RUBIES,broad-line-agn,7.19,0.06,0.05,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,12.83,0.39,0.39,4.23,0.39,0.36,8.61,0.44,0.48,1845,121,114,1,1,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESEGS28812_taylor24,RUBIES-EGS-28812,214.924149,52.849050,4.222,spec,RUBIES,broad-line-agn,7.35,0.04,0.04,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic. Halpha line fit includes the source-specific narrow absorption component described in Section 3.2.,RUBIES,EGS,broad-halpha,Halpha,17.59,1.11,0.96,7.24,1.38,1.22,10.37,0.65,0.65,2098,120,117,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,1,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust;halpha_absorption_component_fit,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS143683_taylor24,RUBIES-UDS-143683,34.316389,-5.144678,4.226,spec,RUBIES,broad-line-agn,6.81,0.16,0.19,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,15.94,0.56,0.55,11.95,0.51,0.58,4.05,0.47,0.51,1426,268,271,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS35974_taylor24,RUBIES-UDS-35974,34.331644,-5.260593,4.367,spec,RUBIES,broad-line-agn,6.80,0.09,0.11,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,41.29,0.77,0.76,33.18,1.09,1.16,8.16,1.10,1.11,1179,133,141,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS63139_taylor24,RUBIES-UDS-63139,34.230848,-5.202607,4.435,spec,RUBIES,broad-line-agn,6.55,0.09,0.09,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,5.45,0.26,0.24,2.53,0.27,0.25,2.92,0.34,0.37,1107,111,96,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS48507_taylor24,RUBIES-UDS-48507,34.284578,-5.230702,4.468,spec,RUBIES,broad-line-agn,6.43,0.04,0.04,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,19.68,0.30,0.30,11.22,0.60,0.63,8.47,0.60,0.62,762,39,37,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
CEERS1244_taylor24,CEERS-1244,215.240652,53.036041,4.478,spec,CEERS,broad-line-agn,7.82,0.03,0.02,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,CEERS,EGS,broad-halpha,Halpha,50.54,0.83,0.82,16.55,0.71,0.70,34.02,0.98,1.05,2619,81,73,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESEGS29489_taylor24,RUBIES-EGS-29489,215.022071,52.920786,4.543,spec,RUBIES,broad-line-agn,7.39,0.08,0.09,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,EGS,broad-halpha,Halpha,13.48,0.74,0.74,2.21,0.63,0.74,11.32,0.78,0.79,2055,198,185,1,1,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS19484_taylor24,RUBIES-UDS-19484,34.232426,-5.280654,4.656,spec,RUBIES,broad-line-agn,6.62,0.19,0.22,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,3.76,0.32,0.29,1.73,0.36,0.41,2.06,0.39,0.41,1278,321,288,1,1,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESUDS182791_taylor24,RUBIES-UDS-182791,34.213813,-5.087050,4.718,spec,RUBIES,broad-line-agn,8.06,0.03,0.03,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,UDS,broad-halpha,Halpha,40.12,0.89,0.84,8.20,0.65,0.61,31.91,1.12,1.08,3350,132,116,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESEGS45599_taylor24,RUBIES-EGS-45599,214.831103,52.824124,4.862,spec,RUBIES,broad-line-agn,6.86,0.13,0.13,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,EGS,broad-halpha,Halpha,7.57,0.35,0.35,4.68,0.29,0.30,2.90,0.35,0.34,1498,228,203,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
RUBIESEGS6411_taylor24,RUBIES-EGS-6411,215.109185,52.939770,4.880,spec,RUBIES,broad-line-agn,6.49,0.16,0.16,single-epoch-virial-halpha-reines2013,individual_robust,,,,,,,,,,,,,,,taylor24_ceers_rubies_blagn,Table 1 (Sample of BLAGN),Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,RUBIES,EGS,broad-halpha,Halpha,7.26,0.31,0.26,4.96,0.24,0.23,2.32,0.28,0.27,1046,191,163,1,0,Kocevski et al. (2024) full photometric selection applied by Taylor et al.,0,0.5,Approximate Reines et al. (2013) single-epoch virial-calibration scatter; may be larger at high redshift,0,16th/84th percentiles from correlated Halpha flux and FWHM posteriors,0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,https://arxiv.org/e-print/2409.06772v2,50453a0a975b84f019ceba8da30663e40d83c285376cad119d83fa8e3b31aaa0,2026-08-17,JWST/NIRSpec G395M Halpha; broad FWHM >700 km/s; broad flux S/N >4; Delta BIC >6; secure multi-line spectroscopic redshift; visual QA
