measurement_id,object_id,source_key,ra_deg,dec_deg,redshift,redshift_err_plus,redshift_err_minus,redshift_kind,source_table,object_class,evidence_status,evidence_status_basis,spectroscopic_type,selection_channels,phenotype_tags,selection_criteria,source_caveat_tags,published_aliases,log_mbh_msun,log_mbh_err_plus,log_mbh_err_minus,mbh_statistical_uncertainty_kind,log_mbh_systematic_dex,mbh_systematic_kind,broad_line_species,broad_fwhm_km_s,broad_fwhm_err_plus,broad_fwhm_err_minus,log_line_luminosity,line_luminosity_1e42,line_luminosity_err_plus,line_luminosity_err_minus,f444w_mag,f444w_err,muv,muv_err_plus,muv_err_minus,muv_censoring,beta_opt,beta_opt_err,beta_uv,beta_uv_err,lrd_flag,lensing_status,lensing_mu,lensing_provenance,notes
GHZ7_napolitano25seven,GHZ7,napolitano25_seven_wonders,3.451369,-30.320717,10.43,0.12,0.12,spec,Table 1 and Sections 4.6 and 5.1,high_ionization_line_candidate,probable,AGN-only location in CIII]-CIV diagnostic plus [NeV]3346 at S/N=3,type2_narrow_line,high_ionization_line;narrow_line_diagnostics,,JWST/NIRCam high-z selection and NIRSpec confirmation; source AGN diagnostic,no_canonical_bh_mass;line_diagnostic_candidate,,,,,,,,,,,,,,,,,,-19.82,0.05,0.05,detection,,,-2.24,0.14,,lensed,1.23,Bergamini et al. 2023 lens model as reported in source Table 1,CIII] S/N=5.9; CIV S/N=3.2; [NeV]3346 S/N=3
GHZ4_napolitano25seven,GHZ4,napolitano25_seven_wonders,3.51374,-30.351568,10.66,0.12,0.12,spec_tentative,Table 1 and Sections 4.7 and 5.1,high_ionization_line_candidate,candidate,AGN-only location in CIII]-CIV diagnostic; source redshift remains tentative,type2_narrow_line,high_ionization_line;narrow_line_diagnostics,,JWST/NIRCam high-z selection and NIRSpec tentative confirmation; source AGN diagnostic,no_canonical_bh_mass;line_diagnostic_candidate;tentative_spectroscopic_redshift,,,,,,,,,,,,,,,,,,-18.58,0.11,0.11,detection,,,-2.21,0.22,,lensed,1.74,Bergamini et al. 2023 lens model as reported in source Table 1,NIV] S/N=5; CIII] S/N=4; Hgamma S/N=3.6; redshift explicitly tentative
