catalogue_release,physical_object_id,host_system_id,host_system_assignment_status,host_property_scope
v3-dataset-catalogue,HZA-EXCELS-3543-42268,HZS-EXCELS-3543-42268,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-EXCELS-3543-89922,HZS-EXCELS-3543-89922,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GDN-2674-14,HZS-GDN-2674-14,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GDN-2674-32,HZS-GDN-2674-32,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GDN-2674-3761,HZS-GDN-2674-3761,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GDN-2674-934,HZS-GDN-2674-934,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GDN-4762-33609,HZS-GDN-4762-33609,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GDN-4762-37583,HZS-GDN-4762-37583,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GDS-1210-9515,HZS-GDS-1210-9515,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GHZ2,HZS-GHZ2,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GHZ9,HZS-GHZ9,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GLASS-150029,HZS-GLASS-150029,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GLASS-160133,HZS-GLASS-160133,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GLIMPSE-11026,HZS-GLIMPSE-11026,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-GLIMPSE-12248,HZS-GLIMPSE-12248,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-GLIMPSE-13131,HZS-GLIMPSE-13131,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-GLIMPSE-38548,HZS-GLIMPSE-38548,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-GLIMPSE-39803,HZS-GLIMPSE-39803,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-GLIMPSE-41299,HZS-GLIMPSE-41299,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-GLIMPSE-46938,HZS-GLIMPSE-46938,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-GLIMPSE-55241,HZS-GLIMPSE-55241,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-GLIMPSE-5536,HZS-GLIMPSE-5536,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-GLIMPSE-7404,HZS-GLIMPSE-7404,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-GN-102397,HZS-GN-102397,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GN-104946,HZS-GN-104946,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GN-1093,HZS-GN-1093,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GN-11419,HZS-GN-11419,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GN-11836,HZS-GN-11836,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GN-13928,HZS-GN-13928,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-GN-20621,HZS-GN-20621,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GN-38509,HZS-GN-38509,inherited_provisional_one_to_one_no_verified_multinucleus_link,object_specific
v3-dataset-catalogue,HZA-GN-42437,HZS-GN-42437,source_verified_single_object_host,object_specific
