physical_object_id,object_id,object_class,redshift,seed_mass_family,required_fedd
HZA-GN-38509,GN-38509,broad_line_agn,6.678,1e2,1.064544199368414
HZA-GS-20057765,GS-20057765,broad_line_agn,8.913,1e2,1.3553650821669596
HZA-GS-164055,GS-164055,broad_line_agn,7.397,1e2,1.064628309775132
HZA-GS-20030333,GS-20030333,broad_line_agn,7.891,1e2,1.1332146730828314
HZA-GN-954,GN-954,broad_line_agn,6.759,1e2,0.9403035606779888
HZA-GN-4685,GN-4685,broad_line_agn,7.415,1e2,1.0173652371980322
HZA-GS-210600,GS-210600,broad_line_agn,6.306,1e2,0.8056392872456205
HZA-GS-10013704,GS-10013704,broad_line_agn,5.919,1e2,0.7392417802995618
HZA-GS-204851,GS-204851,broad_line_agn,5.48,1e2,0.6921076590789973
HZA-GS-30148179,GS-30148179,broad_line_agn,5.922,1e2,0.696261873125633
HZA-GN-61888,GN-61888,broad_line_agn,5.874,1e2,0.6774526738858004
HZA-GN-1093,GN-1093,broad_line_agn,5.594,1e2,0.6446687827961851
HZA-GS-159717,GS-159717,broad_line_agn,5.077,1e2,0.5963891513943026
HZA-GS-38562,GS-38562,broad_line_agn,4.822,1e2,0.5632398604962897
HZA-GN-77652,GN-77652,broad_line_agn,5.229,1e2,0.5274430682798625
HZA-GS-172975,GS-172975,broad_line_agn,4.741,1e2,0.5245778551942444
HZA-GS-8083,GS-8083,broad_line_agn,4.753,1e2,0.5113210883970297
HZA-GN-20621,GN-20621,broad_line_agn,4.682,1e2,0.4962055929282211
HZA-GN-53757,GN-53757,broad_line_agn,4.447,1e2,0.48914368840867417
HZA-GN-73488,GN-73488,broad_line_agn,4.133,1e2,0.4863631038396109
HZA-GN-62309,GN-62309,broad_line_agn,5.172,1e2,0.4824283885898979
HZA-GS-200679,GS-200679,broad_line_agn,4.547,1e2,0.39598397974315996
HZA-GN-11836,GN-11836,broad_line_agn,4.409,1e2,0.36841333364916057
HZA-GN-38509,GN-38509,broad_line_agn,6.678,1e4,0.7404820382212559
HZA-GS-20057765,GS-20057765,broad_line_agn,8.913,1e4,0.8467853139992451
HZA-GS-164055,GS-164055,broad_line_agn,7.397,1e4,0.6864299759296144
HZA-GS-20030333,GS-20030333,broad_line_agn,7.891,1e4,0.7150542771113069
HZA-GN-954,GN-954,broad_line_agn,6.759,1e4,0.6103724867558875
HZA-GN-4685,GN-4685,broad_line_agn,7.415,1e4,0.6377513427211544
HZA-GS-210600,GS-210600,broad_line_agn,6.306,1e4,0.5078059093359641
HZA-GS-10013704,GS-10013704,broad_line_agn,5.919,1e4,0.4674617140129583
HZA-GS-204851,GS-204851,broad_line_agn,5.48,1e4,0.44840777912160384
HZA-GS-30148179,GS-30148179,broad_line_agn,5.922,1e4,0.42428457893593263
HZA-GN-61888,GN-61888,broad_line_agn,5.874,1e4,0.40862224774064154
HZA-GN-1093,GN-1093,broad_line_agn,5.594,1e4,0.3938248984396928
HZA-GS-159717,GS-159717,broad_line_agn,5.077,1e4,0.3771284339699267
HZA-GS-38562,GS-38562,broad_line_agn,4.822,1e4,0.35879707991687415
HZA-GN-77652,GN-77652,broad_line_agn,5.229,1e4,0.29911273569117747
HZA-GS-172975,GS-172975,broad_line_agn,4.741,1e4,0.32473867226310377
HZA-GS-8083,GS-8083,broad_line_agn,4.753,1e4,0.31080301451584164
HZA-GN-20621,GN-20621,broad_line_agn,4.682,1e4,0.29968852642199495
HZA-GN-53757,GN-53757,broad_line_agn,4.447,1e4,0.3056000905067327
HZA-GN-73488,GN-73488,broad_line_agn,4.133,1e4,0.3195146977196758
HZA-GN-62309,GN-62309,broad_line_agn,5.172,1e4,0.2575200489209478
HZA-GS-200679,GS-200679,broad_line_agn,4.547,1e4,0.2069701469301958
HZA-GN-11836,GN-11836,broad_line_agn,4.409,1e4,0.18692893283676623
HZA-GN-38509,GN-38509,broad_line_agn,6.678,1e5,0.578450957647677
HZA-GS-20057765,GS-20057765,broad_line_agn,8.913,1e5,0.5924954299153876
HZA-GS-164055,GS-164055,broad_line_agn,7.397,1e5,0.49733080900685567
HZA-GS-20030333,GS-20030333,broad_line_agn,7.891,1e5,0.5059740791255446
HZA-GN-954,GN-954,broad_line_agn,6.759,1e5,0.4454069497948368
HZA-GN-4685,GN-4685,broad_line_agn,7.415,1e5,0.44794439548271564
HZA-GS-210600,GS-210600,broad_line_agn,6.306,1e5,0.35888922038113596
HZA-GS-10013704,GS-10013704,broad_line_agn,5.919,1e5,0.3315716808696565
HZA-GS-204851,GS-204851,broad_line_agn,5.48,1e5,0.32655783914290715
HZA-GS-30148179,GS-30148179,broad_line_agn,5.922,1e5,0.28829593184108243
HZA-GN-61888,GN-61888,broad_line_agn,5.874,1e5,0.27420703466806207
HZA-GN-1093,GN-1093,broad_line_agn,5.594,1e5,0.26840295626144667
HZA-GS-159717,GS-159717,broad_line_agn,5.077,1e5,0.2674980752577387
HZA-GS-38562,GS-38562,broad_line_agn,4.822,1e5,0.2565756896271664
HZA-GN-77652,GN-77652,broad_line_agn,5.229,1e5,0.18494756939683493
HZA-GS-172975,GS-172975,broad_line_agn,4.741,1e5,0.22481908079753335
HZA-GS-8083,GS-8083,broad_line_agn,4.753,1e5,0.21054397757524754
HZA-GN-20621,GN-20621,broad_line_agn,4.682,1e5,0.20142999316888183
