science_release,input_catalogue_release,catalogue_view,stratum_dimension,stratum_value,n_rows,n_physical_objects,n_primary,n_high_pressure,median_required_fedd_seed1e2,median_required_log_mseed_fedd0p3,top_ranking_id,demographic_inference_allowed,comparison_policy
v1-shared-science,v1-dataset-catalogue,measurement,evidence_status,evidence_status=probable,5,5,5,4,1.064628309775132,5.985143887894973,GS20057765_juodzbalis25,False,descriptive_stratum_only_no_selection_completeness_correction
v1-shared-science,v1-dataset-catalogue,measurement,evidence_status,evidence_status=secure,18,18,18,1,0.5798145059452962,4.639362609316448,GN38509_juodzbalis25,False,descriptive_stratum_only_no_selection_completeness_correction
v1-shared-science,v1-dataset-catalogue,measurement,mass_comparability_group,mass_comparability_group=virial_balmer_single_epoch,23,23,23,5,0.6446687827961851,4.748074035612936,GN38509_juodzbalis25,False,descriptive_stratum_only_no_selection_completeness_correction
v1-shared-science,v1-dataset-catalogue,measurement,object_class,object_class=broad_line_agn,23,23,23,5,0.6446687827961851,4.748074035612936,GN38509_juodzbalis25,False,descriptive_stratum_only_no_selection_completeness_correction
v1-shared-science,v1-dataset-catalogue,measurement,object_class_x_mass_group,object_class=broad_line_agn;mass_comparability_group=virial_balmer_single_epoch,23,23,23,5,0.6446687827961851,4.748074035612936,GN38509_juodzbalis25,False,descriptive_stratum_only_no_selection_completeness_correction
v1-shared-science,v1-dataset-catalogue,measurement,source_key,source_key=juodzbalis25_jades_blagn,23,23,23,5,0.6446687827961851,4.748074035612936,GN38509_juodzbalis25,False,descriptive_stratum_only_no_selection_completeness_correction
v1-shared-science,v1-dataset-catalogue,physical_object,evidence_status,evidence_status=probable,5,5,5,4,1.064628309775132,5.985143887894973,HZA-GS-20057765,False,descriptive_stratum_only_no_selection_completeness_correction
v1-shared-science,v1-dataset-catalogue,physical_object,evidence_status,evidence_status=secure,18,18,18,1,0.5798145059452962,4.639362609316448,HZA-GN-38509,False,descriptive_stratum_only_no_selection_completeness_correction
v1-shared-science,v1-dataset-catalogue,physical_object,mass_comparability_group,mass_comparability_group=virial_balmer_single_epoch,23,23,23,5,0.6446687827961851,4.748074035612936,HZA-GN-38509,False,descriptive_stratum_only_no_selection_completeness_correction
v1-shared-science,v1-dataset-catalogue,physical_object,object_class,object_class=broad_line_agn,23,23,23,5,0.6446687827961851,4.748074035612936,HZA-GN-38509,False,descriptive_stratum_only_no_selection_completeness_correction
v1-shared-science,v1-dataset-catalogue,physical_object,object_class_x_mass_group,object_class=broad_line_agn;mass_comparability_group=virial_balmer_single_epoch,23,23,23,5,0.6446687827961851,4.748074035612936,HZA-GN-38509,False,descriptive_stratum_only_no_selection_completeness_correction
v1-shared-science,v1-dataset-catalogue,physical_object,source_key,source_key=juodzbalis25_jades_blagn,23,23,23,5,0.6446687827961851,4.748074035612936,HZA-GN-38509,False,descriptive_stratum_only_no_selection_completeness_correction
